Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol
Amazonas,40.45,206.64999999999998,18.1,0.0,0.0,9500.010000000002,400726.1699999999,100.40000000000002,2041.6399999999999,0.0,844.1300000000001,0.0,585.6999999999999,84.0,237.39999999999998,0.0,41.559999999999995,14.0,0.0,2561.12,136.51999999999998,167.7,0.0,0.0,7909.049999999999,2916.72,0.0,0.0,91.15,346.4,0.0,849.89,0.0,0.0,30034.030000000006,8708.06,8346.93,0.0,1955.7,110.39999999999999,0.0,0.0,124.2,1148.6,0.0,0.0,72955.04,0.0,0.0,0.0,0.0,0,3171.8500000000004,0.0,0.0,111.5,551.9,0.0,507.3,30.46,1611.1000000000001,162.85999999999999,0.0,161441.19999999998,3817.42,1095.02,0.0,0.0,43.210000000000015,0.0,6606.68,53541.200000000004,113.0,0.0,0.0,94.29999999999998,0.0,250.52000000000004,0.0,195.6,751.95,1191.6,0.0,0.0,0.0,0.0,27.0,0.0,0.0,687.8499999999999,431.9,5927.970000000001,0.0,0.0,0.0,2965.0,5.0,0.0,73.0,0.0,6103.68,0.0,6906.1,0.0,1330.58,0.0,0.0,277.0,0.0,57.150000000000006,0.0,247.49999999999997,0.0,0.0,0.0,0.0,0.0,128.69,0.0,0.0,0.0,114368.8,0.0,0.0,0.0,0.0,757.9200000000001,0.0,0.0,15377.900000000001,20915.0,125124.94,805.42,0.0,13133.449999999999,0.0,1342408.89,0,423062.5,109671.0,423334.10800000007,0.0,1153656.77,219278.22000000003,204490.99
Áncash,639.0,1647.2,377.0,0.0,758.2,0.0,60445.0,494.0,3641.1899999999996,0.0,1500.0,0.0,152.60000000000002,0.0,39153.0,0.0,5307.0,3366.0,0.0,1228.0,543.0,1273.0,551.0,0.0,1252.7,261.0,982.0,0.0,769.0999999999999,347.84000000000003,147.0,7315.0,0.0,0.0,111596.2,8743.5,72692.5,1619.0,0.0,0.0,0.0,471.0,1295.5999999999997,4267.329999999999,51.0,0.0,128430.0,2021.2,815.5,0.0,0.0,0,0.0,1187.0,34.8,315.0,419.0,0.0,0.0,425.7,5045.0,10266.0,147.0,5573.6,4491.0,12796.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,83.5,0.0,176.0,0.0,0.0,0.0,0.0,117.0,0.0,309.0,0.0,74.0,916.0,329.0,738.5,134.0,0.0,0.0,45519.0,5767.0,0.0,4446.0,160.0,2319.0,0.0,141.0,0.0,38291.2,0.0,62.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,5501.0,0.0,3980.0,1951.0,16724.0,0.0,819017.7693420518,0.0,14346.0,0.0,54.0,4889.0,0.0,168.0,0.0,1680.0,0.0,9426.0,270014.0,0.0,0.0,0,0.0,0.0,0.0,814.0,0.0,0.0,0.0
Apurímac,0.0,62.5,470.0,74.0,23.0,0.0,0.0,2704.65,4363.3,1616.0,161.5,150.0,0.0,2624.5,1250.5,0.0,10695.25,1576.05,0.0,320.8,329.0,0.0,454.5,0.0,8666.8,1904.0,0.0,0.0,11557.18,4868.4,5421.8,287.36,38.0,0.0,8400.1,59495.05,40671.0,123.0,0.0,7840.400000000001,0.0,0.0,12656.4,31651.949999999997,15.0,0.0,425737.11,0.0,144.0,0.0,0.0,0,0.0,0.0,12732.99,2.2,0.0,0.0,0.0,2018.0500000000002,1866.0,11665.349999999999,272.0,1263.71,2280.6,4387.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.04000000000002,0.0,0.0,959.95,224.62,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,76.5,0.0,0.0,294.48999999999995,129.425,0.0,0.0,491.21999999999997,1012.1300000000001,0.0,1150.299,157.56,434.68000000000006,163.47899999999998,212.26,0.0,12057.9,0.0,392.98,0.0,0.0,0.0,246.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,2665.0,0.0,0.0,0.0,0.0,193.03,0.0,100.719,737.22,0.0,428.5,29.0,5442.12,162595.61800000002,636.5,0.0,796,0.0,0.0,0.0,0.0,109.0,119207.18900000001,111351.427
Arequipa,1652.301,1407.7930000000001,78618.887,1763.991,9956.443000000001,0.0,280697.248,4.82,16248.365,0.0,5256.965999999999,2901.6229999999996,0.0,1282.44,1164.534,2.0,642.609,306060.264,786.4,3930.745,2952.514,2253.124,463.32,0.0,5984.731999999999,0.0,0.0,0.0,791.7300000000001,10014.627999999999,188.25000000000003,3802.551,0.0,0.0,1906.45,7201.86,32444.596999999994,1268.378,0.0,0.0,848.1,2108.183,49.269,91.24000000000001,62.85,0.0,326566.599,7556.57,876.7280000000001,0.0,0.0,0,0.0,3489.583,5534.376,1538.4730000000002,4429.9,68.64,0.0,0.0,44516.388999999996,17412.498,5642.056,400.057,90958.956,50332.179000000004,0.0,41999.200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,33.369,0.0,0.0,0.0,12.100000000000001,0.0,4124.54,0.0,149.748,0.0,713.799,0.0,0.0,48.35900000000001,553.259,0.0,10421.0,162.25,909.0179999999999,0.0,785.719,98.75,147.6,6.75,81.64999999999999,0.0,21102.270000000004,377.65,358.55999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31685.819,0.0,33879.66,811.9,0.0,4779.650000000001,64663.37899999999,0.0,0.0,0.0,0.0,0.0,2520.158,24.160000000000004,0.0,12.350000000000001,0.0,2764.058,2563504.5089999996,540.0,0.0,739,0.0,0.0,0.0,15515.0,0.0,449.02000000000004,0.0
Ayacucho,0.0,65.0,2496.0,0.0,1052.0,0.0,12.0,6171.0,6049.0,641.0,344.0,0.0,120.0,1300.0,618.0,0.0,18291.0,1787.0,0.0,1031.0,418.0,0.0,0.0,0.0,2415.0,0.0,199.0,44.0,9840.0,5666.0,45.0,671.0,2.0,0.0,1474.0,31632.0,11889.0,4786.0,0.0,10095.0,0.0,63.0,10980.0,18180.0,92.0,0.0,587354.0,0.0,120.0,0.0,0.0,0,0.0,139.0,27837.0,6.0,0.0,0.0,0.0,80.0,1323.0,14003.0,134.0,8288.0,1635.0,1131.0,0.0,0.0,88.0,0.0,6633.0,3138.0,0.0,0.0,0.0,0.0,0.0,875.0,93.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,6.0,810.0,304.0,324.0,0.0,598.0,448.0,0.0,454.0,705.0,726.0,0.0,4138.0,52.0,2354.0,258.0,988.0,0.0,47040.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,96.0,308.0,0.0,54.0,603.0,48.0,2507.0,0.0,22684.0,269877.0,8481.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cajamarca,0.0,168.93,7219.188999999999,0.0,0.0,7443.717,186783.06999999998,14041.203,26202.466,0.0,300.4,0.0,264.302,0.0,4344.549,0.0,7658.095,2236.93,0.0,151.96,0.0,0.0,0.0,0.0,14386.117999999999,8673.118999999999,110.0,0.0,3770.065,4128.5,0.0,22.05,772.5490000000001,0.0,67291.447,35914.91499999999,24426.39,2927.4400000000005,0.0,0.0,0.0,0.0,4316.7,13799.579000000002,0.0,0.0,390889.824,38.4,0.0,121.0,0.0,0,1405.105,0.0,817.8599999999999,129.4,0.0,0.0,0.0,429.35900000000004,1467.969,23974.931999999997,0.0,52357.63799999999,6042.2,10411.855000000001,356.41999999999996,0.0,16.0,0.0,1225.8509999999999,76820.515,0.0,0.0,0.0,0.0,0.0,5786.488,0.0,0.0,100.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.113,339.69,648.5290000000001,0.0,260.0,0.0,11045.007999999998,417.0,0.0,0.0,0.0,4893.514999999999,52.0,4607.5,0.0,4860.639000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2668.0,0.0,0.0,0.0,0.0,79450.119,0.0,0.0,0.0,0.0,5234.769,70.5,0.0,3024.0620000000004,6724.526999999999,45404.454,0.0,361.0,202770.84,988.0,0.0,0,0.0,315349.24600000004,196233.72100000002,340.0,295292.448,1539979.82,3328.1
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,1985.2,2897.2,3041.1,9499.699999999999,0.0,0.0,0.0,0.0,737.7,232.5,33769.1,8126.0,0.0,2271.0,1718.0,0.0,188.0,0.0,2655.9500000000003,0.0,123.1,0.0,22001.3,5339.320000000001,884.6,1562.0,0.0,0.0,5706.7,79818.22,39172.45,0.0,0.0,14024.71,0.0,0.0,19057.75,34746.1,0.0,0.0,521350.687,0.0,0.0,0.0,0.0,0,0.0,0.0,10337.15,0.0,0.0,0.0,15.0,4218.799999999999,865.8,20852.8,0.0,30204.1,8707.5,4368.0,0.0,0.0,2405.15,0.0,8041.999999999999,27680.440000000002,0.0,0.0,217.0,0.0,0.0,587.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2293.7,0.0,1634.2,0.0,0.0,1942.9,940.0,828.0,0.0,2024.0,0.0,22295.0,0.0,0.0,0.0,9531.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,0.0,0.0,0.0,8090.0,0.0,0.0,0.0,0.0,0.0,0.0,7777.1,2730.0,0.0,0.0,6686.5,9955.0,31653.5,1573.0,7325.0,193653.7,15522.0,0.0,1443,0.0,0.0,0.0,0.0,0.0,61847.020000000004,301.0
Huancavelica,0.0,0.0,1064.1,0.0,0.0,0.0,0.0,5491.400000000001,22550.0,865.9,0.0,0.0,0.0,0.0,118.35000000000001,0.0,19006.500000000004,493.9,0.0,0.0,0.0,0.0,0.0,0.0,11554.650000000003,0.0,0.0,0.0,10132.449999999999,8196.15,2.7,0.0,10.8,1831.8,669.35,34619.15,9660.1,199.5,0.0,2720.9,0.0,0.0,2632.05,15357.55,17.75,0.0,330471.75,0.0,0.0,0.0,0.0,0,0.0,0.0,2497.8999999999996,0.0,0.0,0.0,0.0,276.25,362.3,6776.0,0.0,0.0,2146.5,5120.05,0.0,0.0,0.0,0.0,0.0,31.2,0.0,0.0,67.2,0.0,0.0,427.49999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,54.400000000000006,0.0,11.5,200.6,45.05,0.0,0.0,89.35000000000001,157.1,0.0,233.7,18.25,268.99999999999994,66.05,91.45,0.0,24633.26,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.699999999999996,0.0,0.0,0.0,0.0,0.0,1198.25,0.0,0.0,0.0,0.0,5.7,0.0,0.0,253.60000000000002,0.0,649.1999999999999,0.0,5783.8,204538.8,1063.0,0.0,21,0.0,0.0,0.0,0.0,0.0,3281.2999999999993,2529.6
Huánuco,0.0,620.0,243.0,0.0,205.0,0.0,56046.0,1617.9999999999998,14290.0,2011.0000000000005,434.0,385.0,344.0,6022.0,3825.0,0.0,11261.0,1333.0,219.0,1924.0,89.0,0.0,125.0,0.0,5696.0,695.0,0.0,0.0,4038.0,7423.0,0.0,223.0,0.0,0.0,36577.0,18170.0,10052.0,2072.0,54.5,2342.0,0.0,0.0,5935.0,22493.999999999996,0.0,0.0,762680.0,0.0,0.0,0.0,0.0,0,0.0,387.0,885.4999999999998,0.0,0.0,0.0,0.0,1469.0000000000002,1163.0,13292.0,204.0,64044.0,4067.0,25978.0,0.0,0.0,425.0,257.0,16602.0,12523.999999999998,159.0,0.0,0.0,1033.0,0.0,144.99999999999997,0.0,0.0,1625.0,524.0,0.0,0.0,0.0,77.0,64.0,0.0,0.0,22.0,0.0,1195.0,151.0,0.0,1112.0,681.0,108.0,0.0,1690.0,0.0,11705.0,5.5,1541.0,39266.0,4168.0,0.0,0.0,130.7,281.0,4.000000000000001,0.0,0.0,0.0,91.0,764.4999999999999,107.0,0.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2224.0,58.99999999999999,0.0,2140.0,10231.0,232601.0,1721.0,149.99999999999997,30946.0,1261.0,5187086.0,0,0.0,0.0,0.0,381.25,0.0,30212.0,16893.0
