Región,Año,Cultivo,rendimiento,siembras,cosecha,precio,produccion
Amazonas,2021,Acelga,3700.0,2.5,2.5,0.9794594594594596,9.25
Áncash,2021,Acelga,8517.64705882353,86.0,85.0,1.4874309392265197,724.0
Apurímac,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Arequipa,2021,Acelga,17216.159292035398,112.0,113.0,0.8616822999178587,1945.426
Ayacucho,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Cajamarca,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Callao,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Cusco,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Huancavelica,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Huánuco,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Ica,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Junín,2021,Acelga,21715.0,61.0,60.0,1.5897382761531966,1302.9
La Libertad,2021,Acelga,26364.864864864863,18.0,18.5,1.1743249615581757,487.75
Lambayeque,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Lima,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Lima Metropolitana,2021,Acelga,15025.032467532466,161.0,154.0,0.8617229688117883,2313.855
Loreto,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Madre de Dios,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Moquegua,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Pasco,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Piura,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Puno,2021,Acelga,0.0,0.0,0.0,0.0,0.0
San Martín,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Tacna,2021,Acelga,16000.0,6.0,6.0,1.4989583333333334,96.0
Tumbes,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Ucayali,2021,Acelga,0.0,0.0,0.0,0.0,0.0
Amazonas,2021,Ají,6256.876456876455,41.9,42.9,1.044340958199836,268.42
Áncash,2021,Ají,5268.29268292683,159.0,164.0,1.7892361111111112,864.0
Apurímac,2021,Ají,4000.0,26.0,19.0,3.684210526315789,76.0
Arequipa,2021,Ají,4797.95045045045,444.0,444.0,8.042197541179839,2130.29
Ayacucho,2021,Ají,4357.142857142857,18.0,14.0,2.472131147540984,61.0
Cajamarca,2021,Ají,7305.909090909091,22.0,22.0,1.3888135382318174,160.73
Callao,2021,Ají,0.0,0.0,0.0,0.0,0.0
Cusco,2021,Ají,0.0,0.0,0.0,0.0,0.0
Huancavelica,2021,Ají,0.0,0.0,0.0,0.0,0.0
Huánuco,2021,Ají,4621.700879765396,82.5,85.25,1.074446700507614,394.00000000000006
Ica,2021,Ají,22812.90634441088,308.0,331.0,1.2138961064071432,7551.072
Junín,2021,Ají,6357.083333333334,239.0,240.0,1.6013108736973194,1525.7
La Libertad,2021,Ají,23792.90953545232,209.0,204.5,2.255944529507877,4865.65
Lambayeque,2021,Ají,0.0,0.0,0.0,0.0,0.0
Lima,2021,Ají,8664.418444597384,777.5,726.5,1.867039731837896,6294.7
Lima Metropolitana,2021,Ají,17463.061224489797,239.0,245.0,1.5473374703455691,4278.45
Loreto,2021,Ají,1722.2222222222224,428.0,432.0,0.3272311827956989,744.0
Madre de Dios,2021,Ají,0.0,0.0,0.0,0.0,0.0
Moquegua,2021,Ají,4530.0,2.0,2.0,4.0,9.06
Pasco,2021,Ají,16099.567901234568,340.0,324.0,2.3401715405290378,5216.26
Piura,2021,Ají,0.0,0.0,0.0,0.0,0.0
Puno,2021,Ají,0.0,0.0,0.0,0.0,0.0
San Martín,2021,Ají,23523.809523809527,36.0,31.5,2.1370715249662617,741.0
Tacna,2021,Ají,11762.589928057554,1112.0,1112.0,2.685252293577982,13080.0
