Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Nacional,3372,1/1/2022,3342.5,171247.78000000003,51233.442034405394,0.1671080699557098
Amazonas,0,1/1/2022,0,0,0,0
Áncash,57,1/1/2022,36,758,21055.55555555556,0.560131926121372
Apurímac,0,1/1/2022,0,0,0,0
Arequipa,1307,1/1/2022,1350,78186.58000000002,57915.9851851852,0.149195757123537
Ayacucho,0,1/1/2022,0,0,0,0
Cajamarca,35,1/1/2022,51,380,7450.980392156863,0.9810526315789474
Callao,0,1/1/2022,0,0,0,0
Cusco,0,1/1/2022,0,0,0,0
Huancavelica,0,1/1/2022,0,0,0,0
Huánuco,45,1/1/2022,36,816,22666.666666666668,0.20909313725490195
Ica,0,1/1/2022,0,0,0,0
Junín,0,1/1/2022,0,0,0,0
La Libertad,326.5,1/1/2022,297.5,15611,52473.94957983193,0.18705784382806998
Lambayeque,166,1/1/2022,110,3380,30727.272727272728,0.25
Lima,1061.5,1/1/2022,1220,62160.6,50951.311475409835,0.14696640637316888
Lima Metropolitana,141,1/1/2022,92,3038.6000000000004,33028.26086956522,0.13029026525373524
Loreto,0,1/1/2022,0,0,0,0
Moquegua,4,1/1/2022,18,1224,68000,0.05
Pasco,0,1/1/2022,0,0,0,0
Piura,0,1/1/2022,0,0,0,0
Puno,0,1/1/2022,0,0,0,0
San Martín,0,1/1/2022,0,0,0,0
Tacna,229,1/1/2022,132,5693,43128.78787878787,0.46126822413490254
Tumbes,0,1/1/2022,0,0,0,0
Ucayali,0,1/1/2022,0,0,0,0
Nacional,3405.5,1/1/2021,3293.5,165664.91399999996,50300.56596326096,0.16941460368608893
Amazonas,0,1/1/2021,0,0,0,0
Áncash,11,1/1/2021,63,1307,20746.031746031746,0.4571537872991584
Apurímac,0,1/1/2021,0,0,0,0
Arequipa,1325,1/1/2021,1601,92092.77399999998,57522.032479700174,0.15701819069973938
Ayacucho,0,1/1/2021,0,0,0,0
Cajamarca,12,1/1/2021,81,544,6716.049382716049,0.9117647058823529
Callao,0,1/1/2021,0,0,0,0
Cusco,0,1/1/2021,0,0,0,0
Huancavelica,0,1/1/2021,0,0,0,0
Huánuco,46,1/1/2021,32,723,22593.75,0.22271092669432915
Ica,0,1/1/2021,0,0,0,0
Junín,0,1/1/2021,0,0,0,0
La Libertad,270,1/1/2021,321,17062,53152.64797507788,0.1926960497010902
Lambayeque,128,1/1/2021,101,3051,30207.920792079207,0.19759095378564406
Lima,1251.5,1/1/2021,791.5,38537.8,48689.576753000634,0.1417225684911956
Lima Metropolitana,122,1/1/2021,107,3478,32504.672897196266,0.11866647498562391
Loreto,0,1/1/2021,0,0,0,0
Moquegua,8,1/1/2021,7,413.34000000000003,59048.571428571435,0.05
Pasco,0,1/1/2021,0,0,0,0
Piura,0,1/1/2021,0,0,0,0
Puno,0,1/1/2021,0,0,0,0
San Martín,0,1/1/2021,0,0,0,0
Tacna,232,1/1/2021,189,8456,44740.74074074074,0.30340586565752126
Tumbes,0,1/1/2021,0,0,0,0
Ucayali,0,1/1/2021,0,0,0,0
Nacional,3086,1/1/2020,2761,139702.51200000002,50598.519377037315,0.16825036904132407
Amazonas,0,1/1/2020,0,0,0,0
Áncash,31,1/1/2020,36,726,20166.666666666668,0.35
Apurímac,0,1/1/2020,0,0,0,0
Arequipa,1338,1/1/2020,1276,72697.08200000001,56972.63479623826,0.1590304738778924
Ayacucho,0,1/1/2020,0,0,0,0
Cajamarca,11,1/1/2020,40,320,8000,1
Callao,0,1/1/2020,0,0,0,0
Cusco,0,1/1/2020,0,0,0,0
Huancavelica,0,1/1/2020,0,0,0,0
Huánuco,37,1/1/2020,35,806,23028.571428571428,0.2050744416873449
Ica,0,1/1/2020,0,0,0,0
Junín,0,1/1/2020,0,0,0,0
La Libertad,250,1/1/2020,275,15581,56658.181818181816,0.15684615878313332
