Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,,,,,,Año
Amazonas,1.5,39.5,1.5,0,0.0,769.0,52156.0,67.0,574.5,0.0,57.5,0.0,121.5,9,28.0,0,29.0,2.0,0.0,233.0,11.5,7.5,0.0,0.0,7768.0,553.0,0,0.0,106.0,171.5,0.0,160.2,0,0,13089.0,7803.0,920.5,0.0,404,13.0,0.0,0.0,50.5,276.0,0.0,0,3725.0,0.0,0.0,0,0.0,0.0,211.75,0.0,0.0,13,63.0,0,239.0,101.0,77.8,132.0,0.0,12370.0,271.2,69.5,0.0,0.0,52.0,0,7873.0,54225.0,92.0,0.0,0.0,4.66,0,49.0,0.0,29.5,53.1,158.0,0.0,0,0.0,0.0,8.0,0,0.0,63.8,35,625.0,0.0,0.0,0.0,228.0,1.0,0.0,23.0,0.0,551.0,0.0,1299.0,0.0,144.0,0.0,0.0,36.0,0,42.5,0.0,30.0,0.0,0.0,0,0.0,0.0,15,0.0,0.0,0.0,1730.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,891.5,1109.0,10740.5,86.95,0.0,154.5,0,25362.0,0,9049.5,2677.0,7749,0.0,21368.0,8516.0,5934.0,,,,,,2019
Áncash,47.0,119.0,58.0,0,69.0,0.0,5520.0,1449.0,532.0,0.0,109.0,0.0,34.0,0,1812.0,0,5529.0,207.0,0.0,121.0,54.0,105.0,0.0,0.0,900.0,67.0,0,0.0,1537.0,102.0,191.0,386.0,0,0,17838.0,5895.0,3915.0,527.0,0,0.0,0.0,25.0,300.0,708.0,0.0,0,9003.0,52.0,52.0,0,0.0,0.0,0.0,66.0,212.0,25,47.0,0,0.0,570.0,276.0,11123.0,31.0,221.0,103.0,201.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0,15.0,0.0,20.0,0.0,0.0,0.0,0,24.0,0.0,41.0,0,11.0,86.0,24,56.0,15.0,0.0,0.0,1182.0,669.5,0.0,452.0,19.0,323.0,0.0,17.0,0.0,2880.5,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,15.0,415.0,0,560.0,507.0,515.0,0.0,7100.76,0.0,2842.0,0.0,9.0,887.0,0.0,20.0,0.0,153.0,0.0,205.0,8312.5,0,0.0,0,0.0,0.0,0,583.0,0.0,0.0,0.0,,,,,,2019
Apurímac,0.0,22.0,71.0,25,0.0,0.0,0.0,1331.0,1081.1,271.0,33.0,19.0,12.0,306,131.0,0,5390.0,152.5,0.0,73.2,58.5,0.0,48.0,0.0,5239.0,461.0,0,0.0,5456.0,1488.0,1172.0,85.4,20,1,2021.0,25165.0,2167.0,74.0,0,859.0,0.0,0.0,1188.0,2774.0,5.0,0,23552.0,0.0,26.0,0,0.0,0.0,0.0,0.0,5080.0,25,0.0,0,0.0,1055.5,110.5,5169.0,82.0,70.5,232.5,250.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.3,0.0,0,110.25,40.25,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,12.9,0.0,0,47.25,9.6,0.0,0.0,34.0,177.69,0.0,212.75,14.3,61.31,23.908,49.37,0.0,663.25,0.0,47.58,0.0,0,0.0,55.08,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,38.0,0.0,37.230000000000004,39.92,0.0,62.9,7.0,1507.559,3015.818,794,0.0,539,0.0,0.0,0,0.0,2.0,1583.0,2011.1,,,,,,2019
Arequipa,117.0,523.0,3919.0,32,267.0,0.0,20147.0,5.0,1417.0,0.0,150.0,164.0,1.0,22,118.0,3,219.0,8723.0,34.0,206.0,121.0,36.0,86.0,0.0,4052.0,0.0,0,0.0,284.0,1017.0,73.0,197.0,0,0,258.0,2327.0,1992.0,446.0,0,0.0,45.0,133.0,22.0,28.0,90.0,0,9576.0,1523.87,62.0,0,0.0,0.0,0.0,152.0,2118.0,78,119.0,25,0.0,0.0,729.0,1503.0,467.0,31.0,1878.0,1367.0,0.0,4180.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,4.0,0.0,0.0,0.0,2.0,0,82.0,0.0,13.0,0,92.0,0.0,0,13.0,93.0,0.0,60.0,12.0,142.0,0.0,118.0,20.0,22.0,1.0,27.0,0.0,1045.0,65.0,65.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1512.0,0,2475.0,443.0,1.0,33.0,605.2700000000001,0.0,0.0,0.0,0.0,0.0,603.0,4.0,0.0,2.0,0.0,1650.0,36417.0,350,0.0,447,0.0,0.0,0,15313.0,0.0,18.0,0.0,,,,,,2019
Ayacucho,0.0,26.0,366.0,0,64.0,0.0,32.0,4345.0,1785.0,336.0,57.0,0.0,23.0,110,45.0,0,12900.0,382.0,0.0,131.0,56.0,0.0,0.0,0.0,1661.0,0.0,0,23.0,6537.0,1409.0,167.0,69.0,25,14,1116.0,16459.0,1994.0,787.0,134,1647.0,0.0,20.0,1724.0,2921.0,61.0,0,21900.0,0.0,6.0,0,0.0,0.0,0.0,18.0,11564.0,10,0.0,0,0.0,309.0,112.0,9451.0,46.0,490.0,192.0,53.0,0.0,0.0,21.0,0,8216.0,5846.0,0.0,0.0,0.0,0.0,0,81.0,24.0,0.0,14.0,0.0,0.0,0,0.0,0.0,1.0,155,70.0,29.0,0,111.0,70.0,0.0,55.0,80.0,131.0,0.0,719.0,10.0,425.0,52.0,149.0,0.0,2351.0,0.0,9.0,0.0,0,0.0,0.0,0.0,37.0,0.0,0,0.0,11.0,0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,54.0,5.0,11.0,88.0,24.0,287.0,0.0,3816.0,10121.0,7562,0.0,95,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,2019
Cajamarca,0.0,0.0,1108.5,0,0.0,2303.75,22944.0,15606.5,9918.5,0.0,61.0,0.0,222.74999999999997,0,1283.0,0,10693.25,175.0,0.0,71.6,3.0,0.0,0.0,2.0,17628.0,2233.5,0,0.0,4431.5,947.0,0.0,48.6,1316,0,18749.0,37806.0,8480.5,549.0,0,0.0,0.0,0.0,1583.0,3087.0,0.0,0,27298.0,0.0,0.0,0,0.0,0.0,356.25,0.0,866.0,15,0.0,0,0.0,633.0,126.0,26087.0,0.0,7576.25,462.45,966.5,774.0,0.0,37.0,0,1329.5,64908.0,0.0,0.0,0.0,0.0,0,971.5,0.0,0.0,14.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,316.9,85,119.65,0.0,4.0,0.0,1139.0,38.0,0.0,0.0,0.0,986.5799999999999,51.0,961.0,0.0,609.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.0,0,0.0,0.0,0.0,8194.0,0.0,0.0,0.0,0.0,639.0,12.0,0.0,292.73,541.0,5799.3,0.0,109.0,3510.0,591,0.0,0,0.0,14284.3,9965,131.0,10939.93,27007.5,79.0,,,,,,2019
Callao,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,2019
Cusco,0.0,0.0,0.0,0,0.0,0.0,1029.0,2097.0,731.0,4156.0,0.0,0.0,0.0,0,56.0,695,13831.0,428.0,0.0,124.0,93.0,0.0,0.0,0.0,1840.0,0.0,0,0.0,9813.0,594.0,309.0,119.0,0,0,3389.0,22366.0,2125.0,0.0,0,1180.0,0.0,0.0,1324.0,3522.0,0.0,0,31497.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2639.0,0,0.0,0,10.0,1921.0,45.0,9110.801,0.0,3681.77,618.0,120.0,0.0,0.0,6755.0,0,18323.0,54214.0,0.0,0.0,52.0,0.0,0,88.0,14.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,234.0,0,191.0,0.0,0.0,209.0,174.0,103.0,0.0,256.0,0.0,2227.0,0.0,0.0,0.0,803.0,0.0,71.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1860,0.0,0.0,0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.0,231.0,0.0,0.0,721.0,978.5,3450.0,302.0,1634.0,2691.05,13608,0.0,1118,0.0,0.0,0,0.0,0.0,2522.0,0.0,,,,,,2019
Huancavelica,0.0,0.0,100.0,0,0.0,0.0,0.0,3325.0,6768.0,1111.0,0.0,0.0,0.0,0,8.0,0,15887.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5971.0,0.0,0,0.0,6604.0,2377.0,16.5,0.0,72,431,381.0,18796.0,1503.0,0.0,0,378.0,0.0,0.0,565.0,3444.0,2.0,0,28674.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1920.0,0,0.0,0,0.0,527.0,88.0,4267.0,0.0,0.0,148.0,282.0,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,43.0,0.0,0,70.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,22.0,0.0,9,34.0,10.0,0.0,0.0,21.0,43.0,0.0,57.0,9.0,55.0,20.0,25.0,0.0,314.5,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,12.0,0.0,0,12.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,32.0,0.0,101.0,0.0,1523.0,7515.0,1112,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,2019
Huánuco,0.0,94.25,27.5,0,18.25,0.0,7518.5,1019.25,2345.75,1257.5,34.0,26.25,19.5,376,262.75,0,6211.0,80.0,20.5,91.0,6.75,0.0,10.0,0.0,3486.75,239.0,0,0.0,3049.25,660.5,0.0,21.0,0,5,10331.0,13239.5,771.25,283.75,54,272.5,0.0,0.0,650.25,2256.0,0.0,0,43288.0,0.0,0.0,0,0.0,0.0,0.0,30.75,608.5,0,0.0,0,0.0,1031.75,62.5,8185.75,23.75,4291.75,148.0,514.5,0.0,0.0,414.0,39,22094.5,20752.0,19.0,0.0,0.0,56.0,0,19.25,0.0,0.0,128.0,114.0,0.0,0,0.0,16.0,16.0,0,0.0,3.0,0,149.25,18.130000000000003,0.0,102.0,94.87,16.5,0.0,307.5,0.0,904.0,3.5,166.5,3373.0,405.5,0.0,0.0,51.5,19,51.0,0.0,0.0,0.0,9.5,175,10.0,0.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,10.0,0.0,215.25,704.0,19475.75,159.25,59.0,1076.5,1027,170572.0,0,0.0,0.0,0,344.5,0.0,553.5,361.5,,,,,,2019
Ica,0.0,155.9,4.0,66,19.0,0.0,0.0,0.0,63.0,0.0,48.0,0.0,0.0,0,1504.5,0,40.0,2384.8,36.0,0.0,0.0,30.0,0.0,235.3,194.0,11.0,0,199.0,0.0,38.0,0.0,70.0,0,0,20087.08,67.0,1363.5,124.0,15,0.0,202.7,30.0,2.0,5.0,3025.55,125,3609.8,362.0,5.0,41,11.7,0.0,0.0,0.0,45.5,12,536.4,0,0.0,0.0,1128.5,16.0,15.5,416.5,16.5,1421.25,0.0,1317.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.0,0.0,164.55,0.0,0.0,0.0,141,2086.0,30.0,1.0,0,204.25,1.0,0,59.968999999999994,166.75,0.0,3354.99,677.21,132.78,0.0,104.0,24.0,1011.99,0.0,106.0,0.0,4968.179,1285.6989999999998,8.5,0.0,0,0.0,0.0,0.0,942.42,0.0,0,13.5,15098.617,0,1963.0,11175.85,332.99,0.0,0.0,0.0,14809.349999999999,0.0,4.0,14.0,0.0,43.35,0.0,140.25,0.0,414.0,5534.57,0,0.0,0,0.0,0.0,0,182.0,0.0,0.0,0.0,,,,,,2019
Junín,54.0,168.0,361.0,0,95.0,0.0,663.15,744.0,4310.72,198.0,68.0,145.0,32.0,65,0.0,0,9145.0,198.0,0.0,91.0,33.0,657.85,0.0,0.0,4281.5,0.0,0,0.0,1461.0,2665.9,0.0,385.3,0,973,6056.6089999999995,7303.75,6497.55,16.0,397,518.0,0.0,39.0,566.5,2447.0,0.0,0,24820.55,0.0,0.0,0,0.0,0.0,0.0,40.0,1913.0,42,0.0,0,53.0,472.0,14.0,3844.0,0.0,7817.85,1039.0,139.5,0.0,0.0,208.0,63,20924.0,94913.0,14.0,0.0,0.0,130.0,0,67.0,8.0,0.0,69.0,27.0,0.0,0,0.0,335.0,16.0,72,0.0,155.0,327,242.0,17.0,0.0,3790.0,298.0,13.0,10.0,20.0,0.0,13740.0,6.0,193.0,0.0,4078.0,0.0,5.0,0.0,0,152.0,15.0,0.0,2649.0,0.0,0,68.0,0.0,121,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.5,155.0,31.0,617.0,6612.0,17574.0,268.0,24.0,3532.0,5345,4451.0,433,0.0,0.0,0,0.0,3233.0,6722.0,1820.3,,,,,,2019
La Libertad,22.0,278.0,204.0,0,162.0,0.0,32621.5,8743.0,1643.0,0.0,38.0,293.5,6.0,0,408.0,0,27513.0,669.0,362.5,407.1000000000001,90.0,27.0,31.5,66.0,2484.4,0.0,177,139.7,5246.5,324.0,59.0,293.09999999999997,1669,0,14097.600000000002,15019.0,1180.0,162.5,21,85.0,9.0,2.0,1125.0,1749.0,30.0,0,25842.5,100.0,395.5,46,421.0,156.0,0.0,135.0,1154.5,31,503.0,0,0.0,4233.0,233.5,29771.0,18.0,1178.0,446.0,583.5,123.5,188.0,1.7,0,25.5,204.0,0.0,0.0,27.25,0.0,1,56.5,0.0,109.5,0.0,0.0,0.0,0,121.7,34.0,9.5,0,9.0,319.2,0,43.75,128.0,19.05,477.7,301.5,110.95,0.0,17.5,118.29,263.0,10.0,77.6,0.0,14677.099999999999,20.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,3137.5690000000004,0,813.2,50.0,6323.5,0.0,38716.51400000001,0.0,11301.7,93.5,349.0,945.8,0.0,247.5,1112.0,842.0,11.499999999999998,248.0,5639.7,1417,0.0,68,0.0,0.0,0,3210.5,335.0,0.0,267.0,,,,,,2019
Lambayeque,0.0,10.0,0.0,0,0.0,0.0,47936.0,400.0,897.0,0.0,12.0,0.0,26.0,0,2357.0,0,40.0,432.0,8.0,5.0,0.0,0.0,0.0,1254.0,617.0,0.0,214,274.0,177.0,0.0,2.0,11.0,1,0,13830.0,2857.0,2409.0,0.0,0,0.0,26.0,0.0,20.0,120.0,2402.0,0,115.0,171.0,65.0,5,463.17384802317974,596.0,0.0,0.0,80.0,1,108.0,0,0.0,0.0,95.0,934.0,0.0,638.0,27.0,24.0,1288.0,0.0,0.0,0,78.0,2397.0,0.0,0.0,0.0,0.0,0,100.0,0.0,255.0,25.0,0.0,0.0,0,123.0,1.0,0.0,0,0.0,89.0,0,2083.0,0.0,120.0,0.0,4296.0,0.0,0.0,0.0,0.0,379.0,0.0,108.0,0.0,5155.0,0.0,0.0,0.0,2,0.0,0.0,66.0,0.0,0.0,0,33.0,1856.0,0,0.0,2957.0,1786.61,547.0,26361.909999999996,0.0,352.0,281.0,32.0,1135.0,0.0,22.0,0.0,825.0,0.0,0.0,1075.0,0,0.0,0,0.0,0.0,0,1608.0,0.0,0.0,0.0,,,,,,2019
