Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Copoazú,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pan de árbol,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,,,Año
Amazonas,2.0,40.9,4.0,0,0.0,949.6,52305.0,157.5,667.5,0.0,47.0,0.0,119.5,9.0,39.0,0.0,69.0,1.0,0.0,238.5,12.0,0,8.5,0.0,0.0,8083.0,701.5,0.0,0.0,125.5,189.5,0.0,134.5,0,0,9190.0,7843.5,908.0,0.0,463.0,11.5,0.0,0.0,49.5,222.0,0.0,0,3670.5,0.0,0.0,0.0,0.0,0.0,294.5,0.0,0.0,13,54.0,0,199,89.5,95.5,214.0,0.0,11588.0,259.0,103.0,0.0,0.0,52.0,0,8023.0,58216.0,0,0,0.0,4.66,0,49.0,0.0,29.5,53.1,183.0,0,0.0,0.0,0.0,0.0,8.0,0,0.0,63.8,35,625.0,0.0,0,0.0,228.0,1.0,0,23.0,0.0,541.0,0.0,1299.0,0.0,144.0,0,0.0,0.0,36.0,0,50.5,0.0,30.0,0.0,0.0,0,0.0,0.0,15,0.0,0.0,0.0,1992.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,903.5,1123.0,11151.5,89.75,0.0,152.5,0.0,26076.0,0.0,9165,2677.0,8349,0,21455.0,8608.0,6366.0,,,2020
Áncash,78.0,74.0,61.0,0,85.0,0.0,6090.0,977.0,765.0,0.0,134.0,0.0,36.0,0.0,1434.0,0.0,4833.0,238.0,0.0,155.0,69.5,0,155.0,0.0,0.0,595.0,88.0,305.0,0.0,1205.0,167.0,187.0,392.0,11,0,14718.0,5440.0,3433.0,338.0,0.0,0.0,0.0,37.0,264.0,515.0,105.0,0,8966.0,427.0,76.0,0.0,0.0,0.0,0.0,96.0,153.0,37,18.0,0,0,426.0,194.0,9401.0,41.0,175.0,182.0,195.0,0.0,0.0,0.0,0,0.0,0.0,0,0,4.0,0.0,0,15.0,0.0,19.0,0.0,0.0,0,0.0,0.0,24.0,0.0,41.0,0,11.0,86.0,26,56.0,15.0,0,0.0,1558.0,689.5,0,452.0,19.0,323.0,0.0,20.0,0.0,3293.5,0,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,15.0,440.0,0,0.0,1135.0,782.0,0.0,7097.769,0.0,3288.0,0.0,10.0,892.0,0.0,20.0,0.0,167.0,0.0,245.0,9118.0,0.0,0.0,0.0,0,0.0,0,775,0.0,0.0,0.0,,,2020
Apurímac,0.0,18.0,94.3,17,0.0,0.0,0.0,1337.0,943.2,599.5,30.7,19.0,9.0,341.5,79.0,0.0,4818.5,160.95,0.0,74.5,52.8,0,0.0,37.0,0.0,4142.5,245.0,0.0,0.0,5142.0,927.1,1935.5,76.5,14,2,1810.0,23789.5,2230.0,39.0,0.0,793.6,0.0,0.0,1385.1,2746.7,7.0,0,20404.299999999996,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5202.1,18,0.0,0,0,1102.5,113.5,5265.5,74.0,73.5,329.5,225.0,0.0,0.0,0.0,0,0.0,0.0,0,0,48.3,0.0,0,113.75,49.25,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,12.9,0.0,0,70.0,27.45,0,0.0,58.0,186.19,0,232.95,24.0,73.44,28.33,50.92,0.0,756.25,0,0.0,55.78,0.0,0,0.0,62.14,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,154.5,0.0,0.0,0.0,0.0,31.0,0.0,52.230000000000004,66.22,0.0,76.2,9.7,1433.289,3073.318,776.0,0.0,531.5,0,0.0,0,0,2.0,1605.75,2183.6,,,2020
Arequipa,113.0,449.0,4069.0,22,325.0,0.0,21153.0,3.0,1686.0,0.0,194.0,153.0,0.0,22.0,103.0,2.0,286.0,8753.0,49.0,232.0,132.0,0,48.0,96.0,0.0,3920.0,0.0,1.4,0.0,298.0,1157.0,78.0,219.0,0,0,20.0,2335.0,1920.0,437.0,0.0,0.0,40.0,143.0,19.0,31.0,25.0,0,9056.0,1373.0,59.0,0.0,0.0,0.0,0.0,139.0,2380.0,82,108.0,26,0,0.0,715.0,1923.0,488.0,25.0,1948.0,1210.0,0.0,4557.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,6.0,4.0,0.0,0.0,0.0,0,2.0,0.0,82.0,0.0,13.0,0,87.0,0.0,0,13.0,93.0,0,131.0,12.0,139.0,0,123.0,19.0,20.0,0.0,25.0,0.0,1241.0,0,65.0,44.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1525.0,0,1095.0,180.0,0.0,56.0,561.25,0.0,0.0,0.0,0.0,0.0,360.0,4.0,0.0,2.0,0.0,1822.0,36516.0,471.0,0.0,538.0,0,0.0,0,16529,0.0,13.0,0.0,,,2020
Ayacucho,0.0,20.0,437.0,0,37.0,0.0,19.0,4609.0,1809.0,332.0,42.0,0.0,31.0,90.0,32.0,0.0,11816.0,381.0,0.0,117.0,43.0,0,0.0,0.0,0.0,1539.0,0.0,0.0,6.0,6980.0,1553.0,64.0,58.0,0,0,753.0,17967.0,2058.0,1124.0,73.0,1575.0,0.0,18.0,1774.0,2781.0,7.0,0,26546.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,14005.0,9,0.0,0,0,77.0,71.0,8461.0,27.0,821.0,104.0,48.0,0.0,0.0,24.0,0,7855.0,5549.0,0,0,0.0,0.0,0,77.0,17.0,0.0,48.0,0.0,0,0.0,0.0,0.0,0.0,2.0,166,72.0,44.0,0,111.0,70.0,0,81.0,92.0,131.0,0,746.0,11.0,431.0,56.0,151.0,0.0,3325.0,0,0.0,12.0,0.0,0,0.0,0.0,0.0,45.0,0.0,0,0.0,8.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,49.0,0.0,11.0,90.0,25.0,265.0,0.0,3612.0,10329.0,6328.0,0.0,13.0,0,0.0,0,0,0.0,0.0,0.0,,,2020
Cajamarca,0.0,13.0,984.5,0,0.0,2171.95,21772.0,13641.75,11947.0,0.0,49.0,0.0,144.75,79.0,1122.0,0.0,9574.0,181.6,0.0,72.35,0.0,0,0.0,0.0,0.0,16232.5,2495.5,0.0,0.0,3902.5,1263.0,0.0,43.8,1076,0,16460.0,37365.0,8872.5,495.0,0.0,0.0,0.0,0.0,1190.0,2947.0,0.0,0,28458.9,4.0,0.0,0.0,0.0,0.0,370.0,0.0,497.0,15,0.0,0,0,574.0,169.5,22729.0,0.0,7695.75,573.35,771.25,473.0,0.0,19.0,0,1327.5,65691.0,0,0,0.0,0.0,0,961.5,0.0,0.0,14.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,417.8,82,120.65,0.0,4,0.0,1152.0,38.0,0,0.0,0.0,1009.58,32.0,955.0,0.0,629.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,134.0,0,0.0,0.0,0.0,8206.0,0.0,0.0,0.0,0.0,670.0,12.0,0.0,293.73,549.0,6071.3,0.0,171.0,3676.0,775.0,0.0,0.0,0,14284.3,9965,281,10954.93,27381.0,114.0,,,2020
Callao,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,,,2020
Cusco,0.0,0.0,0.0,0,0.0,0.0,1172.0,2332.0,317.0,4522.0,0.0,0.0,0.0,0.0,64.0,620.5,13141.0,400.0,0.0,77.0,75.0,0,0.0,0.0,0.0,1657.0,0.0,0.0,0.0,9643.0,558.0,188.0,72.0,0,0,3609.5,26567.0,1863.0,0.0,4.0,1183.0,0.0,0.0,1646.0,3544.0,0.0,0,30639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3502.0,0,0.0,0,5,2170.0,47.0,8075.0,0.0,3895.75,598.0,195.0,0.0,0.0,6783.0,0,18381.0,58765.0,0,0,50.0,0.0,0,88.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,126.0,0,191.0,0.0,0,204.0,246.0,90.0,0,248.0,0.0,2245.65,0.0,0.0,0.0,834.94,0,0.0,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1860,0.0,0.0,0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,1794.0,385.0,0.0,0.0,823.5,827.0,3521.2799999999997,305.0,1574.0,2961.55,11685.01,0.0,1076.0,0,0.0,0,0,0.0,2822.0,4.0,,,2020
Huancavelica,0.0,0.0,100.0,0,0.0,0.0,0.0,3607.0,5516.0,871.0,0.0,0.0,0.0,0.0,16.0,0.0,14339.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7240.0,0.0,0.0,0.0,6363.0,1837.0,7.0,0.0,65,172,202.0,20062.0,1057.0,30.0,0.0,414.0,0.0,0.0,496.0,2918.0,0.0,0,25264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638.0,0,0.0,0,0,381.0,27.0,4320.0,0.0,0.0,33.0,214.0,0.0,0.0,0.0,0,0.0,2.0,0,0,20.0,0.0,0,66.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,17.0,0.0,8,33.0,8.0,0,0.0,17.0,35.0,0,53.0,7.0,47.0,17.0,21.0,0.0,1024.5,0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,32.0,0.0,163.0,0.0,1221.0,6932.0,1517.0,0.0,0.0,0,0.0,0,0,0.0,62.0,39.0,,,2020
Huánuco,0.0,86.0,38.5,0,17.0,0.0,6587.0,1031.0,2247.75,1285.0,29.25,20.25,17.75,352.0,255.0,0.0,6218.5,86.5,21.0,107.25,5.5,0,0.0,5.0,0.0,3577.5,215.0,0.0,0.0,2938.75,769.0,0.0,19.0,0,0,11022.5,13767.75,918.5,284.0,32.5,290.0,0.0,0.0,693.0,1725.0,0.0,0,44558.4,0.0,0.0,0.0,0.0,0.0,0.0,32.25,643.0,0,0.0,0,0,1080.75,55.25,7898.0,22.75,4193.5,148.25,629.5,0.0,0.0,416.5,39,23671.0,21048.25,19,0,0.0,102.0,0,19.0,0.0,0.0,134.0,115.0,0,0.0,0.0,0.0,16.0,13.0,0,0.0,3.0,0,152.25,19.13,0,133.0,124.87,16.5,0,315.0,0.0,920.0,3.5,165.5,3625.0,424.0,0,0.0,0.0,53.5,32,57.0,0.0,0.0,0.0,9.5,175,10.0,0.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.5,10.0,0.0,215.62,732.0,19467.0,156.5,57.0,1163.25,1275.0,177220.0,0.0,0,0.0,0,338,0.0,713.5,421.5,,,2020
