Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,nan_x,nan_x,nan_x,nan_x,nan_x,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,Año
Amazonas,6.5,33.7,3.5,0,0.0,1034.5,44034.2,151.0,799.5,0,119.0,0.0,137.0,12.0,33.5,0,44.0,2.0,0.0,339.75,23.5,28.0,0.0,0.0,7114.0,750,0,0,108.0,143.0,0,170.0,0,0.0,11926.0,9249.0,1489.0,0.0,577.5,18.5,0.0,0.0,19.5,177.5,0.0,0.0,4096.93,0,0.0,0.0,0.0,0,355.8,0.0,0.0,29.5,59.0,0,203.0,48.0,198.0,171.0,0.0,10119.8,355.0,121.0,0,0.0,58.0,0,8247.0,56566.75,33.0,0.0,0.0,4.66,0,49.0,0.0,29.5,53.1,236.0,0.0,0.0,0.0,0.0,9.0,0,0.0,63.8,35,673.0,0.0,0.0,0.0,228.0,1.0,0.0,23.0,0.0,542.0,0.0,1301.0,0,159.0,0.0,0.0,36.0,0,45.5,0.0,30.0,0.0,0.0,0,0.0,0.0,15.0,0,0.0,0.0,2002.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,933.5,1166.0,11441.5,154.75,0.0,153.5,0.0,26574.0,0,9295,2677.0,8384,0.0,21521.0,9346.0,6654.0,,,,,,,,,,,,,,,,2022
Áncash,77.0,312.0,72.0,0,96.0,0.0,5613.0,495.0,995.0,0,136.0,0.0,34.0,0.0,1883.0,0,5211.0,162.0,0.0,148.0,65.0,157.0,45.0,0.0,871.0,70,487,0,745.0,94.0,90,542.0,0,0.0,10813.0,6540.0,4581.0,305.0,0.0,0.0,0.0,44.0,316.0,903.0,34.0,0.0,10107.0,382,76.0,0.0,0.0,0,0.0,110.0,29.0,33.0,10.0,0,0.0,413.0,240.0,9899.0,40.0,265.0,218.0,312.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0,15.0,0.0,28.0,0.0,0.0,0.0,0.0,34.0,0.0,41.0,0,11.0,86.0,26,56.0,15.0,0.0,0.0,1878.0,709.5,0.0,452.0,19.0,323.0,0.0,20.0,0,3693.5,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,15.0,540.0,0.0,840,470.0,400.0,0.0,6636.739999999999,0.0,2100.0,0.0,12.0,512.0,0.0,18.0,0.0,144.0,0.0,495.0,9226.5,0.0,0.0,0,0,0.0,0,814.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Apurímac,0.0,18.0,83.4,18,6.0,0.0,0.0,1284.5,1149.0,629,19.0,20.0,0.0,300.5,149.5,0,4270.0,186.2,0.0,43.0,44.0,0.0,51.5,0.0,3445.0,537,0,0,4896.0,1157.0,2122,91.05,19,0.0,1824.0,23116.0,3934.5,32.0,0.0,868.0,0.0,0.0,1366.0,2857.5,6.0,0.0,23060.5,0,13.0,0.0,0.0,0,0.0,0.0,5331.5,1.0,0.0,0,0.0,1025.5,98.0,4604.0,56.0,100.0,266.0,240.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,52.8,0.0,0,155.0,63.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,15.9,0.0,0,70.0,32.3,0.0,0.0,82.0,195.15,0.0,260.95,22.0,89.56,34.33,50.2,0,1851.5,0.0,63.099999999999994,0.0,0,0.0,63.19,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,165.5,0.0,0.0,0.0,0.0,60.0,0.0,49.230000000000004,91.22,0.0,92.2,8.0,1355.5,3362.33,636.5,0.0,796,0,0.0,0,0.0,2.0,2061.5,2328.85,,,,,,,,,,,,,,,,2022
Arequipa,100.0,323.0,5406.0,39,380.0,0.0,20759.0,3.0,1793.0,0,231.0,168.0,0.0,20.0,82.0,2,234.0,7344.0,25.0,219.0,165.0,60.0,166.0,0.0,3471.0,0,0,0,364.0,1367.0,63,225.0,0,0.0,236.0,2472.0,2079.0,274.0,0.0,0.0,25.0,128.0,16.0,27.0,35.0,0.0,8549.0,1323,62.0,0.0,0.0,0,0.0,165.0,1505.0,94.0,68.0,19,0.0,0.0,890.0,2921.0,515.0,26.0,2054.0,1354.0,0,4734.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,97.0,0.0,13.0,0,87.0,0.0,0,13.0,93.0,0.0,232.0,12.0,138.0,0.0,122.0,19.0,20.0,1.0,25.0,0,1337.0,65.0,44.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1539.0,0.0,2431,220.0,0.0,55.0,608.2672,0.0,0.0,0.0,0.0,0.0,534.0,3.0,0.0,2.0,0.0,1808.0,36373.0,540.0,0.0,739,0,0.0,0,15515.0,0.0,13.0,0.0,,,,,,,,,,,,,,,,2022
Ayacucho,0.0,22.0,544.0,0,57.0,0.0,4.0,4591.0,1861.0,528,41.0,0.0,19.0,145.0,26.0,0,12419.0,195.0,0.0,98.0,41.0,0.0,0.0,0.0,1541.0,0,104,24,6728.0,1736.0,47,72.0,2,0.0,610.0,18901.0,1948.0,874.0,0.0,1762.0,0.0,9.0,2014.0,2987.0,43.0,0.0,32393.0,0,8.0,0.0,0.0,0,0.0,16.0,15162.0,1.0,0.0,0,0.0,59.0,91.0,8795.0,27.0,749.0,165.0,79.0,0,0.0,27.0,0,7589.0,3537.0,0.0,0.0,0.0,0.0,0,109.0,17.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,143,46.0,45.0,0,93.0,63.0,0.0,64.0,105.0,124.0,0.0,715.0,7.0,326.0,49.0,144.0,0,5024.0,0.0,8.0,0.0,0,0.0,0.0,0.0,51.0,0.0,0,0.0,6.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,65.0,47.0,0.0,8.0,68.0,6.0,295.0,0.0,3270.0,10457.0,8481.0,0.0,4,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Cajamarca,0.0,26.0,1150.0,0,0.0,1417.5,23298.0,14996.5,13350.5,0,47.0,0.0,88.95,0.0,855.8,0,8214.5,192.0,0.0,22.0,0.0,0.0,0.0,0.0,15991.0,3889,73,0,3780.5,1571.0,0,3.95,1142,0.0,18098.0,35522.0,9461.0,734.0,0.0,0.0,0.0,0.0,980.0,2779.0,0.0,0.0,29822.9,8,0.0,23.0,0.0,0,310.0,0.0,608.0,23.0,0.0,0,0.0,497.0,189.5,24161.0,0.0,6293.0,575.0,671.3,335,0.0,19.0,0,1436.5,69309.0,0.0,0.0,0.0,0.0,0,902.5,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,310.69,82,134.65,0.0,32.5,0.0,1213.0,38.0,0.0,0.0,0.0,1010.67,32.0,1059.0,0,705.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,221.0,0.0,0,0.0,0.0,7747.478,0.0,0.0,0.0,0.0,837.3,18.0,0.0,294.73,556.0,6098.05,0.0,145.0,3866.0,988.0,0.0,0,0,14284.359999999999,9965,340.0,11000.93,38881.5,114.0,,,,,,,,,,,,,,,,2022
Callao,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Cusco,0.0,0.0,0.0,0,0.0,0.0,1041.0,2063.0,507.0,4412,0.0,0.0,0.0,0.0,102.0,456,15209.0,589.0,0.0,140.0,133.0,0.0,15.0,0.0,1601.0,0,90,0,9675.0,735.0,418,120.0,0,0.0,3467.0,26988.0,2232.0,0.0,0.0,1387.0,0.0,0.0,1817.0,3382.0,0.0,0.0,33677.0,0,0.0,0.0,0.0,0,0.0,0.0,3841.0,0.0,0.0,0,10.0,2450.0,59.0,8883.0,0.0,3217.5,707.0,221.0,0,0.0,6782.0,0,18335.8,50728.0,0.0,0.0,45.0,0.0,0,89.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,229.0,0,191.0,0.0,0.0,208.0,240.0,105.0,0.0,290.0,0.0,2227.0,0.0,0.0,0,926.0,0.0,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1850,0.0,0.0,0.0,785,0.0,0.0,0.0,0.0,0.0,0.0,1783.0,371.0,0.0,0.0,791.5,1038.5,3793.0,326.0,1564.0,3224.55,15522.0,0.0,1443,0,0.0,0,0.0,0.0,3191.0,17.0,,,,,,,,,,,,,,,,2022
Huancavelica,0.0,0.0,152.0,0,0.0,0.0,0.0,3188.0,5412.0,614,0.0,0.0,0.0,0.0,15.0,0,11380.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,6041.0,0,0,0,6438.0,1461.0,3,0.0,10,270.0,414.0,17765.0,950.0,54.0,0.0,462.0,0.0,0.0,469.0,2203.0,7.0,0.0,23133.0,0,0.0,0.0,0.0,0,0.0,0.0,1589.0,0.0,0.0,0,0.0,190.0,26.0,4293.0,0.0,0.0,167.0,345.0,0,0.0,0.0,0,0.0,40.0,0.0,0.0,17.0,0.0,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.0,0.0,2,39.0,8.0,0.0,0.0,15.0,29.0,0.0,48.0,3.0,45.0,16.0,20.0,0,2390.4,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,7.0,0.0,0.0,0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,122.0,0.0,1073.0,5796.0,1063.0,0.0,21,0,0.0,0,0.0,0.0,86.0,67.0,,,,,,,,,,,,,,,,2022
Huánuco,0.0,134.5,40.5,0,16.75,0.0,8744.5,1199.0,2224.75,1010,35.0,23.5,30.5,397.5,275.5,0,6393.25,94.0,20.0,118.25,5.5,0.0,20.0,0.0,3710.5,120,0,0,3088.0,810.5,0,20.0,0,0.0,9264.25,13689.0,1154.25,301.5,24.25,354.0,0.0,0.0,785.0,2146.0,0.0,0.0,43271.25,0,0.0,0.0,0.0,0,0.0,30.5,778.25,0.0,0.0,0,0.0,1079.75,63.75,8194.5,28.25,4264.75,178.0,970.25,0,0.0,416.5,46,24769.75,21080.25,30.0,0.0,0.0,102.0,0,19.0,0.0,0.0,157.0,118.0,0.0,0.0,0.0,16.0,13.0,0,0.0,3.0,0,156.25,20.13,0.0,133.0,125.87,16.0,0.0,319.0,0.0,920.0,2.0,305.5,3790,493.0,0.0,0.0,13.5,32,4.0,0.0,0.0,0.0,10.5,175,10.0,0.0,68.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.5,10.0,0.0,185.0,749.0,19535.5,208.75,57.0,1484.25,1261.0,195972.0,0,0,0.0,0,381.25,0.0,1677.5,959.5,,,,,,,,,,,,,,,,2022
