Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Copoazú,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pan de árbol,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,,,Año
Amazonas,7.675,275.18,23.1,0.0,0.0,8730.343,471613.74999999994,122.78000000000002,1628.4540000000002,0.0,369.69899999999996,0.0,508.44999999999993,60.9,287.9,0.0,78.11000000000001,7.0,0.0,1931.708,70.98400000000001,0,63.099000000000004,0.0,0.0,6930.620000000002,2255.7699999999995,0.0,0.0,101.96,440.28,0.0,676.319,0.0,0.0,22640.074000000004,6622.192,5687.5,0.0,1619.47,69.89999999999999,0.0,0.0,300.5,1471.14,0.0,0.0,67703.962,0.0,0.0,0.0,0.0,0,2446.04,0.0,0.0,74.314,552.3,0.0,484.4,62.36,787.6,252.67599999999996,0.0,189847.995,3285.155,1277.95,0.0,0.0,40.827999999999996,0.0,5051.777999999999,44991.044,0.0,0.0,0.0,70.1,0.0,328.21899999999994,0.0,130.34,685.9000000000001,738.5,0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,676.0,428.86,5995.524000000001,0.0,0.0,0.0,3119.52,5.0,0.0,113.15699999999998,0.0,5849.905,0.0,7178.5,0.0,1172.055,0,0.0,0.0,221.0,0,121.5,0.0,221.6,0.0,0.0,0.0,0.0,0.0,129.5,0.0,0.0,0.0,110578.96600000001,0.0,0.0,0.0,0.0,779.639,0.0,0.0,14491.39,18490.799999999996,116787.12,482.539,0.0,12807.673999999997,0.0,1359815.2130000002,0.0,414253.829,109030.0,611410.758,0,1162424.924,216561.461,200011.88999999998,,,2020
Áncash,673.0,393.2,312.0,0.0,730.0,0.0,73185.0,983.2,2771.5,0.0,1450.0,0.0,158.0,0.0,29483.0,0.0,4828.0,4997.0,0.0,1372.0,620.0,0,1403.0,0.0,0.0,796.65,314.0,618.0,0.0,1224.2,606.4,294.9,4757.0,15.0,0.0,159269.8,7017.84,44580.6,1746.2,0.0,0.0,0.0,323.0,1073.0,2417.9500000000003,142.0,0.0,105450.90000000001,2234.0,801.0,0.0,0.0,0,0.0,947.5,161.55,336.0,730.0,0.0,0.0,430.0,4133.0,9400.0,160.2,3643.7,3772.0,7879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,86.0,0.0,162.0,0.0,0.0,0,0.0,0.0,176.0,0.0,295.0,0.0,89.0,1064.0,307.0,850.0,140.0,0.0,0.0,38209.0,4932.77,0.0,4354.0,177.0,2207.0,0.0,123.0,0.0,33362.95,0,0.0,65.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,4590.0,0.0,0.0,2402.0,8225.0,0.0,975401.453,0.0,12982.0,0.0,40.0,6032.0,0.0,184.0,0.0,1702.0,0.0,1944.0,254972.0,0.0,0.0,0.0,0.0,0.0,0.0,775,0.0,0.0,0.0,,,2020
Apurímac,0.0,64.5,615.56,70.0,0.0,0.0,0.0,2659.67,3439.2199999999993,1405.5,204.0,143.0,49.0,2550.23,982.0,0.0,11096.55,1142.8700000000001,0.0,426.26000000000005,344.33,0,0.0,387.0,0.0,9136.29,490.0,0.0,0.0,11130.93,3859.09,4359.45,210.08,35.0,10.0,4449.6900000000005,52566.8,18689.85,305.0,0.0,6734.6,0.0,0.0,12107.65,27144.5,25.5,0.0,378425.02999999997,0.0,146.0,0.0,0.0,0,0.0,0.0,11887.939999999999,38.0,0.0,0.0,0.0,2490.66,1926.5,12510.73,312.0,900.5,2775.7000000000003,4014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.55,0.0,0.0,566.9,159.899,0.0,0.0,0.0,0,0.0,0.0,14.0,0.0,0.0,0.0,68.66,0.0,0.0,346.70999999999987,112.185,0.0,0.0,364.1,844.7500000000001,0.0,1022.0900000000001,161.219,334.54,133.07999999999998,195.7,0.0,4957.2,0,0.0,308.39900000000006,0.0,0,0.0,246.12000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3277.5,0.0,0.0,0.0,0.0,103.91999999999999,0.0,108.50999999999999,588.2,0.0,305.2,35.413999999999994,6174.33,129518.29899999998,776.0,0.0,531.5,0.0,0.0,0.0,0,135.0,92538.43000000001,126743.35600000001,,,2020
Arequipa,2010.5849999999996,2150.65,63517.231,1127.0,8118.214000000001,0.0,284336.142,4.58,16643.25,0.0,4099.494000000001,2636.1420000000003,0.0,1144.72,1232.5420000000001,2.1,797.939,370497.358,1630.2,4261.957,2367.192,0,1936.768,393.59900000000005,0.0,7179.800000000001,0.0,3.0,0.0,665.823,9721.822000000002,276.78,3762.868,0.0,0.0,145.188,7307.345,35851.728,2250.5119999999997,0.0,0.0,1205.4,2372.3390000000004,55.620000000000005,103.118,42.5,0.0,319754.865,8896.619999999999,858.6670000000001,0.0,0.0,0,0.0,2806.472,8643.587,1326.748,6494.5,96.644,0.0,0.0,35306.815,12790.559,6329.387,368.32899999999995,87462.89900000002,41900.453,0.0,42817.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,32.949,0.0,0.0,0.0,0,14.77,0.0,3079.116,0.0,137.639,0.0,819.889,0.0,0.0,45.04,672.739,0.0,7223.0,154.07999999999998,976.0280000000001,0.0,844.73,94.97000000000001,161.7,0.0,84.156,0.0,27527.558000000005,0,164.0,263.653,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36847.513,0.0,22503.819,635.0,0.0,4697.36,64801.471000000005,0.0,0.0,0.0,0.0,0.0,1956.4699999999998,30.64,0.0,17.85,0.0,3257.648,2587675.1819999996,471.0,0.0,538.0,0.0,0.0,0.0,16529,0.0,918.239,0.0,,,2020
Ayacucho,0.0,100.0,2132.0,0.0,760.0,0.0,56.0,6143.0,5627.0,318.0,273.0,0.0,122.0,719.0,599.0,0.0,16529.0,3722.0,0.0,1070.0,395.0,0,0.0,0.0,0.0,2262.0,0.0,0.0,9.0,9289.0,5119.0,88.0,495.0,0.0,0.0,2061.0,23436.0,11698.0,6060.0,73.0,8362.0,0.0,92.0,8910.0,15203.0,11.0,0.0,448891.0,0.0,68.0,0.0,0.0,0,0.0,101.0,23449.0,49.0,0.0,0.0,0.0,105.0,975.0,13059.0,140.0,8771.0,982.0,501.0,0.0,0.0,41.0,0.0,5634.0,2212.0,0.0,0.0,0.0,0.0,0.0,446.0,57.0,0.0,221.0,0.0,0,0.0,0.0,0.0,0.0,12.0,904.0,483.0,190.0,0.0,624.0,437.0,0.0,399.0,469.0,780.0,0.0,4137.0,76.0,2467.0,303.0,745.0,0.0,29498.0,0,0.0,69.0,0.0,0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,71.0,251.0,1.0,57.0,712.0,214.0,1121.0,0.0,20260.0,227887.0,6328.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,2020
Cajamarca,0.0,94.0,5681.189,0.0,0.0,12070.26,172052.728,12416.297,22167.171,0.0,318.20000000000005,0.0,319.839,1272.3000000000002,5625.4400000000005,0.0,8116.219,1730.44,0.0,255.15699999999998,0.0,0,0.0,0.0,0.0,13674.644999999999,5797.789,0.0,0.0,3509.0359999999996,3054.629,0.0,115.88999999999999,716.232,0.0,56662.873,30455.221999999994,24009.489,1899.1679999999997,0.0,0.0,0.0,0.0,5414.297999999999,14583.623000000001,0.0,0.0,365515.462,72.0,0.0,0.0,0.0,0,1672.5119999999997,0.0,538.0580000000001,65.7,0.0,0.0,0.0,448.019,1330.86,21886.815000000002,0.0,62425.623999999996,6685.12,12414.576,347.71,0.0,14.0,0.0,1137.1860000000001,71792.86600000001,0.0,0.0,0.0,0.0,0.0,4496.851000000001,0.0,0.0,111.505,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1913.28,354.572,626.594,0.0,34.0,0.0,8231.39,412.5,0.0,0.0,0.0,4959.955000000001,51.0,5091.4800000000005,0.0,4981.082,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.0,0.0,0.0,0.0,0.0,174513.62,0.0,0.0,0.0,0.0,3606.3950000000004,57.0,0.0,3011.575,5896.551,40942.78799999999,0.0,444.3,176712.40599999996,775.0,0.0,0.0,0.0,299562.737,192889.799,281,270567.657,1378121.19,3797.3190000000004,,,2020
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,2020
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,2147.6,3364.5499999999997,1763.0,9206.1,0.0,0.0,0.0,0.0,482.0,317.0,26629.050000000003,5301.5,0.0,1234.0,965.0,0,0.0,0.0,0.0,2672.49,0.0,0.0,0.0,19391.149999999998,4526.5,420.4,937.0,0.0,0.0,5830.359,70447.40000000001,33572.0,0.0,6.0,10567.0,0.0,0.0,15739.0,30768.0,0.0,0.0,442049.5,0.0,0.0,0.0,0.0,0,0.0,0.0,6767.200000000001,0.0,0.0,0.0,7.5,3061.8,750.0,16141.2,0.0,34430.6,8077.5,3902.0,0.0,0.0,2100.1,0.0,7475.8,27627.149999999998,0.0,0.0,202.0,0.0,0.0,646.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.7,0.0,1515.0,0.0,0.0,1447.7,856.8,565.0,0.0,1886.0,0.0,20769.5,0.0,0.0,0.0,7536.5,0,0.0,163.0,0.0,0,0.0,0.0,0.0,0.0,0.0,927.5,0.0,0.0,0.0,9300.5,0.0,0.0,0.0,0.0,0.0,0.0,2693.1,2833.8999999999996,0.0,0.0,5269.2,7720.1,29045.3,1277.0,14395.0,207608.25,11685.01,0.0,1076.0,0.0,0.0,0.0,0,0.0,64880.84,304.0,,,2020
Huancavelica,0.0,0.0,541.8,0.0,0.0,0.0,0.0,5955.6,21819.600000000002,1480.9999999999998,0.0,0.0,0.0,0.0,102.99999999999999,0.0,23197.799999999996,56.5,0.0,0.0,0.0,0,0.0,0.0,0.0,14891.349999999999,0.0,0.0,0.0,10333.249999999998,7692.410000000001,7.65,0.0,120.7,1035.8,352.74999999999994,39169.549999999996,10930.8,48.0,0.0,2461.3,0.0,0.0,2825.1499999999996,16942.32,0.0,0.0,319850.75,0.0,0.0,0.0,0.0,0,0.0,0.0,2021.75,0.0,0.0,0.0,0.0,594.8000000000001,215.9,6558.450000000001,0.0,0.0,245.8,2517.65,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,79.0,0.0,0.0,472.80000000000007,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22.0,76.8,0.0,49.1,179.69999999999996,47.0,0.0,0.0,115.80000000000001,196.95,0.0,280.75,39.6,275.9,71.5,100.75,0.0,11883.1,0,0.0,43.300000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.1,0.0,0.0,0.0,0.0,0.0,1323.6,0.0,0.0,0.0,0.0,52.400000000000006,0.0,0.0,292.6000000000001,0.0,906.0,0.0,6106.4,230032.45,1517.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1656.8999999999999,1054.7,,,2020
Huánuco,0.0,403.50000000000006,208.5,0.0,198.0,0.0,40453.0,1229.9990000000003,13923.0,2000.9999999999995,361.0,298.0,186.0,5051.0,3637.0,0.0,9114.0,1236.0,204.0,1705.0,89.0,0,0.0,64.0,0.0,4807.0,1285.0,0.0,0.0,3292.9,6768.0,0.0,202.0,0.0,0.0,45380.0,15997.0,7389.0,1963.0,67.0,1751.0000000000002,0.0,0.0,4917.0,17713.0,0.0,0.0,744913.0,0.0,0.0,0.0,0.0,0,0.0,390.0,626.0000000000001,0.0,0.0,0.0,0.0,1346.0,1000.0,12031.0,160.0,55907.0,3148.0,16870.0,0.0,0.0,593.0,221.0,14395.0,11921.0,104.0,0.0,0.0,1009.0,0.0,140.0,0.0,0.0,1388.0,517.0,0,0.0,0.0,0.0,76.0,68.0,0.0,0.0,22.5,0.0,1144.0,155.0,0.0,1088.0,722.0,103.0,0.0,1633.0,0.0,11670.0,8.6,747.5,34628.0,3697.8,0,0.0,0.0,253.0,258,32.8,0.0,0.0,0.0,86.0,713.0,112.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478.0,62.0,0.0,2681.0,9764.0,228144.0,1332.0,151.7,26201.0,1275.0,4734185.0,0.0,0.0,0.0,0.0,338,0.0,13355.0,7652.0,,,2020
