Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Copoazú,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pan de árbol,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,,,Año
Amazonas,3837.5,6728.117359413203,5775.0,0.0,0.0,9193.705770850886,9016.609310773347,779.5555555555557,2439.6314606741576,0.0,7865.936170212765,0.0,4254.811715481172,6766.666666666667,7382.051282051281,0.0,1132.0289855072465,7000.0,0.0,8099.404612159329,5915.333333333334,0,7423.411764705882,0.0,0.0,857.4316466658421,3215.6379187455445,0.0,0.0,812.430278884462,2323.3773087071236,0.0,5028.394052044609,0.0,0.0,2463.555386289446,844.29043156754,6263.766519823789,0.0,3497.7753779697623,6078.260869565216,0.0,0.0,6070.707070707071,6626.756756756758,0.0,0.0,18445.433047268765,0.0,0.0,0.0,0.0,0.0,8305.738539898133,0.0,0.0,5716.461538461538,10227.777777777776,0.0,2434.170854271357,696.7597765363129,8247.120418848168,1180.7289719626167,0.0,16383.154556437696,12683.996138996139,12407.28155339806,0.0,0.0,785.1538461538461,0.0,629.6619718309859,772.8295314003024,0.0,0.0,0.0,15042.91845493562,0.0,6698.3469387755085,0.0,4418.3050847457625,12917.137476459513,4035.5191256830603,0,0.0,0.0,0.0,0.0,3250.0,0.0,0.0,10595.611285266457,12253.142857142857,9592.838400000002,0.0,0.0,0.0,13682.105263157895,5000.0,0.0,4919.86956521739,0.0,10813.133086876154,0.0,5526.173979984604,0.0,8139.270833333335,0,0.0,0.0,6138.88888888889,0.0,2405.940594059406,0.0,7386.666666666667,0.0,0.0,0.0,0.0,0.0,8633.333333333332,0.0,0.0,0.0,55511.52911646587,0.0,0.0,0.0,0.0,4872.74375,0.0,0.0,16039.169894853349,16465.538735529826,10472.772272788414,5376.479108635097,0.0,83984.74754098359,0.0,52148.15205553,0.0,45199.54489907256,40728.42734404184,73231.61552281711,0.0,54179.67485434631,25158.162290892193,31418.77002827521,,,2020
Áncash,8628.205128205127,5313.513513513513,5114.754098360656,0.0,8588.235294117647,0.0,12017.241379310346,1006.345957011259,3622.875816993464,0.0,10820.89552238806,0.0,4388.88888888889,0.0,20559.97210599721,0.0,998.9654458928202,20995.79831932773,0.0,8851.612903225807,8920.863309352517,0,9051.612903225805,0.0,0.0,1338.90756302521,3568.1818181818185,2026.2295081967213,0.0,1015.9336099585064,3631.1377245508984,1577.0053475935829,12135.204081632652,1363.6363636363635,0.0,10821.429542057343,1290.044117647059,12985.901543839207,5166.2721893491125,0.0,0.0,0.0,8729.72972972973,4064.3939393939395,4695.048543689321,1352.3809523809525,0.0,11761.197858576847,5231.850117096019,10539.473684210525,0.0,0.0,0.0,0.0,9869.791666666666,1055.8823529411766,9081.08108108108,40555.555555555555,0.0,0.0,1009.3896713615022,21304.123711340206,999.8936283374109,3907.3170731707314,20821.142857142855,20725.274725274725,40405.12820512821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,0.0,5733.333333333333,0.0,8526.315789473685,0.0,0.0,0,0.0,0.0,7333.333333333333,0.0,7195.121951219512,0.0,8090.909090909092,12372.093023255815,11807.692307692309,15178.57142857143,9333.333333333334,0.0,0.0,24524.39024390244,7154.126178390138,0.0,9632.743362831858,9315.78947368421,6832.8173374613,0.0,6150.0,0.0,10129.937756186428,0,0.0,7222.222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0,10431.818181818182,0.0,0.0,2116.2995594713657,10517.902813299233,0.0,137423.66833860046,0.0,3948.296836982968,0.0,4000.0,6762.331838565023,0.0,9200.0,0.0,10191.616766467065,0.0,7934.693877551021,27963.58850625137,0.0,0.0,0.0,0.0,0.0,0.0,20832.25806451613,0.0,0.0,0.0,,,2020
Apurímac,0.0,3583.3333333333335,6527.677624602332,4117.647058823529,0.0,0.0,0.0,1989.2819745699328,3646.331636980491,2344.4537114261884,6644.951140065147,7526.315789473684,5444.444444444444,7467.730600292825,12430.379746835444,0.0,2302.9054685067963,7100.7766387076745,0.0,5721.610738255034,6521.401515151515,0,0.0,10459.45945945946,0.0,2205.501508750755,2000.0,0.0,0.0,2164.708284714119,4162.539100420666,2252.3637303022474,2746.143790849673,2500.0,5000.0,2458.3922651933703,2209.663927362912,8381.09865470852,7820.51282051282,0.0,8486.139112903225,0.0,0.0,8741.354414843692,9882.586376378928,3642.8571428571427,0.0,18546.337291649314,0.0,10428.57142857143,0.0,0.0,0.0,0.0,0.0,2285.2194306145593,2111.1111111111113,0.0,0.0,0.0,2259.1020408163263,16973.568281938326,2375.981388282214,4216.216216216216,12251.700680272108,8423.975720789074,17840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3406.8322981366464,0.0,0.0,4983.736263736263,3246.680203045685,0.0,0.0,0.0,0,0.0,0.0,14000.0,0.0,0.0,0.0,5322.480620155038,0.0,0.0,4952.999999999998,4086.8852459016393,0.0,0.0,6277.586206896552,4537.0320640206255,0.0,4387.5939042713035,6717.458333333333,4555.283224400872,4697.493822802682,3843.2835820895516,0.0,6554.975206611571,0,0.0,5528.845464324131,0.0,0.0,0.0,3960.733826842614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21213.59223300971,0.0,0.0,0.0,0.0,3352.258064516129,0.0,2077.5416427340606,8882.51283600121,0.0,4005.2493438320207,3650.927835051546,4307.805334444065,42142.82381452228,13847.938144329897,0.0,16042.333019755411,0.0,0.0,0.0,0.0,67500.0,57629.41304686284,58043.30280271112,,,2020
Arequipa,17792.787610619467,4789.866369710468,15610.034652248709,51227.27272727273,24979.120000000003,0.0,13441.882569848249,1526.6666666666665,9871.44128113879,0.0,21131.41237113402,17229.686274509808,0.0,52032.72727272727,11966.42718446602,1050.0,2789.9965034965035,42328.042728207474,33269.38775510204,18370.504310344826,17933.272727272728,0,40349.333333333336,4099.989583333334,0.0,1831.5816326530614,0.0,2142.8571428571427,0.0,2234.3053691275163,8402.611927398446,3548.461538461538,17182.045662100456,0.0,0.0,7259.4,3129.483940042827,18672.775,5149.91304347826,0.0,0.0,30135.0,16589.78321678322,2927.3684210526317,3326.3870967741937,1700.0,0.0,35308.620251766784,6479.6941005098315,14553.677966101697,0.0,0.0,0.0,0.0,20190.44604316547,3631.7592436974787,16179.853658536587,60134.25925925926,3717.0769230769233,0.0,0.0,49380.160839160846,6651.3567342693705,12970.055327868853,14733.159999999998,44898.81878850104,34628.47355371901,0.0,9396.082949308757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4785.0,8237.25,0.0,0.0,0.0,0,7385.0,0.0,37550.19512195122,0.0,10587.615384615387,0.0,9424.011494252873,0.0,0.0,3464.6153846153848,7233.752688172044,0.0,55137.404580152666,12839.999999999998,7021.784172661872,0.0,6867.723577235773,4998.421052631579,8084.999999999999,0.0,3366.2400000000002,0.0,22181.755036261085,0,2523.076923076923,5992.113636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24162.303606557376,0.0,20551.43287671233,3527.777777777778,0.0,83881.42857142857,115459.19109131405,0.0,0.0,0.0,0.0,0.0,5434.638888888889,7660.0,0.0,8925.0,0.0,1787.9517014270034,70864.14673020045,16086.089171974525,0.0,15762.646840148704,0.0,0.0,0.0,58950.57299292154,0.0,70633.76923076923,0.0,,,2020
Ayacucho,0.0,5000.0,4878.718535469107,0.0,20540.54054054054,0.0,2947.368421052631,1332.827077457149,3110.558319513543,957.8313253012049,6500.0,0.0,3935.483870967742,7988.888888888889,18718.75,0.0,1398.8659444820582,9769.028871391076,0.0,9145.299145299145,9186.046511627907,0,0.0,0.0,0.0,1469.7855750487329,0.0,0.0,1500.0,1330.8022922636103,3296.200901481004,1375.0,8534.48275862069,0.0,0.0,2737.051792828685,1304.3913842043746,5684.159378036929,5391.459074733097,1000.0,5309.206349206349,0.0,5111.11111111111,5022.5479143179255,5466.7385832434375,1571.4285714285713,0.0,16909.929932946583,0.0,11333.333333333334,0.0,0.0,0.0,0.0,8416.666666666666,1674.3305962156371,5444.444444444444,0.0,0.0,0.0,1363.6363636363635,13732.394366197184,1543.4345822006853,5185.185185185185,10683.313032886723,9442.307692307691,10437.5,0.0,0.0,1708.3333333333333,0.0,717.2501591343093,398.63038385294647,0.0,0.0,0.0,0.0,0.0,5792.207792207792,3352.9411764705883,0.0,4604.166666666667,0.0,0,0.0,0.0,0.0,0.0,6000.0,5445.78313253012,6708.333333333333,4318.181818181818,0.0,5621.621621621622,6242.857142857143,0.0,4925.925925925925,5097.826086956521,5954.198473282442,0.0,5545.576407506703,6909.090909090909,5723.897911832947,5410.714285714285,4933.774834437087,0.0,8871.578947368422,0,0.0,5750.0,0.0,0.0,0.0,0.0,0.0,6800.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,1543.4782608695652,5122.448979591836,0.0,5181.818181818182,7911.111111111111,8560.0,4230.188679245283,0.0,5609.080841638981,22062.83280085197,20395.385587863464,0.0,11923.076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020
Cajamarca,0.0,7230.7692307692305,5770.633824276283,0.0,0.0,5557.337876102121,7902.476942862392,910.1689299393406,1855.4591947769313,0.0,6493.87755102041,0.0,2209.5958549222796,16105.063291139242,5013.7611408199655,0.0,847.7354292876541,9528.85462555066,0.0,3526.703524533518,0.0,0,0.0,0.0,0.0,842.4238410596025,2323.297535564015,0.0,0.0,899.1764253683535,2418.550277117973,0.0,2645.890410958904,665.6431226765799,0.0,3442.458869987849,815.0735179981265,2706.056804733728,3836.7030303030297,0.0,0.0,0.0,0.0,4549.83025210084,4948.633525619274,0.0,0.0,12843.625790174603,18000.0,0.0,0.0,0.0,0.0,4520.302702702702,0.0,1082.611670020121,4380.0,0.0,0.0,0.0,780.520905923345,7851.6814159292035,962.9466760526201,0.0,8111.701133742649,11659.754076916368,16096.694975688817,735.1162790697674,0.0,736.8421052631578,0.0,856.6372881355934,1092.8873970559134,0.0,0.0,0.0,0.0,0.0,4676.91211648466,0.0,0.0,7964.642857142857,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4579.4159885112485,4324.048780487805,5193.485288023207,0.0,8500.0,0.0,7145.303819444444,10855.263157894737,0.0,0.0,0.0,4912.889518413598,1593.75,5331.392670157069,0.0,7912.759332803813,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11888.059701492537,0.0,0.0,0.0,0.0,21266.587862539607,0.0,0.0,0.0,0.0,5382.679104477613,4750.0,0.0,10252.868280393557,10740.530054644809,6743.660830464644,0.0,2598.245614035088,48071.92763873775,17581.16129032258,0.0,0.0,0.0,20971.46776530877,19356.728449573508,8234.875444839858,24698.255214775447,50331.29505861729,33309.81578947369,,,2020
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,1832.4232081911262,1442.7744425385933,5561.514195583596,2035.8469703670944,0.0,0.0,0.0,0.0,7531.25,510.8783239323127,2026.409710067727,13253.75,0.0,16025.974025974027,12866.666666666668,0,0.0,0.0,0.0,1612.8485214242605,0.0,0.0,0.0,2010.9042828995123,8112.007168458781,2236.1702127659573,13013.888888888889,0.0,0.0,1615.281617952625,2651.688184589905,18020.397208803006,0.0,1500.0,8932.375316990701,0.0,0.0,9561.968408262455,8681.715575620767,0.0,0.0,14427.673879695813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.3814962878357,0.0,0.0,0.0,1500.0,1410.9677419354841,15957.446808510638,1998.9102167182664,0.0,8837.990117435666,13507.52508361204,20010.25641025641,0.0,0.0,309.6122659590152,0.0,406.71345411022253,470.1293286820386,0.0,0.0,4040.0,0.0,0.0,7340.909090909091,3000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8330.95238095238,0.0,7931.937172774869,0.0,0.0,7096.568627450981,3482.9268292682927,6277.777777777777,0.0,7604.838709677419,0.0,9248.769843920469,0.0,0.0,0.0,9026.397106378901,0,0.0,4657.142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.65591397849465,0.0,0.0,0.0,10739.60739030023,0.0,0.0,0.0,0.0,0.0,0.0,1501.1705685618729,7360.77922077922,0.0,0.0,6398.542805100182,9335.066505441355,8248.506225009087,4186.88524590164,9145.48919949174,70101.21389137444,21990.567402167395,0.0,19030.669144981413,0.0,0.0,0.0,0.0,0.0,22991.084337349395,76000.0,,,2020
Huancavelica,0.0,0.0,5417.999999999999,0.0,0.0,0.0,0.0,1651.1228167452177,3955.6925308194345,1700.344431687715,0.0,0.0,0.0,0.0,6437.499999999999,0.0,1617.8115628704927,7062.5,0.0,0.0,0.0,0,0.0,0.0,0.0,2056.8162983425414,0.0,0.0,0.0,1623.9588244538736,4187.4850299401205,1092.857142857143,0.0,1856.923076923077,6022.093023255814,1746.287128712871,1952.4249825540821,10341.343424787132,1600.0,0.0,5945.169082125604,0.0,0.0,5695.86693548387,5806.14119259767,0.0,0.0,12660.336842938568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2796092796093,0.0,0.0,0.0,0.0,1561.1548556430448,7996.2962962962965,1518.1597222222222,0.0,0.0,7448.484848484849,11764.719626168224,0.0,0.0,0.0,0.0,0.0,610.0,0.0,0.0,3950.0,0.0,0.0,7163.636363636365,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4400.0,4517.64705882353,0.0,6137.5,5445.454545454544,5875.0,0.0,0.0,6811.764705882353,5627.142857142857,0.0,5297.169811320755,5657.142857142858,5870.212765957446,4205.882352941177,4797.619047619048,0.0,11598.926305514886,0,0.0,5412.500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6262.5,0.0,0.0,0.0,0.0,0.0,11216.949152542371,0.0,0.0,0.0,0.0,6550.000000000001,0.0,0.0,9143.750000000002,0.0,5558.282208588957,0.0,5001.146601146601,33184.138776687825,14178.510217534607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26724.193548387095,27043.589743589746,,,2020
Huánuco,0.0,4691.86046511628,5415.584415584416,0.0,11647.05882352941,0.0,6141.3390010627,1193.0155189136763,6194.194194194194,1557.198443579766,12341.880341880342,14716.04938271605,10478.87323943662,14349.431818181818,14262.745098039217,0.0,1465.626758864678,14289.017341040462,9714.285714285714,15897.435897435898,16181.818181818184,0,0.0,12800.0,0.0,1343.675751222921,5976.7441860465115,0.0,0.0,1120.5104210974052,8801.040312093628,0.0,10631.578947368422,0.0,0.0,4117.033340893627,1161.918250985092,8044.637996733804,6911.971830985915,2061.5384615384614,6037.931034482759,0.0,0.0,7095.2380952380945,10268.40579710145,0.0,0.0,16717.678372652517,0.0,0.0,0.0,0.0,0.0,0.0,12093.023255813954,973.5614307931572,0.0,0.0,0.0,0.0,1245.4314133703447,18099.547511312216,1523.2970372246136,7032.9670329670325,13331.82305949684,21234.401349072512,26799.046862589355,0.0,0.0,1423.769507803121,5666.666666666667,608.1280892231,566.3653747936289,5473.684210526316,0.0,0.0,9892.156862745098,0.0,7368.421052631579,0.0,0.0,10358.20895522388,4495.652173913044,0,0.0,0.0,0.0,4750.0,5230.7692307692305,0.0,0.0,7500.0,0.0,7513.957307060755,8102.456874019865,0.0,8180.451127819549,5782.013293825578,6242.424242424242,0.0,5184.126984126984,0.0,12684.782608695652,2457.142857142857,4516.616314199396,9552.551724137931,8721.226415094341,0,0.0,0.0,4728.971962616823,8062.5,575.4385964912279,0.0,0.0,0.0,9052.631578947368,4074.2857142857138,11200.0,0.0,12631.578947368422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4567.74193548387,6200.0,0.0,12433.911510991558,13338.79781420765,11719.525350593312,8511.182108626197,2661.4035087719294,22523.963034601333,15997.64705882353,26713.60455930482,0.0,0.0,0.0,0.0,22088.757396449706,0.0,18717.589348283112,18154.211150652434,,,2020
