Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Berenjena,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Perejil,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Aguaje,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Copoazú,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Huasai,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Nuez,Pacae ,Palma aceitera,Palta,Pan de árbol,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Umari,Ungurahui,Uva,Zapote,Aguaymanto,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tumbo,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,,,,Año
Amazonas,3700.0,6256.876456876455,5625.0,0.0,0.0,8953.186878727633,9042.8360888125,815.8241758241759,2674.1075268817203,0.0,-,7706.6035502958575,0.0,4215.992,7000.0,6813.75,0.0,1244.4444444444448,7000.0,0.0,7993.587476979743,6359.393939393939,0,7160.896551724138,0.0,0.0,1013.0190546528803,3312.410656270304,0.0,0.0,821.1881188118812,2455.6892230576445,0.0,5196.766666666667,0.0,0.0,2512.8343718032183,1156.3122476446838,5805.453333333333,0.0,3345.614035087719,6153.333333333332,0.0,0.0,6184.5360824742265,6326.862660944207,0.0,0.0,18005.391293311335,0.0,0.0,0.0,0,0.0,0.0,7992.4085576259495,0.0,840.0000000000001,4672.727272727273,10155.000000000002,0.0,2429.059829059829,812.7810650887574,8120.891364902507,1497.0712909441236,0.0,15969.601583515201,11815.454545454544,13925.409836065572,0.0,0.0,760.6896551724137,0,0.0,1119.3356372014066,924.7271246266631,9266.666666666668,0.0,0.0,20214.592274678107,0.0,5485.836734693878,0.0,3171.5254237288136,14119.962335216576,4911.4754098360645,0,0.0,0.0,0.0,0.0,3687.5,0.0,0.0,0,11879.623824451412,11973.685714285715,8686.606240713225,0.0,0.0,0.0,12308.508771929824,5000.0,0.0,3617.3043478260865,0.0,10221.160220994476,0.0,0,4728.888888888889,0.0,6989.266233766249,0,0.0,0.0,7194.444444444444,0.0,1250.6024096385543,0.0,7483.333333333333,0.0,0.0,0.0,0.0,0,0,0.0,8562.533333333333,0,0.0,0.0,0.0,60996.33570701932,0.0,0.0,0.0,0.0,8025.37878787879,0.0,0.0,16599.11455451024,16389.745916515425,11440.159252027237,5731.007194244605,0,0.0,88014.50326797387,0.0,50569.74829827915,0.0,44636.402336855615,40807.24691819201,64906.81358727625,0.0,54005.61974226748,23855.86266840504,30174.148856110776,,,,2021
Áncash,8517.64705882353,5268.29268292683,5322.033898305085,0.0,8490.566037735849,0.0,12482.84561049445,1010.5062082139447,3681.416957026713,0.0,-,10806.060606060606,0.0,4375.0,0.0,23929.368029739777,0.0,1011.1879647241915,21108.474576271186,0.0,8615.853658536585,8390.243902439024,0,8343.373493975903,12400.0,0.0,1370.9134615384614,3661.7647058823527,2004.2403433476395,0.0,1009.5602294455066,3632.8,1536.3128491620112,13224.066390041493,1222.2222222222224,0.0,10754.740925828513,1272.1588383464216,13783.923076923078,5180.851063829788,0.0,0.0,0.0,10456.521739130436,4144.628099173553,4680.587371512483,1343.75,0.0,12395.706545296924,5230.21582733813,10517.64705882353,0.0,0,0.0,0.0,0.0,10243.478260869566,1036.5853658536585,9256.410256410258,45000.0,0.0,0.0,1116.551724137931,21187.09677419355,1021.0168544557221,3727.272727272727,20528.03738317757,20538.11659192825,41276.762402088774,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,762.5000000000001,0.0,0.0,5200.0,0.0,5892.857142857143,0.0,0.0,0,0.0,0.0,3970.5882352941176,0.0,6634.1463414634145,0.0,5727.272727272728,0,10802.32558139535,13730.76923076923,15553.57142857143,8133.333333333333,0.0,0.0,21362.99511665762,7491.754756871035,0.0,9157.079646017699,7210.526315789473,8925.696594427243,0.0,0,6275.0,0.0,10093.543563952699,0,0.0,6555.555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200.0,0,0,9235.185185185186,0.0,0,10391.304347826088,3591.935483870968,10783.764870538838,0.0,131430.929280746,0.0,5094.510076441973,0.0,4250.0,5542.338709677419,0.0,8450.0,0.0,11402.77777777778,0.0,0,10295.238095238095,29894.93760558008,0.0,0.0,0.0,0.0,0.0,0.0,20256.62251655629,0.0,0.0,0.0,,,,2021
Apurímac,0.0,4000.0,5110.3622577927545,4050.0,0.0,0.0,0.0,2229.3212341197823,3882.152926099957,3451.2359550561796,-,7523.809523809524,5565.217391304348,5200.0,7888.829516539441,11486.111111111111,0.0,2490.716951483009,8132.859486057954,0.0,7012.0300751879695,5971.467391304349,0,0.0,8910.309734513276,0.0,2188.876651982379,2500.0,0.0,0.0,2173.0338461538463,4156.323311976343,2699.542682926829,2774.5235707121365,2062.785714285714,0.0,2664.768244575937,2301.152524095168,7722.340611353711,3000.0,0.0,8613.716814159294,0.0,0.0,9068.672839506173,10328.389489377561,3250.0,0.0,18107.04729210895,0.0,11062.5,0.0,0,0.0,0.0,0.0,0.0,2214.7115482104837,2200.0,0.0,0.0,0.0,2030.3071364046968,20359.649122807015,2440.9232266053423,4169.811320754718,13855.072463768116,8709.51526032316,22306.060606060604,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3710.76109936575,0.0,0.0,5136.62015503876,3282.823529411765,0.0,0.0,0.0,0,0.0,0.0,21000.0,0.0,0.0,0.0,5036.356589147287,0,0.0,0.0,3270.9547738693464,4275.201612903226,0.0,0.0,5592.666666666666,4429.250545719136,0.0,3574.1766858337687,6699.090909090909,3438.674033149171,5183.903988704554,0,3600.718132854578,0.0,6853.369308600338,0,0.0,6274.1107382550335,0.0,0.0,0.0,4107.92883054068,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,7000.0,0.0,0.0,19541.223300970873,0.0,0.0,0.0,0.0,2756.7164179104475,0.0,2078.0730897009967,6592.171498003818,0.0,3712.121212121212,5230.7692307692305,0,3802.744097000638,46962.93994479004,11493.88209121246,0.0,12744.794952681386,0.0,0.0,0.0,0.0,47000.0,59716.85444666856,51555.146651547206,,,,2021
Arequipa,17216.159292035398,4797.95045045045,13769.353340675478,51886.28571428571,26752.66369047619,0.0,13827.072117048094,1542.5000000000002,9855.237364043505,0.0,-,20631.015789473688,17317.238709677415,10875.0,52974.48275862069,12679.98901098901,900.0,2821.7913043478256,42298.87440870388,32302.04081632653,18173.10599078341,18065.0,0,48436.153846153844,4017.3015873015875,0.0,1831.5623946037101,0.0,2272.727272727273,0.0,2161.351543942993,7742.4008810572695,3145.652173913043,17143.463636363635,0.0,0.0,8232.59243697479,3090.9298721425803,18587.696277915635,5303.456233421751,0.0,0.0,32990.0,16423.341269841272,2842.3157894736837,2901.7500000000005,1600.0,0.0,35506.14904925002,6679.381498987171,14963.63636363636,0.0,0,0.0,0.0,0.0,21023.098159509198,3504.4806763285023,16365.048780487805,59550.63291139241,3743.75,0.0,0.0,51225.70771001151,6569.867040244523,12716.80167014614,15402.173913043474,44893.83970276009,38292.71647509579,0.0,7091.640473172793,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.333333333334,8240.0,0.0,0.0,0.0,0,7109.500000000001,0.0,43470.21951219513,0.0,10646.923076923076,0.0,9997.896551724138,0,0.0,0.0,3100.7692307692305,7008.817204301076,0.0,51258.620689655174,13820.833333333334,6912.376811594204,0.0,7354.90909090909,5100.0,8135.0,6710.0,0,3496.8000000000006,0.0,18384.98869630746,0,6210.0,4066.590909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22118.38219895288,0.0,0,14744.267399267399,8354.5,0.0,113230.18181818182,81929.08187817955,0.0,0.0,0.0,0.0,0.0,3206.3564356435645,7694.999999999999,0.0,4805.0,0.0,0,1703.2898230088495,70111.90767654435,15818.651162790695,0.0,15193.060606060606,0.0,0.0,0.0,59576.87044068576,0.0,53013.07692307693,0.0,,,,2021
Ayacucho,0.0,4357.142857142857,3957.4468085106387,0.0,13867.924528301886,0.0,3000.0,1416.9644984512747,2981.9770617149097,1297.157622739018,-,6746.666666666667,0.0,4200.0,8703.703703703704,17875.0,0.0,1422.605328662303,10374.655647382919,0.0,9698.11320754717,9132.075471698114,0,0.0,0.0,0.0,1502.7624309392265,0.0,0.0,1230.769230769231,1350.0,3219.8830409356724,1088.235294117647,8283.333333333334,1000.0,0.0,2601.570166830226,1369.7373381927862,5677.659574468085,3423.3289646133685,1000.0,5258.608573436402,0.0,6450.0,5197.844007609385,5585.974643423138,2354.8387096774195,0.0,14350.060950832996,0.0,0.0,0.0,0,0.0,0.0,0.0,7157.894736842105,1734.4776927240393,5000.0,0.0,0.0,0.0,1363.6363636363635,13578.313253012047,1524.1015577088187,4965.517241379311,11027.079303675047,9621.052631578948,12543.859649122807,0.0,0.0,1655.1724137931035,0,0.0,815.3319283456269,953.9118065433855,0.0,0.0,0.0,0.0,0.0,5666.666666666667,4437.5,0.0,5967.213114754099,0.0,0,0.0,0.0,0.0,0.0,7000.0,4588.607594936709,6583.333333333333,0,4795.454545454546,0.0,5559.139784946237,5738.461538461538,0.0,4403.225806451613,4826.086956521739,5763.358778625954,0.0,4599.7191011235955,7000.0,5891.358024691358,5800.0,0,4379.084967320262,0.0,7894.048229861467,0,0.0,4454.545454545454,0.0,0.0,0.0,0.0,0.0,6195.652173913044,0.0,0.0,0.0,0,0,2750.0,0.0,0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,1206.896551724138,6204.081632653061,0.0,4090.909090909091,8728.571428571428,8166.666666666666,4475.903614457831,0.0,0,4926.202569465192,22665.382021389345,19153.65927725478,0.0,10625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2021
Cajamarca,0.0,7305.909090909091,5931.811697574893,0.0,0.0,5613.137646764927,7964.675807761791,954.8208805039382,2039.3594788445087,0.0,-,5869.696969696969,0.0,2202.894736842105,0.0,4915.870967741936,0.0,924.2843139880554,8493.181818181818,0.0,4548.9878542510105,0.0,0,0.0,0.0,0.0,936.1400415249902,2291.5323178262656,0.0,0.0,1046.7645557875203,2423.59587628866,0.0,2475.213675213675,694.9300244100895,0.0,3465.996084463711,918.7033143837821,2789.0597572362276,3828.3523654159867,0.0,0.0,0.0,0.0,3856.0038119440924,4878.701003597805,0.0,0.0,13632.295056130937,0.0,0.0,5833.333333333333,0,0.0,0.0,4482.466666666666,0.0,1313.9999999999998,5266.666666666667,0.0,0.0,2326.153846153846,844.4554455445545,7117.771739130435,1004.538370030262,0.0,8054.964231889197,10606.951871657755,14950.875129712904,992.9032258064515,0.0,842.1052631578947,0,0.0,887.7455184534272,1104.062971966112,0.0,0.0,0.0,0.0,0.0,5765.817855002996,0.0,0.0,6980.071428571428,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6239.8559582411035,3987.9024390243903,5085.730484081989,0.0,8492.307692307691,0.0,9078.448812448813,10868.421052631578,0.0,0.0,0.0,5129.604267936022,1531.25,0,5016.31650485437,0.0,7317.577695167286,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11324.074074074075,0.0,0,0.0,0.0,0.0,17164.60314939791,0.0,0.0,0.0,0.0,6028.665853988894,4500.0,0.0,10304.429237735334,11617.808318264013,6819.724230649418,0.0,0,2124.853801169591,51504.49127516779,15781.380952380952,0.0,0.0,0.0,21669.715211805968,22344.75915704967,7049.731182795699,27066.596372876764,47352.353989257164,34793.15789473684,,,,2021
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2021
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,1990.352504638219,1485.994263862333,6008.976660682226,2065.7099314198626,-,0.0,0.0,0.0,0.0,7359.154929577465,459.75,2056.7891916371045,13941.176470588236,0.0,16148.51485148515,12890.243902439024,0,0.0,0.0,0.0,1643.435822352367,0.0,1361.5279882462441,0.0,2068.502455847006,7871.730515191545,2157.142857142857,13156.626506024097,0.0,0.0,1685.87068080739,2465.9550473496006,17094.068171757415,0.0,0.0,9191.330998248686,0.0,0.0,9888.822115384615,9198.7917146145,0.0,0.0,14452.355681251038,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2917.208155948913,0.0,0.0,0.0,1500.0,1366.9208066896213,16541.095890410958,1997.2161439338681,0.0,9405.26855969894,13037.410071942446,19850.574712643676,0.0,0.0,498.3483262055744,0,0.0,418.0329474233983,447.7401043264805,0.0,0.0,4096.153846153846,0.0,0.0,7365.168539325842,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8797.177419354839,0.0,8093.717277486911,0.0,0.0,7838.88888888889,3426.666666666667,7794.117647058823,0.0,7017.301038062284,0.0,9180.009025270758,0.0,0,0.0,0.0,9598.306997742662,0,0.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.7027027027027,0.0,0,0,0.0,0.0,0,10514.43768115942,0.0,0.0,0.0,0.0,0.0,0.0,4586.595625350532,7535.620052770449,0.0,0.0,8131.150247660979,8188.733750601828,8493.571798859512,4456.6978193146415,0,6232.528589580686,68994.8599650106,16093.915544119873,0.0,18610.40787623066,0.0,0.0,0.0,0.0,0.0,19513.4076433121,76000.0,,,,2021
Huancavelica,0.0,0.0,7992.413793103448,0.0,0.0,0.0,0.0,1650.8089607965155,4358.130289817902,1561.2521150592218,-,0.0,0.0,0.0,0.0,6511.111111111112,0.0,1626.3284207679828,6315.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1976.0315805154175,0.0,0.0,0.0,1732.1796237131698,4609.84506132989,1016.6666666666666,0.0,1566.6666666666667,6846.783625730994,1514.048672566372,1931.3974373976127,10304.35871743487,1500.0,0.0,5719.818913480885,0.0,0.0,5285.266159695818,6301.006261180679,1850.0,0.0,13915.50009654373,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1523.5915492957747,0.0,0.0,0.0,0.0,1822.2222222222226,8204.166666666668,1558.6792452830186,0.0,0.0,11438.636363636362,16942.613636363636,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4223.529411764706,0.0,0.0,7184.615384615385,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4275.0,4917.857142857143,0,0.0,5699.999999999999,5233.333333333333,5387.5,0.0,0.0,6455.882352941177,5593.333333333334,0.0,4925.0,5933.333333333334,5869.565217391306,4115.625000000001,0,5085.714285714285,0.0,10665.247687564233,0,0.0,5375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6050.0,0,0,0.0,0.0,0,0.0,0.0,0.0,10116.949152542375,0.0,0.0,0.0,0.0,6600.000000000001,0.0,0.0,8264.0625,0.0,5603.703703703704,0.0,0,4973.730224812656,33821.30981639439,18416.11361079865,0.0,11736.842105263158,0.0,0.0,0.0,0.0,0.0,35758.53658536585,31638.888888888894,,,,2021
Huánuco,0.0,4621.700879765396,5710.526315789473,0.0,12126.666666666666,0.0,6134.682817978961,1225.9098191805906,6340.247223968154,1808.4714548802942,-,12562.962962962964,15944.444444444445,11099.0990990991,15147.180192572214,14086.781029263371,0.0,1544.7652847233423,14022.727272727274,10333.333333333332,16329.896907216495,16380.95238095238,0,0.0,5450.0,0.0,1441.87262978946,5745.945945945947,0.0,0.0,1202.8383523710627,9067.078825347759,0.0,10916.666666666666,0.0,0.0,3871.49226330973,1235.2851011649295,8477.426050856253,6887.841658812441,1702.4793388429753,6316.516023007395,0.0,0.0,7115.604988203572,10611.73402868318,0.0,0.0,17286.947966768694,0.0,0.0,0.0,0,0.0,0.0,0.0,12128.0,1086.5122615803814,0.0,0.0,0.0,0.0,1298.3746792130025,18223.04832713755,1505.026974006866,7326.530612244898,14337.468982630273,22166.431593794077,27735.905939101598,0.0,0.0,1097.2388955582232,0,5666.666666666667,645.2695530867443,587.7699886320577,5333.333333333333,0.0,0.0,10049.019607843136,0.0,7668.421052631578,0.0,0.0,10341.935483870968,4537.81512605042,0,0.0,0.0,0.0,5000.0,5153.846153846154,0.0,0.0,0,7433.333333333334,0.0,7596.8,7699.950322901142,0.0,8330.827067669172,5341.555217426123,6468.75,0.0,5254.205607476635,0.0,12729.347826086956,2749.9999999999995,0,5241.4910858995145,9840.021259633271,8773.127753303965,0,0.0,0.0,9481.481481481482,8343.75,931.0344827586208,0.0,0.0,0.0,8952.380952380954,4262.857142857142,11200.0,0,0,0.0,12264.705882352942,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4400.759734093067,5970.0,0.0,11879.432624113475,13509.459459459458,11820.92700241782,7113.892365456821,0,2649.1228070175434,22089.75505095655,16177.16685757923,26348.569206758937,12608.695652173912,0.0,0.0,0.0,22111.11111111111,0.0,17213.529210796038,15775.242441528808,,,,2021
