Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,nan_x,nan_x,nan_x,nan_x,nan_x,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,Año
Amazonas,6223.076923076923,6132.047477744805,5171.428571428572,0.0,0.0,9183.189946834222,9100.339508836312,664.9006622516558,2553.6460287679797,0.0,7093.529411764707,0.0,4275.1824817518245,7000.0,7086.567164179104,0.0,944.5454545454545,7000.0,0.0,7538.248712288447,5809.36170212766,5989.285714285714,0.0,0.0,1111.7585043576046,3888.9599999999996,0.0,0.0,843.9814814814815,2422.377622377622,0.0,4999.35294117647,0.0,0.0,2518.3657554922024,941.5136771542869,5605.728676964405,0.0,3386.4935064935066,5967.567567567567,0.0,0.0,6369.2307692307695,6470.985915492957,0.0,0.0,17807.24591340345,0.0,0.0,0.0,0.0,0.0,8914.699269252389,0.0,0.0,3779.661016949153,9354.237288135593,0.0,2499.014778325123,634.5833333333334,8136.868686868688,952.3976608187133,0.0,15953.003023775173,10753.295774647886,9049.752066115703,0.0,0.0,745.0000000000002,0.0,801.1010064265795,946.513632124879,3424.2424242424245,0.0,0.0,20236.051502145918,0,5112.653061224491,0.0,6630.508474576271,14161.016949152543,5049.152542372881,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,10781.347962382444,12340.0,8808.276374442794,0.0,0.0,0.0,13004.38596491228,5000.0,0.0,3173.9130434782605,0.0,11261.40221402214,0.0,5308.301306687164,0.0,8368.427672955973,0.0,0.0,7694.444444444444,0.0,1256.0439560439563,0.0,8249.999999999998,0.0,0.0,0.0,0.0,0.0,8579.333333333332,0.0,0.0,0.0,57127.27272727273,0.0,0.0,0.0,0.0,4649.815950920246,0.0,0.0,16473.379753615427,17937.392795883363,10936.060831184723,5204.6526655896605,0.0,85559.93485342019,0.0,50515.87604425378,0.0,45515.061861215705,40967.874486365334,50493.0949427481,0.0,53606.09497699921,23462.253370425853,30732.039374812142,,,,,,,,,,,,,,,,2022
Áncash,8298.7012987013,5279.48717948718,5236.11111111111,0.0,7897.916666666667,0.0,10768.751113486549,997.9797979797979,3659.487437185929,0.0,11029.411764705883,0.0,4488.235294117648,0.0,20792.88369622942,0.0,1018.4225676453656,20777.777777777777,0.0,8297.297297297297,8353.846153846154,8108.28025477707,12244.444444444443,0.0,1438.231917336395,3728.5714285714284,2016.4271047227924,0.0,1032.3489932885905,3700.425531914894,1633.3333333333333,13496.309963099631,0.0,0.0,10320.558586886156,1336.926605504587,15868.260205195373,5308.196721311475,0.0,0.0,0.0,10704.545454545456,4099.999999999999,4725.725359911406,1500.0,0.0,12707.034728406055,5291.099476439791,10730.263157894737,0.0,0.0,0.0,0.0,10790.909090909092,1200.0,9545.454545454544,41900.0,0.0,0.0,1030.7506053268764,21020.833333333332,1037.074451964845,3675.0,21032.452830188682,20600.917431192658,41014.42307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.5,0.0,0,5566.666666666666,0.0,6285.714285714285,0.0,0.0,0.0,0.0,3441.1764705882356,0.0,7536.585365853658,0.0,6727.272727272728,10651.162790697674,12653.846153846152,13187.5,8933.333333333334,0.0,0.0,24238.019169329076,8128.259337561663,0.0,9836.283185840708,8421.052631578947,7179.566563467492,0.0,7050.0,0.0,10367.185596317855,0.0,6933.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,10187.037037037036,0.0,4738.0952380952385,4151.063829787234,41810.0,0.0,123406.63779838473,0.0,6831.428571428572,0.0,4500.0,9548.828125,0.0,9333.333333333334,0.0,11666.666666666666,0.0,19042.424242424244,29265.051753102474,0.0,0.0,0.0,0.0,0.0,0.0,20796.068796068794,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Apurímac,0.0,3472.222222222222,5635.491606714628,4111.11111111111,3833.3333333333335,0.0,0.0,2105.605293888673,3797.4760661444734,2569.1573926868045,8500.0,7500.0,0.0,8733.77703826955,8364.548494983279,0.0,2504.7423887587825,8464.285714285716,0.0,7460.46511627907,7477.272727272728,0.0,8825.242718446601,0.0,2515.7619738751814,3545.623836126629,0.0,0.0,2360.5351307189544,4207.778738115817,2555.0424128180966,3156.068094453597,2000.0,0.0,4605.317982456141,2573.7605987195016,10337.018680899733,3843.75,0.0,9032.718894009218,0.0,0.0,9265.300146412883,11076.797900262467,2500.0,0.0,18461.74670974177,0.0,11076.923076923076,0.0,0.0,0.0,0.0,0.0,2388.2565882021945,2200.0,0.0,0.0,0.0,1967.869332033155,19040.816326530614,2533.742397914856,4857.142857142857,12637.1,8573.684210526315,18281.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3447.727272727273,0.0,0,6193.225806451613,3523.450980392157,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,4811.32075471698,0.0,0.0,4206.999999999999,4006.965944272446,0.0,0.0,5990.487804878048,5186.420702024085,0.0,4408.120329565051,7161.818181818182,4853.506029477446,4761.986600640838,4228.286852589641,0.0,6512.503375641372,0.0,6227.892234548337,0.0,0.0,0.0,3907.738566228834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7250.0,0.0,0.0,16102.719033232628,0.0,0.0,0.0,0.0,3217.1666666666665,0.0,2045.8866544789757,8081.780311335233,0.0,4647.505422993492,3625.0,4014.84323127997,48358.01899278179,12407.77690494894,0.0,11293.969849246232,0.0,0.0,0.0,0.0,54500.0,57825.46155711861,47813.91115786762,,,,,,,,,,,,,,,,2022
Arequipa,16523.01,4358.492260061919,14542.894376618573,45230.53846153846,26201.16578947369,0.0,13521.713377330316,1606.6666666666667,9062.110987172337,0.0,22757.42857142857,17271.565476190473,0.0,64122.0,14201.634146341465,1000.0,2746.1923076923076,41674.87254901961,31456.0,17948.60730593607,17894.024242424242,37552.06666666666,2791.0843373493976,0.0,1724.2097378277151,0.0,0.0,0.0,2175.082417582418,7325.989758595464,2988.0952380952385,16900.226666666666,0.0,0.0,8078.177966101694,2913.373786407767,15605.86676286676,4629.116788321167,0.0,0.0,33924.0,16470.1796875,3079.3125,3379.2592592592596,1795.7142857142858,0.0,38199.391624751435,5711.693121693122,14140.774193548388,0.0,0.0,0.0,0.0,21148.987878787877,3677.3262458471763,16366.734042553195,65145.58823529411,3612.631578947369,0.0,0.0,50018.414606741564,5961.142759328996,10955.44854368932,15386.807692307693,44283.81499513145,37172.95347119646,0.0,8871.820870299958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4783.333333333333,8342.25,0.0,0.0,0.0,6050.000000000001,0.0,42521.03092783505,0.0,11519.076923076922,0.0,8204.586206896553,0.0,0.0,3719.9230769230776,5949.021505376344,0.0,44918.10344827586,13520.833333333334,6587.086956521738,0.0,6440.319672131148,5197.368421052632,7380.0,6750.0,3265.9999999999995,0.0,15783.298429319375,5810.0,8149.090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20588.576348278104,0.0,13936.51172357055,3690.4545454545455,0.0,86902.72727272728,106307.52241777953,0.0,0.0,0.0,0.0,0.0,4719.397003745318,8053.333333333335,0.0,6175.000000000001,0.0,1528.7931415929204,70478.2258543425,15000.416666666668,0.0,13921.064952638704,0.0,0.0,0.0,55315.090106348696,0.0,34540.00000000001,0.0,,,,,,,,,,,,,,,,2022
Ayacucho,0.0,2954.5454545454545,4588.235294117647,0.0,18456.14035087719,0.0,3000.0,1344.151600958397,3250.4030091348736,1214.0151515151515,8390.243902439024,0.0,6315.789473684211,8965.51724137931,23769.23076923077,0.0,1472.8238988646428,9164.102564102563,0.0,10520.408163265307,10195.121951219513,0.0,0.0,0.0,1567.1641791044776,0.0,1913.4615384615386,1833.3333333333333,1462.5445897740785,3263.8248847926266,957.4468085106383,9319.444444444445,1000.0,0.0,2416.393442622951,1673.562245383842,6103.182751540041,5475.972540045766,0.0,5729.284903518729,0.0,7000.0,5451.837140019861,6086.374288583864,2139.53488372093,0.0,18132.12731145618,0.0,15000.0,0.0,0.0,0.0,0.0,8687.5,1835.97150771666,6000.0,0.0,0.0,0.0,1355.9322033898304,14538.461538461539,1592.1546333143833,4962.962962962963,11065.420560747663,9909.090909090908,14316.45569620253,0.0,0.0,3259.259259259259,0.0,874.0281987086572,887.1925360474979,0.0,0.0,0.0,0.0,0,8027.522935779815,5470.588235294118,0.0,8193.548387096775,0.0,0.0,0.0,0.0,0.0,6000.0,5664.335664335664,6608.695652173913,7200.0,0.0,6430.10752688172,7111.11111111111,0.0,7093.75,6714.285714285715,5854.838709677419,0.0,5787.4125874125875,7428.571428571428,7220.858895705521,5265.306122448979,6861.11111111111,0.0,9363.057324840764,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,7254.901960784314,0.0,0.0,0.0,4666.666666666667,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,1476.923076923077,6553.191489361702,0.0,6750.0,8867.64705882353,8000.0,8498.305084745763,0.0,6937.0030581039755,25808.26240795639,22935.384978186532,0.0,11750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Cajamarca,0.0,6497.307692307692,6277.555652173913,0.0,0.0,5251.299470899471,8017.128938106275,936.2986696895941,1962.6580277892215,0.0,6391.489361702127,0.0,2971.354693648117,0.0,5076.593830334191,0.0,932.2655061172318,11650.677083333334,0.0,6907.272727272727,0.0,0.0,0.0,0.0,899.6384216121568,2230.166880946258,1506.849315068493,0.0,997.2397830974738,2627.9439847231065,0.0,5582.278481012658,676.4877408056043,0.0,3718.170350314952,1011.0611733573558,2581.7979071979703,3988.337874659401,0.0,0.0,0.0,0.0,4404.7959183673465,4965.663548038863,0.0,0.0,13107.036002534966,4800.0,0.0,5260.869565217392,0.0,0.0,4532.596774193548,0.0,1345.1644736842104,5626.086956521739,0.0,0.0,0.0,863.9014084507043,7746.538258575198,992.2988286908653,0.0,8319.980613379945,10508.173913043478,15509.988082824373,1063.9402985074626,0.0,842.1052631578947,0.0,853.3595544726766,1108.3771948808956,0.0,0.0,0.0,0.0,0,6411.621052631579,0.0,0.0,7164.642857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6553.519585438862,4142.5609756097565,4816.40549572967,0.0,8000.0,0.0,9105.530090684253,10973.684210526315,0.0,0.0,0.0,4841.852434523633,1625.0,4350.8026440037775,0.0,6889.637136782425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12072.398190045249,0.0,0.0,0.0,0.0,10254.965422296134,0.0,0.0,0.0,0.0,6251.963453959154,3916.6666666666665,0.0,10260.448546126965,12094.473021582733,7445.733308188683,0.0,2489.655172413793,52449.777547853075,15420.840080971662,0.0,0.0,0.0,22076.540075999208,19692.29513296538,7382.352941176471,26842.498588755676,39607.0064169335,29193.859649122805,,,,,,,,,,,,,,,,2022
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,1907.012487992315,1404.3625787687831,5998.224852071005,2153.1504986400723,0.0,0.0,0.0,0.0,7232.35294117647,509.8684210526315,2220.336642777303,13796.264855687607,0.0,16221.42857142857,12917.293233082706,0.0,12533.333333333334,0.0,1658.9319175515304,0.0,1367.7777777777778,0.0,2274.0361757105943,7264.380952380953,2116.2679425837323,13016.666666666668,0.0,0.0,1646.0051918084798,2957.5448347413667,17550.380824372758,0.0,0.0,10111.542898341744,0.0,0.0,10488.580077050083,10273.832052040212,0.0,0.0,15480.912403123792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2691.2652954959644,0.0,0.0,0.0,1500.0,1721.9591836734692,14674.57627118644,2347.495215580322,0.0,9387.443667443667,12316.124469589817,19764.70588235294,0.0,0.0,354.6372751400767,0.0,438.5955344190054,545.6639331335751,0.0,0.0,4822.222222222222,0.0,0,6601.123595505617,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10016.157205240173,0.0,8556.020942408377,0.0,0.0,9340.865384615387,3916.6666666666665,7885.714285714286,0.0,6979.310344827586,0.0,10011.22586439156,0.0,0.0,0.0,10292.656587473002,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.2432432432432,0.0,0.0,0.0,10305.732484076432,0.0,0.0,0.0,0.0,0.0,0.0,4361.805945036455,7358.490566037735,0.0,0.0,8447.883765003158,9585.941261434762,8345.241233851832,4825.153374233129,4683.503836317135,60056.038827123164,15875.853627109907,0.0,18654.192654192655,0.0,0.0,0.0,0.0,0.0,19381.704794735193,17705.88235294118,,,,,,,,,,,,,,,,2022
Huancavelica,0.0,0.0,7000.657894736842,0.0,0.0,0.0,0.0,1722.5219573400252,4166.666666666667,1410.2605863192182,0.0,0.0,0.0,0.0,7890.000000000001,0.0,1670.1669595782075,6332.051282051281,0.0,0.0,0.0,0.0,0.0,0.0,1912.7048501903662,0.0,0.0,0.0,1573.8505747126435,5609.9589322381935,900.0,0.0,1080.0,6784.444444444444,1616.7874396135267,1948.7278356318604,10168.526315789475,3694.444444444445,0.0,5889.39393939394,0.0,0.0,5612.046908315565,6971.19836586473,2535.714285714286,0.0,14285.728180521333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.9949653870356,0.0,0.0,0.0,0.0,1453.9473684210527,13934.615384615387,1578.3834148614021,0.0,0.0,12853.293413173653,14840.72463768116,0.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,3952.9411764705883,0.0,0,6895.1612903225805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4375.0,4533.333333333334,0.0,5750.0,5143.589743589743,5631.25,0.0,0.0,5956.666666666667,5417.241379310345,0.0,4868.749999999999,6083.333333333333,5977.7777777777765,4128.125,4572.5,0.0,10305.078647925033,0.0,5250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528.5714285714275,0.0,0.0,0.0,0.0,0.0,9741.869918699187,0.0,0.0,0.0,0.0,5700.0,0.0,0.0,7925.000000000001,0.0,5321.311475409836,0.0,5390.307548928239,35289.648033126294,18181.74976481656,0.0,11904.761904761905,0.0,0.0,0.0,0.0,0.0,38154.651162790695,37755.22388059701,,,,,,,,,,,,,,,,2022
Huánuco,0.0,4609.665427509293,6000.0,0.0,12238.805970149255,0.0,6409.28583681171,1349.4578815679731,6423.193617260366,1991.0891089108916,12400.0,16382.978723404258,11278.688524590165,15149.685534591194,13883.847549909255,0.0,1761.3889649239431,14180.851063829787,10950.0,16270.61310782241,16181.818181818184,0.0,6250.0,0.0,1535.1030858374882,5791.666666666667,0.0,0.0,1307.6424870466321,9158.544108574953,0.0,11150.0,0.0,0.0,3948.1879267075046,1327.343122214917,8708.685293480616,6872.305140961857,2247.422680412371,6615.819209039549,0.0,0.0,7560.509554140127,10481.826654240445,0.0,0.0,17625.55969610307,0.0,0.0,0.0,0.0,0.0,0.0,12688.524590163935,1137.8091872791515,0.0,0.0,0.0,0.0,1360.500115767539,18243.13725490196,1622.0635792299713,7221.238938053097,15017.058444222992,22848.314606741573,26774.542643648543,0.0,0.0,1020.4081632653061,5586.956521739131,670.2530304100768,594.1106011551096,5300.0,0.0,0.0,10127.450980392156,0,7631.57894736842,0.0,0.0,10350.31847133758,4440.677966101694,0.0,0.0,0.0,4812.5,4923.076923076924,0.0,0.0,7333.333333333333,0.0,7648.0,7501.241927471436,0.0,8360.9022556391,5410.344005720187,6750.0,0.0,5297.805642633229,0.0,12722.826086956522,2750.0,5044.1898527004905,10360.422163588391,8454.361054766734,0.0,0.0,9681.48148148148,8781.25,1000.0000000000002,0.0,0.0,0.0,8666.666666666666,4368.571428571428,10700.0,0.0,12514.705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4322.643343051506,5899.999999999999,0.0,11567.567567567568,13659.54606141522,11906.5803281206,8244.311377245509,2631.5789473684204,20849.587333670202,16190.325138778746,26468.50570489662,0.0,0.0,0.0,0.0,21757.377049180326,0.0,18010.134128166916,17606.044815007815,,,,,,,,,,,,,,,,2022
