Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Algodón,Frijol de palo,Rocoto,Avena forrajera,Cebada forrajera,Maíz chala,,,,,,,,Año
Amazonas,1.5,50.0,3.5,0.0,0.0,800,52850.0,66.0,607.5,0.0,64.0,0.0,119.5,9,31.0,0,29.0,2.0,0.0,238.89999999999998,11.5,7,0.0,0.0,7787.0,522.504,0,0.0,105.0,175.5,0,157.49999999999997,0,0,13212.0,7877.0,913.5,0.0,471.0,14.5,0.0,0,49.0,272.0,0.0,0,3675.5,0,0,0,0.0,0,315.25,0,0.0,13.0,68.0,0,239.0,103.0,78.0,132.0,0.0,12507.0,254.1,71.5,0.0,0.0,0.0,10.0,0.0,0,0.0,,,,,,,,2019
Áncash,43.0,119.0,57.0,0.0,60.0,0,5520.0,1449.0,651.0,0.0,96.0,0.0,35.0,0,1610.0,0,5838.0,222.0,0.0,118.0,52.0,94,0.0,0.0,905.0,58.0,0,0.0,1540.0,114.0,200,400.0,0,0,17887.0,5892.0,3903.0,527.0,0.0,0.0,0.0,19,300.0,569.0,0.0,0,8980.0,52,46,0,0.0,0,0.0,58,212.0,20.0,47.0,0,0.0,570.0,276.0,11509.0,33.0,232.0,102.0,201.0,0.0,939.0,0.0,0.0,0.0,0,596.0,,,,,,,,2019
Apurímac,0.0,21.0,95.5,23.5,0.0,0,0.0,1386.0,1134.1,271.0,33.0,16.0,10.0,289,102.0,0,5298.0,171.5,0.0,71.2,49.5,0,41.0,0.0,5208.0,618.0,0,0.0,5563.0,1853.5,1133,77.9,20,1,2162.0,25543.0,2437.0,67.0,0.0,903.0,0.0,0,1624.0,2763.0,4.0,0,23587.5,0,19,0,0.0,0,0.0,0,5429.0,7.0,0.0,0,0.0,1013.0,116.5,5272.0,79.0,72.0,190.5,283.0,0.0,0.0,0.0,3.2,788.0,523,0.0,,,,,,,,2019
Arequipa,121.0,523.0,3941.0,9.0,258.0,0,20201.0,5.0,1424.0,0.0,147.0,162.0,1.0,20,115.0,3,229.0,8769.0,32.0,208.0,123.0,19,29.0,0.0,4052.0,0.0,0,0.0,284.0,1089.0,73,193.0,0,0,258.0,2327.0,1977.0,427.0,0.0,0.0,31.0,131,22.0,28.0,90.0,0,9770.0,1063,61,0,0.0,0,0.0,151,2293.0,79.0,77.0,28,0.0,0.0,730.0,1500.0,445.0,23.0,1920.0,1370.0,0.0,270.0,0.0,0.0,349.0,437,15483.0,,,,,,,,2019
Ayacucho,0.0,30.0,371.0,0.0,57.0,0,38.0,5045.0,1913.0,336.0,60.0,0.0,21.0,108,50.0,0,13730.0,392.0,0.0,127.0,52.0,0,0.0,0.0,1704.0,0.0,0,29.0,7628.0,1501.0,182,80.0,25,0,1010.0,19627.0,2013.0,1036.0,99.0,1695.0,0.0,22,1780.0,3032.0,55.0,0,25913.0,0,6,0,0.0,0,0.0,18,14458.0,8.0,0.0,0,0.0,309.0,112.0,9932.0,45.0,751.0,237.0,58.0,0.0,0.0,44.0,0.0,7509.0,95,0.0,,,,,,,,2019
Cajamarca,0.0,0.0,1084.5,0.0,0.0,2573,23304.0,15776.5,9906.5,0.0,61.0,0.0,231.75,0,1292.0,0,10474.5,170.0,0.0,72.60000000000001,3.0,0,0.0,0.0,17696.5,2237.5,0,0.0,4430.5,945.0,0,48.6,1323,0,18629.0,37555.0,8480.5,534.0,0.0,0.0,0.0,0,1588.0,3342.0,0.0,0,29405.5,0,0,0,0.0,0,370.75,0,860.0,22.0,1.0,0,0.0,647.0,128.0,26196.0,0.0,8117.0,464.45,966.5,773.0,0.0,0.0,0.0,697.0,0,131.0,,,,,,,,2019
Callao,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,2019
Cusco,0.0,0.0,0.0,0.0,0.0,12,1068.0,2087.0,670.0,4156.0,0.0,0.0,0.0,0,65.0,695,13046.0,417.0,0.0,131.0,111.0,0,0.0,0.0,1876.0,0.0,0,0.0,9813.0,593.0,309,125.0,0,0,2949.0,27656.0,2862.0,0.0,0.0,1179.0,0.0,0,1347.0,3531.0,0.0,0,31841.0,0,0,0,0.0,0,0.0,0,2596.0,0.0,0.0,0,27.0,1894.0,56.0,9043.8,0.0,3883.0,631.0,144.0,0.0,0.0,0.0,3.0,13557.0,1080,0.0,,,,,,,,2019
Huancavelica,0.0,0.0,100.0,0.0,0.0,0,0.0,3263.0,6850.0,1153.0,0.0,0.0,0.0,0,8.0,0,15263.0,9.0,0.0,0.0,0.0,0,0.0,0.0,5892.0,0.0,0,0.0,6384.0,2255.0,15,0.0,72,431,374.0,18651.0,1444.0,28.0,0.0,378.0,0.0,0,445.0,3629.0,2.0,0,27881.0,0,0,0,0.0,0,0.0,0,1941.0,0.0,0.0,0,0.0,461.0,80.0,4367.0,0.0,0.0,151.0,277.0,0.0,0.0,0.0,0.0,1475.0,0,0.0,,,,,,,,2019
Huánuco,0.0,94.25,29.5,0.0,18.75,0,7438.5,1019.25,2466.0,1257.5,32.0,27.5,19.25,376,262.75,0,6242.75,81.5,20.0,91.25,6.5,0,0.0,0.0,3476.75,239.0,0,0.0,3077.25,657.5,0,21.0,0,5,10430.0,13459.75,808.25,285.0,60.5,260.0,0.0,0,619.75,1778.5,0.0,0,43633.0,0,0,0,0.0,0,0.0,31,609.5,0.0,0.0,0,0.0,1031.75,64.5,8193.0,22.75,4184.0,150.0,517.5,0.0,64.0,0.0,47.0,1027.0,0,352.0,,,,,,,,2019
