Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Perejil,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Algodón,Frijol de palo,Rocoto,Avena forrajera,Cebada forrajera,Maíz chala,,,,,,Año
Amazonas,2.0,41.199999999999996,3.0,0.0,0.0,652.8799999999999,50616.0,163.5,641.5,0.0,49.5,0.0,117.5,9.0,40.5,0.0,69.0,1.0,0.0,240.0,12.5,0,8,0.0,0.0,8163.0,711.0,0.0,0.0,123.5,189.5,0.0,134.5,0,0,9109.0,7704.5,858.0,0.0,461.5,10.0,0.0,0.0,42.5,221.0,0.0,0,3613.5,0.0,0.0,0.0,0,0.0,0.0,307.2,0.0,0.0,12.5,51.0,0,203.0,99.5,93.0,222.0,0.0,11314.3,261.5,111.0,0,0.0,0.0,10.0,0.0,0.0,0.0,,,,,,2020
Áncash,74.0,74.0,61.0,0.0,83.0,0.0,6090.0,977.0,671.0,0.0,135.0,0.0,33.0,0.0,1555.0,0.0,4833.0,223.0,0.0,152.0,67.5,0,149,0.0,0.0,596.0,91.0,0.0,0.0,1205.0,160.0,183.0,366.0,11,0,14713.0,5438.0,3433.0,338.0,0.0,0.0,0.0,38.0,264.0,510.0,105.0,0,8840.0,427.0,75.0,0.0,0,0.0,0.0,0.0,89.0,153.0,36.0,18.0,0,0.0,436.0,194.0,9401.0,40.0,178.0,182.0,195.0,0,939.0,0.0,0.0,0.0,0.0,750.0,,,,,,2020
Apurímac,0.0,22.0,94.3,22.0,0.0,0.0,0.0,1350.0,1072.2,599.5,29.7,18.0,5.0,329.5,86.0,0.0,4892.5,160.95,0.0,77.5,54.8,0,0,54.0,0.0,4492.5,330.0,0.0,0.0,5488.0,989.1,1935.5,73.5,14,2,1824.0,26478.5,2537.0,39.0,0.0,793.5999999999999,0.0,0.0,1384.1,2687.7,6.0,0,23490.3,0.0,19.0,0.0,0,0.0,0.0,0.0,0.0,5190.1,18.0,0.0,0,0.0,1179.5,121.5,5245.5,88.0,77.5,331.5,247.0,0,0.0,0.0,3.2,779.0,560.5,0.0,,,,,,2020
Arequipa,113.0,449.0,4013.0,9.0,320.0,0.0,21205.0,3.0,1668.0,0.0,189.0,153.0,0.0,20.0,103.0,2.0,281.0,8853.0,51.0,227.0,129.0,0,29,30.0,0.0,3924.0,0.0,1.4,0.0,298.0,1226.0,78.0,216.0,0,0,17.0,2337.0,1920.0,440.0,0.0,0.0,52.0,139.0,19.0,31.0,25.0,0,8971.0,1373.0,59.0,0.0,0,0.0,0.0,0.0,140.0,2371.0,85.0,156.0,26,0.0,0.0,721.0,1923.0,492.0,25.0,1907.0,1230.0,0,270.0,0.0,0.0,466.0,521.0,16329.0,,,,,,2020
Ayacucho,0.0,19.0,433.0,0.0,39.0,0.0,19.0,4666.0,1769.0,332.0,48.0,0.0,31.0,90.0,24.0,0.0,12007.0,382.0,0.0,124.0,49.0,0,0,0.0,0.0,1539.0,0.0,0.0,6.0,7115.0,1521.0,64.0,66.0,0,0,972.0,18897.0,2083.0,1204.0,108.0,1555.0,0.0,17.0,1745.0,2746.0,7.0,0,27202.0,0.0,6.0,0.0,0,0.0,0.0,0.0,12.0,14640.0,10.0,0.0,0,0.0,77.0,74.0,8514.0,29.0,799.0,97.0,45.0,0,0.0,0.0,0.0,6366.0,13.0,0.0,,,,,,2020
Cajamarca,0.0,13.0,959.5,0.0,0.0,1657.0,21814.0,12038.75,11654.0,0.0,49.0,0.0,144.753,79.0,1109.0,0.0,9132.0,187.6,0.0,72.35000000000001,0.0,0,0,0.0,2.0,16203.5,2495.5,0.0,0.0,3879.5,1308.0,0.0,40.8,1031,0,16188.0,37450.0,8965.5,495.0,0.0,0.0,0.0,0.0,1190.0,2975.0,0.0,0,28218.0,4.0,0.0,0.0,0,0.0,0.0,382.5,0.0,476.0,14.0,0.0,0,0.0,558.0,268.5,22148.0,0.0,6669.5,560.35,859.7499999999999,477,0.0,44.0,0.0,775.0,0.0,272.0,,,,,,2020
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2020
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,1153.0,2332.0,396.0,4522.0,0.0,0.0,0.0,0.0,54.0,620.5,13141.0,381.0,0.0,63.0,48.0,0,0,0.0,0.0,1644.0,0.0,0.0,0.0,9706.0,526.0,188.0,55.0,0,0,3700.0,25980.0,1175.0,0.0,0.0,1183.0,0.0,0.0,1646.0,3560.0,0.0,0,31559.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2964.0,0.0,0.0,0,0.0,2170.0,52.0,8075.0,0.0,3895.0,559.0,200.0,0,0.0,140.0,3.0,11678.01,1103.0,0.0,,,,,,2020
Huancavelica,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3642.0,6013.0,871.0,0.0,0.0,0.0,0.0,16.0,0.0,14859.0,8.0,0.0,0.0,0.0,0,0,0.0,0.0,7254.0,0.0,0.0,0.0,6545.0,1882.0,7.0,0.0,65,203,202.0,20507.0,1060.0,30.0,0.0,417.0,0.0,0.0,500.0,2745.0,0.0,0,26669.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1651.0,0.0,0.0,0,0.0,381.0,30.0,4361.0,0.0,0.0,32.0,260.0,0,0.0,0.0,0.0,1517.0,0.0,0.0,,,,,,2020
Huánuco,0.0,87.0,38.5,0.0,17.0,0.0,6873.0,1031.0,2266.5,1285.0,29.75,22.5,17.75,352.0,254.0,0.0,6218.5,85.0,20.5,106.5,5.75,0,0,0.0,0.0,3614.75,215.0,0.0,0.0,2967.25,774.5,0.0,23.0,0,0,11391.5,13891.0,928.5,281.5,32.5,288.25,0.0,0.0,720.5,1849.5,0.0,0,46937.0,0.0,0.0,0.0,0,0.0,0.0,0.0,32.0,645.0,0.0,0.0,0,0.0,1084.75,55.25,7898.0,24.5,4279.5,147.75,631.0,0,64.0,0.0,47.0,1275.0,0.0,344.5,,,,,,2020
