Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Berenjena,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Perejil,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Algodón rama,Frijol de palo,Rocoto,Avena forrajera,Cebada forrajera,Maíz chala,,,,,Año
Amazonas,2.5,41.9,3.0,0,0.0,906,53019.0,129.5,694.5,0.0,-,81,0.0,123.0,8.0,29.5,0,79.0,1.0,0.0,268.5,16.0,0,13.5,0.0,0.0,7984.0,749.5,0,0,108.0,192.5,0.0,153.0,0,0,10673.0,7749.0,1420.002,0.0,547.0,13.5,0.0,0.0,46.5,237.5,0,0.0,3860.5,0.0,0.0,0.0,0,0.0,0,283.8,0.0,2.5,11.5,59.0,0,229.0,77.0,170.5,248.5,0.0,10571.0,297.0,51.0,0,0.0,0.0,10.0,0.0,0.0,0.0,,,,,2021
Áncash,86.0,159.0,59.0,0,103.0,0,5946.0,1047.0,816.0,0.0,-,164,0.0,42.0,0.0,1831.0,0,5783.0,275.0,0.0,163.0,79.0,0,162.0,19.0,0.0,475.0,74.0,1120,0,1046.0,233.0,173.0,457.0,18,0,15214.0,6767.0,3843.0,376.0,0.0,0.0,0.0,45.0,242.0,688.0,32,0.0,9179.0,695.0,81.0,0.0,0,0.0,0,0.0,111.0,164.0,40.0,1.0,0,0.0,290.0,310.0,10739.0,41.0,257.0,223.0,383.0,0,939.0,0.0,0.0,0.0,0.0,613.0,,,,,2021
Apurímac,0.0,26.0,119.70000000000002,17,0.0,0,0.0,1384.5,1129.5,684.5,-,20,21.0,8.0,394.0,106.0,0,4864.0,182.9,0.0,63.5,36.8,0,0.0,49.8,0.0,4221.0,356.0,0,0,5296.0,1092.5,1980.0,102.7,14,0,2025.0,24498.5,2674.5,26.0,0.0,923.0,0.0,0.0,1330.0,2847.0,6,0.0,23884.0,0.0,17.0,0.0,0,0.0,0,0.0,0.0,6505.5,2.0,0.0,0,0.0,1133.0,106.0,5254.0,39.0,103.0,274.5,187.0,0,0.0,0.0,3.2,913.0,1278.0,0.0,,,,,2021
Arequipa,112.0,444.0,5477.0,13,312.0,0,20231.0,4.0,1582.0,0.0,-,187,156.0,2.0,23.0,92.0,2,235.0,8695.0,48.0,222.0,142.0,0,13.0,22.0,0.0,3556.0,0.0,33,0,421.0,1361.0,91.0,219.0,0,0,262.0,2586.0,2015.0,377.0,0.0,0.0,49.0,129.0,19.0,28.0,30,0.0,8378.0,1481.0,56.0,0.0,0,0.0,0,0.0,158.0,2072.0,81.0,83.0,32,0.0,0.0,858.0,1963.0,438.0,23.0,1804.0,1048.0,0,270.0,0.0,0.0,620.0,633.0,17261.0,,,,,2021
Ayacucho,0.0,18.0,439.0,0,53.0,0,9.0,4410.0,1749.0,387.0,-,71,0.0,25.0,108.0,24.0,0,12139.0,388.0,0.0,104.0,47.0,0,0.0,0.0,0.0,1647.0,0.0,0,26,6863.0,1639.0,34.0,55.0,3,0,895.0,18884.0,1760.0,1104.0,101.0,1492.0,0.0,21.0,1717.0,2705.0,31,0.0,28188.0,0.0,0.0,0.0,0,0.0,0,0.0,20.0,14919.0,6.0,0.0,0,0.0,44.0,80.0,8702.0,33.0,707.0,189.0,59.0,0,0.0,2.0,0.0,6655.0,8.0,0.0,,,,,2021
Cajamarca,0.0,22.0,1430.0,0,0.0,1923,22926.300000000003,15083.0,15047.0,0.0,-,65,0.0,114.99999999999999,0.0,1007.0,0,9122.75,203.6,0.0,12.35,0.0,0,0.0,0.0,0.0,16762.5,3485.5,0,0,4424.0,1205.5,0.0,43.949999999999996,1279,0,17764.5,37636.0,10412.0,613.0,0.0,0.0,0.0,0.0,764.0,2677.5,0,0.0,30604.55,0.0,0.0,30.0,0,0.0,0,395.05,0.0,717.0,22.0,0.0,0,13.0,529.0,184.0,23694.5,0.0,7460.95,556.0,729.5,325,0.0,26.0,0.0,1094.0,0.0,338.0,,,,,2021
Callao,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,-,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2021
Cusco,0.0,0.0,0.0,0,0.0,0,1074.0,2330.0,469.0,3937.0,-,0,0.0,0.0,0.0,71.0,402,12532.0,510.0,0.0,111.0,100.0,0,0.0,0.0,0.0,2047.0,0.0,20,0,10155.0,614.0,287.0,107.0,0,0,2795.0,26455.0,2918.0,0.0,0.0,1142.0,0.0,0.0,1649.0,3490.0,0,0.0,30452.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,4468.0,0.0,0.0,0,10.0,2023.0,68.0,8226.01,0.0,3630.0,733.0,173.0,0,0.0,0.0,3.0,13104.0,1340.0,0.0,,,,,2021
Huancavelica,0.0,0.0,145.0,0,0.0,0,0.0,3287.0,5931.0,596.0,-,0,0.0,0.0,0.0,18.0,0,15039.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6789.0,0.0,0,0,6784.0,1665.0,6.0,0.0,38,168,451.0,20584.0,1023.0,4.0,0.0,558.0,0.0,0.0,616.0,2442.0,6,0.0,24937.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1587.0,0.0,0.0,0,0.0,202.0,51.0,4274.0,0.0,0.0,88.0,441.0,0,0.0,0.0,0.0,1780.0,19.0,0.0,,,,,2021
Huánuco,0.0,82.5,39.0,0,15.0,0,6350.0,1092.25,2394.75,1086.0,-,33,18.25,26.0,363.5,248.25,0,6199.0,89.0,22.0,122.5,5.25,0,0.0,14.0,0.0,3726.0,185.0,0,0,3015.0,808.75,0.0,22.0,0,0,9477.5,13386.0,997.5,263.25,30.25,320.0,0.0,0.0,778.75,1963.5,0,0.0,46699.25,0.0,0.0,0.0,0,0.0,0,0.0,31.25,738.0,0.0,0.0,0,0.0,1168.0,68.25,8156.0,24.5,4312.0,180.0,836.25,0,64.0,0.0,47.0,1309.5,57.5,358.5,,,,,2021
