Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Algodón rama,Frijol de palo,Rocoto,Avena forrajera,Cebada forrajera,Maíz chala,,,,,,,,Año
Amazonas,6.5,43.5,4.0,0,0.0,1029.5,44298.2,151.0,800.0,0,121.0,0.0,138.0,12.0,33.5,0,44.0,2.0,0.0,342.0,23.5,28.0,0.0,0.0,7177.0,750,0,0,108.0,153.0,0,169.5,0,0,11944.0,9282.0,1518.0,0.0,593.5,18.5,0.0,0.0,19.0,179.5,0,0.0,4199.63,0,0.0,0.0,0.0,0,367.8,0.0,0.0,30.0,59.0,0,203.0,48.25,207.0,171.0,0.0,11277.3,355.0,122.0,0,0.0,0,25.0,0,0,0.0,,,,,,,,2022
Áncash,79.0,317.0,72.0,0,105.0,0.0,5613.0,495.0,981.0,0,146.0,0.0,34.0,0.0,1883.0,0,5211.0,182.0,0.0,155.0,70.0,163.0,41.0,0.0,775.0,67,825,0,745.0,100.0,95,507.0,0,0,10762.0,6522.0,4465.0,305.0,0.0,0.0,0.0,45.0,316.0,896.0,34,0.0,10067.0,440,80.0,0.0,0.0,0,0.0,115.0,29.0,35.0,10.0,0,0.0,406.0,230.0,9899.0,41.0,227.0,218.0,312.0,0,777.0,0,0.0,0,0,789.0,,,,,,,,2022
Apurímac,0.0,15.0,83.4,24,6.0,0.0,0.0,1275.5,1149.0,629,20.0,26.0,0.0,306.5,153.5,0,4162.0,187.20000000000002,0.0,48.0,45.0,0.0,56.5,0.0,3494.0,529,0,0,5013.0,1174.0,2122,99.05,19,0,1766.0,23476.0,4541.5,22.0,0.0,878.0,0.0,0.0,1354.0,2905.5,5,0.0,22887.5,0,19.0,0.0,0.0,0,0.0,0.0,5280.5,1.0,0.0,0,0.0,983.5,101.0,4218.0,73.0,108.0,268.0,251.0,0,0.0,0,4.7,634,789,0.0,,,,,,,,2022
Arequipa,106.0,323.0,5351.0,4,392.0,0.0,20759.0,3.0,1699.0,0,233.0,168.0,0.0,27.0,87.0,2,234.0,7375.0,25.0,223.0,168.0,30.0,44.0,0.0,3454.0,0,0,0,366.0,1246.0,65,233.0,0,0,235.0,2473.0,2079.0,282.0,0.0,0.0,28.0,131.0,16.0,28.0,35,0.0,8618.0,1323,67.0,0.0,0.0,0,0.0,165.0,1494.0,91.0,68.0,19,0.0,0.0,899.0,2897.0,513.0,31.0,1922.0,1393.0,0,2.0,0,0.0,547,734,15498.6,,,,,,,,2022
Ayacucho,0.0,22.0,547.0,0,55.0,0.0,4.0,4640.0,1879.0,528,40.0,0.0,19.0,145.0,26.0,0,13326.0,195.0,0.0,95.0,39.0,0.0,0.0,0.0,1545.0,0,104,24,7318.0,1751.0,47,65.0,2,0,786.0,20258.0,1949.0,874.0,0.0,1787.0,0.0,9.0,2099.0,3120.0,43,0.0,33381.0,0,8.0,0.0,0.0,0,0.0,16.0,15800.0,1.0,0.0,0,0.0,59.0,93.0,9013.0,27.0,499.0,166.0,77.0,0,0.0,8,0.0,8516,4,0.0,,,,,,,,2022
Cajamarca,0.0,26.0,1147.5,0,0.0,1593.5,23231.0,15017.0,13511.5,0,45.0,0.0,84.94999999999999,0.0,887.8,0,8261.5,192.0,0.0,22.0,0.0,0.0,0.0,0.0,16062.0,3618,0,0,3768.5,1523.0,0,3.95,1062,0,17831.0,36745.0,9475.0,720.0,0.0,0.0,0.0,0.0,979.0,2787.0,0,0.0,30047.4,8,0.0,23.0,0.0,0,303.5,0.0,608.0,18.0,0.0,0,0.0,497.0,192.5,24174.0,0.0,6784.5,575.0,655.3,351,0.0,0,0.0,983,0,340.0,,,,,,,,2022
Callao,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,,,,,,,,2022
Cusco,0.0,0.0,0.0,0,0.0,0.0,1045.0,2058.0,554.0,4407,0.0,0.0,0.0,0.0,102.0,456,15014.0,576.0,0.0,121.0,113.0,0.0,18.0,0.0,1710.0,0,200,0,9521.0,855.0,418,100.0,0,0,4225.0,28181.0,1521.0,0.0,0.0,1411.0,0.0,0.0,1817.0,3639.0,0,0.0,34216.0,0,0.0,0.0,0.0,0,0.0,0.0,3827.0,0.0,0.0,0,10.0,2490.0,42.0,8865.0,0.0,3619.0,735.0,247.0,0,0.0,8,15.0,15541,1470,0.0,,,,,,,,2022
Huancavelica,0.0,0.0,157.0,0,0.0,0.0,0.0,3188.0,5569.0,614,0.0,0.0,0.0,0.0,15.0,0,11395.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,6051.0,0,0,0,6458.0,1495.0,3,0.0,10,293,417.0,17999.0,973.0,54.0,0.0,475.0,0.0,0.0,479.0,2511.0,6,0.0,23499.0,0,0.0,0.0,0.0,0,0.0,0.0,1589.0,0.0,0.0,0,0.0,190.0,31.0,4293.0,0.0,0.0,176.0,446.0,0,0.0,0,0.0,1063,22,0.0,,,,,,,,2022
Huánuco,0.0,135.5,40.5,0,16.75,0.0,8962.5,1199.0,2229.0,1010,34.75,24.5,30.25,397.5,268.5,0,6407.25,94.0,21.0,117.0,5.25,0.0,0.0,0.0,3708.5,120,0,0,3179.0,807.5,0,20.0,0,0,9384.25,13680.0,1148.25,294.25,24.25,354.25,0.0,0.0,801.5,2058.75,0,0.0,42764.5,0,0.0,0.0,0.0,0,0.0,30.5,777.25,0.0,0.0,0,0.0,1087.75,62.75,8194.5,28.25,4184.5,179.75,966.25,0,0.0,0,59.0,1261,0,383.5,,,,,,,,2022
