Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Nacional,3397,1/1/2022,16441.5,302662.53099999996,18408.45001976705,1.0194137256785183
Amazonas,200,1/1/2022,188,3328.3999999999996,17704.255319148935,1.5127734046388657
Áncash,99,1/1/2022,673,8991.5,13360.32689450223,1.2802869376633488
Apurímac,54,1/1/2022,222.5,4692.27,21088.853932584272,1.0081401965360048
Arequipa,376,1/1/2022,457,16202.962,35455.0590809628,0.9556556480228737
Ayacucho,275,1/1/2022,996,17782,17853.413654618475,0.9264632774716004
Cajamarca,1243,1/1/2022,2869,32072.07,11178.832345765075,1.0801364551773553
Callao,0,1/1/2022,0,0,0,0
Cusco,0,1/1/2022,1599,24508,15327.0794246404,1.089240248082259
Huancavelica,35,1/1/2022,569,9195.800000000001,16161.335676625662,0.9679070880184432
Huánuco,836,1/1/2022,4833,93419,19329.40202772605,1.0443576788447748
Ica,0,1/1/2022,16,146.25,9140.625,1.0382905982905986
Junín,0,1/1/2022,1254,23204.399999999998,18504.306220095692,0.8900264604988712
La Libertad,175,1/1/2022,1106.5,23637.1,21362.042476276547,1.2072789809240558
Lambayeque,0,1/1/2022,45,285,6333.333333333333,0.9
Lima,15,1/1/2022,1019,33966.8,33333.464180569186,0.8044402180953165
Lima Metropolitana,0,1/1/2022,0,0,0,0
Loreto,0,1/1/2022,0,0,0,0
papare de Dios,0,1/1/2022,0,0,0,0
Moquegua,36,1/1/2022,51,803.18,15748.627450980392,1.1568764162454244
Pasco,0,1/1/2022,433.5,8731.799,20142.558246828146,0.7919924863135305
Piura,51,1/1/2022,79,1058,13392.40506329114,1.5756899810964082
Puno,0,1/1/2022,0,0,0,0
San Martín,0,1/1/2022,0,0,0,0
Tacna,2,1/1/2022,31,638,20580.645161290326,1.6738244514106582
Tumbes,0,1/1/2022,0,0,0,0
Ucayali,0,1/1/2022,0,0,0,0
Nacional,4649.5,1/1/2021,16714.399,324906.354,19438.709941051427,0.700945471352647
Amazonas,320,1/1/2021,115,1984.5190000000002,17256.68695652174,0.7988311021461622
Áncash,155,1/1/2021,401,5013,12501.246882793017,0.7996489128266507
Apurímac,35,1/1/2021,171,3415,19970.76023391813,0.7156954612005858
