Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Copoazú,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pan de árbol,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,,,Año
Amazonas,0.8498371335504886,0.9850461516098551,3.701298701298701,0.0,0.0,1.3291300582348256,1.11931802666907,3.552671444860726,2.927338260706166,0.0,1.6331569736461287,0.0,1.0612970793588357,1.177175697865353,0.9972907259465092,0.0,1.75042888234541,2.2,0.0,0.8214204734877113,0.8651907472106388,0,0.7893722562956623,0.0,0.0,4.604739835685696,3.489899679488601,0.0,0.0,2.7087857983522956,1.9343395112201327,0.0,0.933127266866671,0.0,0.0,1.1383991346494713,3.54519708881893,1.4303317802197806,0.0,4.220337517829908,0.8431688125894137,0.0,0.0,1.5341430948419301,1.7089916663267941,0.0,0.0,1.1279648496789598,0.0,0.0,0.0,0.0,0.0,0.8994456345767038,0.0,0.0,0.8377569502381786,0.9466232120224517,0.0,2.6284888521882737,3.6380853110968565,1.2990413915693244,2.0609242666497813,0.0,1.0408902106129698,1.2614968243507538,1.0556477170468328,0.0,0.0,2.686778681297149,0.0,6.059950635202101,6.923877978915094,0.0,0.0,0.0,1.3335378031383738,0.0,2.2751778538110226,0.0,2.896516802209606,0.7655416241434609,1.1278266756939743,0,0.0,0.0,0.0,0.0,0.8576923076923075,0.0,0.0,1.214423076923077,0.9936669309331718,1.3480861305867506,0.0,0.0,0.0,2.1219110632404985,2.0,0.0,1.8513905458787354,0.0,0.8239046446053396,0.0,1.2764728007243855,0.0,1.6492802812154723,0,0.0,0.0,1.0,0.0,7.48477366255144,0.0,2.5465252707581225,0.0,0.0,0.0,0.0,0.0,1.0428038610038608,0.0,0.0,0.0,0.10797158828560578,0,0.0,0.0,0.0,1.6693041266534896,0.0,0.0,1.2465401869661916,0.9532659484716727,0.8971970047724441,1.0560444855234499,0.0,0.49233753373172995,1.11931802666907,0.04857665815803753,1.11931802666907,0.10948670994662067,0.10082546088232597,0.02731897905204998,0.0,0.07252657254620255,0.07507686582332393,0.08638326001519211,,,2020
Áncash,1.3121099554234772,1.332706002034588,5.421474358974359,0.0,1.2963013698630137,0.0,1.3404495456719272,2.969741659886086,1.8224903481869024,0.0,1.141310344827586,0.0,1.3769620253164556,0.0,0.6704114235322051,0.0,1.7773632974316484,0.781536922153292,0.0,1.3066836734693879,1.2704032258064517,0,1.4130577334283678,0.0,0.0,5.275974392769724,2.1047770700636947,5.5,0.0,2.4966998856396008,1.2151945910290236,6.363648694472703,0.43462266134118144,4.34,0.0,1.0315437389888102,3.4589332330175666,0.7253180980067564,1.2876302829000115,0.0,0.0,0.0,1.4140557275541796,1.1034836905871386,1.8501085630389376,5.577464788732394,0.0,0.9290255701942798,6.034646374216653,1.287827715355805,0.0,0.0,0.0,0.0,1.3442216358839052,5.611513463324048,1.2636904761904761,0.4741095890410959,0.0,0.0,4.5570697674418605,1.641410597628841,2.3375010638297873,1.5589263420724095,0.9833822762576502,0.8686664899257688,0.796177179845158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.678,0.0,0.0,1.704302325581395,0.0,1.9061728395061726,0.0,0.0,0,0.0,0.0,1.4755681818181818,0.0,1.7192542372881356,0.0,3.3876404494382024,1.3734680451127819,1.969218241042345,2.0918588235294115,3.2807142857142852,0.0,0.0,0.7070059541452008,1.3438143274468501,0.0,1.8254524575103355,1.5720338983050848,1.5413729043951068,0.0,1.563170731707317,0.0,3.183017089316143,0,0.0,1.6420000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7621621621621624,2.1792919389978214,0.0,0.0,2.613376353039134,14.25339705947484,0.0,0,0.0,3.5720320443691267,0.0,3.3575000000000004,1.5393318965517238,0.0,2.2690217391304346,0.0,2.0308813160987076,0.0,0.9525720164609053,0.3917672528748254,1.3404495456719272,0.0,1.3404495456719272,0.0,0.0,0.0,0.41028491793124805,0.0,0.0,0.0,,,2020
Apurímac,0.0,3.4689922480620154,4.273003444018455,4.0,0.0,0.0,0.0,2.4162499483018567,1.7990361186548114,1.048979011028104,0.7534313725490196,0.8664335664335665,0.6591836734693877,0.3423216729471459,0.9915987780040734,0.0,1.6089428696306511,1.6347441091287722,0.0,0.7109369868155587,0.9232596636947116,0,0.0,5.753229974160207,0.0,3.5518996222755628,2.5,0.0,0.0,2.3383056941333744,1.1486941221894282,5.452091433552398,0.7584148895658797,3.0,3.0,1.314632030545948,2.9708024836969336,0.8922980655275459,1.1140983606557375,0.0,0.6847818727170136,0.0,0.0,0.8913442327784499,1.0850737718506513,2.156862745098039,0.0,0.8088303989828582,0.0,0.8315068493150686,0.0,0.0,0.0,0.0,0.0,4.382251003958634,1.1,0.0,0.0,0.0,3.311768768117688,1.323903451855697,1.8351682116071566,3.1932692307692307,1.0670738478622988,1.0317181251576177,0.653811659192825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9058584017016104,0.0,0.0,1.8128329511377663,1.535291027461085,0.0,0.0,0.0,0,0.0,0.0,0.9071428571428571,0.0,0.0,0.0,1.3024759685406353,0.0,0.0,1.3884370222952904,2.6432678165530157,0.0,0.0,2.187819280417467,0.9089718851731282,0.0,1.1899676153763368,0.8432641313989048,0.91232438572368,0.6134467989179441,1.369274399591211,0.0,2.602093923989349,0,0.0,1.0256612699781773,0.0,0.0,0.0,0.9611713798147244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3774996186117468,0,0.0,0.0,0.0,1.2212663587374903,0.0,2.8323656805824355,1.3236994219653178,0.0,0.8331258191349936,2.0040379510927884,0.6680179063963215,0.35890153019999127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20925925925925926,0.45789543328107035,0.4640598545457483,,,2020
Arequipa,0.9136229903237121,5.506928138004788,5.050921938017103,1.1103371783496008,0.7290692139921418,0.0,1.2679055084738402,2.3349344978165942,2.105152304988509,0.0,0.6842622040671361,1.1895043590216308,0.0,0.34203822768886716,1.2485873098036417,5.0,1.7059888036554174,0.6495790228819931,0.5799999999999998,0.9247174009498453,1.0908664358446634,0,1.2044558253750577,3.5230056478802023,0.0,5.544220173263877,0.0,5.0,0.0,3.0652732032386987,0.9273693038197983,4.1901510224727225,0.8811932759799175,0.0,0.0,1.101492547593465,3.9366299661504973,0.9733097411650562,1.5176804878178838,0.0,0.0,0.7270615563298489,0.8519309002634109,1.8590345199568499,1.908730774452569,5.0,0.0,0.4832958067737296,4.905125429657557,0.8893408038273276,0.0,0.0,0.0,0.0,0.7046755499431314,4.33364570750546,0.7151482421680679,0.6919424128108398,0.5113923264765531,0.0,0.0,1.0569720701230059,1.4299407711578513,1.988766874264443,1.6906088035424853,0.6869042941281879,0.5930042092862338,0.0,1.100768089084134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8587600139324274,4.049576618410271,0.0,0.0,0.0,0,3.3115775220040624,0.0,2.9833341777315305,0.0,2.965286001787284,0.0,3.5655039889546023,0.0,0.0,1.7898312611012432,3.9066428436585356,0.0,1.7534265540634086,2.8837097611630327,2.1639530833131833,0.0,3.039413777183242,2.1803832789301882,1.9788497217068648,0.0,2.661185179903988,0.0,3.890369283755573,0,18.0,1.8177851190769687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.139319063405989,0.0,1.9104929945446147,3.4316535433070863,0.0,0.276990990684129,0,0.0,0.0,0.0,0.0,0.0,5.068657326715974,2.194386422976501,0.0,1.6162464985994398,0.0,2.5643755863125786,0.1125994696230773,1.2679055084738402,0.0,1.2679055084738402,0.0,0.0,0.0,0.15574754837293897,0.0,0.12,0.0,,,2020
Ayacucho,0.0,2.28,4.242157598499062,0.0,0.988421052631579,0.0,1.5071428571428573,2.592414129903956,2.136385285231918,1.0842767295597484,1.6498168498168497,0.0,1.0,0.6745479833101531,0.5993322203672788,0.0,1.340164559259483,1.1488715744223537,0.0,1.0745794392523365,1.1377215189873418,0,0.0,0.0,0.0,3.32656940760389,0.0,0.0,4.066666666666666,2.348336742383464,1.3123871849970696,3.7704545454545455,0.7331313131313132,0.0,0.0,1.5796166909267348,2.586667520054617,1.3872123439904256,2.3113399339933993,3.73013698630137,0.8110380291796223,0.0,1.0097826086956523,0.8527160493827158,1.4041945668618037,3.6,0.0,0.7130247654775879,0.0,0.6147058823529411,0.0,0.0,0.0,0.0,1.0396039603960396,4.386589193569021,1.179591836734694,0.0,0.0,0.0,3.1838095238095243,1.2677948717948717,1.9711624167240978,1.2057142857142857,1.2141374985748494,1.0667006109979635,0.8794810379241516,0.0,0.0,3.5307317073170728,0.0,6.26874334398296,5.240198915009042,0.0,0.0,0.0,0.0,0.0,3.099013452914798,1.9649122807017543,0.0,1.6493212669683257,0.0,0,0.0,0.0,0.0,0.0,1.1608333333333334,1.143141592920354,1.333561076604555,0.8801052631578947,0.0,1.8424519230769232,2.6502745995423345,0.0,1.3757142857142857,1.139786780383795,1.2525897435897435,0.0,1.9432221416485378,1.298421052631579,0.9965545196595055,1.0322112211221122,1.2522416107382552,0.0,4.147086582141163,0,0.0,1.489855072463768,0.0,0.0,0.0,0.0,0.0,1.7699346405228755,0.0,0.0,0.0,2.2312499999999997,0.0,0.0,0.0,0.0,0.3,0,0.0,0.0,3.502112676056338,1.6460956175298802,2.0,1.9184210526315786,1.377247191011236,1.5151869158878504,0.9089473684210527,0.0,0.9548208292201383,0.30110633779022067,1.5071428571428573,0.0,1.5071428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020
Cajamarca,0.0,1.2765957446808511,10.256545064774292,0.0,0.0,1.0985180352370205,1.1092269408829136,3.0120475855240896,2.006845309669872,0.0,0.8385606536769328,0.0,0.6393851281425967,0.6324687573685451,0.7605815722859013,0.0,1.4675367286171062,1.2919627378007907,0.0,0.8169977700004312,0.0,0,0.0,0.0,0.0,2.824334664629319,1.7586746602886032,0.0,0.0,2.7743934174514027,1.4923073800451707,0.0,0.7557079989645353,4.260574171497503,0.0,1.0623524799033752,2.6287457142817745,1.6875040239298715,0.8716262068442603,0.0,0.0,0.0,0.0,0.9058673977679104,1.340525264538174,0.0,0.0,0.8224725551829049,1.0,0.0,0.0,0.0,0.0,0.6054525468277658,0.0,5.247140642830326,0.6366818873668189,0.0,0.0,0.0,4.414065028492095,1.4920096779526024,1.6069527585443564,0.0,1.2004274334526477,1.5423926571250774,0.7025694071227241,2.036179574933134,0.0,4.5,0.0,6.965029379538615,6.694490115494204,0.0,0.0,0.0,0.0,0.0,1.1275436700037424,0.0,0.0,0.5034572440697728,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7685161345960863,0.6464743408955023,1.9666029358723511,0.0,1.5250000000000001,0.0,1.4506423337978154,1.2640000000000002,0.0,0.0,0.0,0.6857839173944117,1.203921568627451,0.6166274835607721,0.0,2.215333997713749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8908349026993096,0.0,0.0,0.0,0.0,0.11613372005004538,0,0.0,0.0,0.0,1.5678909187706833,1.1210526315789473,0.0,1.223669110017184,1.2566856116397531,0.5320469402327952,0.0,2.290479405806887,0.2207193513623487,1.1092269408829136,0.0,1.1092269408829136,0.0,0.04474717888560353,0.04660141306902393,0.9334485738980121,0.0450305325296142,0.08174456014278395,0.08373620967845999,,,2020
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,0.9100484261501212,2.5605385564191354,1.8528559273964833,1.8372361803586754,0.0,0.0,0.0,0.0,1.3176867219917012,4.091482649842272,1.4762665209611308,1.5265094784494955,0.0,1.0376012965964345,1.4923316062176166,0,0.0,0.0,0.0,3.5544245254425655,0.0,0.0,0.0,2.2257805751592867,1.56556721528775,4.172121788772598,1.2178228388473855,0.0,0.0,1.6734065946882515,3.3586479415847843,0.9846866436315976,0.0,4.5,1.4816551528342956,0.0,0.0,1.3858358218438274,1.599523855954238,0.0,0.0,1.1476476390087538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.234525357607282,0.0,0.0,0.0,2.1,4.326010843294794,1.8325333333333333,1.7744245161450198,0.0,1.250788978408741,1.479548127514701,1.0778062532034856,0.0,0.0,6.043293176515403,0.0,6.413050442761979,5.517065278177446,0.0,0.0,2.487623762376238,0.0,0.0,2.385061919504644,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652405449175955,0.0,1.3131485148514854,0.0,0.0,0.6745458313186432,2.1129201680672267,2.679646017699115,0.0,3.1395015906680803,0.0,0.8817629215917571,0.0,0.0,0.0,2.76045246467193,0,0.0,3.5865030674846627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6843396226415096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.302970554379711,2.309677476269453,0.0,0.0,0.9529634479617398,1.5009093146461836,0.8278514940455081,2.638245888801879,0.9216394581451893,0.48338327402692327,0.9100484261501212,0.0,0.9100484261501212,0.0,0.0,0.0,0.0,0.0,0.32864908808209015,0.1756578947368421,,,2020
Huancavelica,0.0,0.0,5.514470284237726,0.0,0.0,0.0,0.0,2.2919134931828866,1.599036645951346,1.242559081701553,0.0,0.0,0.0,0.0,1.6543689320388353,0.0,1.1365529274327741,1.1615044247787611,0.0,0.0,0.0,0,0.0,0.0,0.0,3.2643172042830226,0.0,0.0,0.0,1.914004064548908,1.0071928043357024,4.4411764705882355,0.0,3.008285004142502,3.6467078586599735,1.2949255846917083,2.5754799965789754,1.0972906832070846,1.9533333333333331,0.0,0.901462641693414,0.0,0.0,0.8354990000530946,1.0412995386700288,0.0,0.0,0.6274648410235085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.488824038580437,0.0,0.0,0.0,0.0,3.117123402824479,1.1116025937934226,1.421325923045842,0.0,0.0,0.7198535394629779,0.8533255218159792,0.0,0.0,0.0,0.0,0.0,3.290163934426229,0.0,0.0,0.711772151898734,0.0,0.0,1.3953257191201347,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8963636363636364,1.3369791666666666,0.0,0.8426680244399185,1.1211741791875351,1.7374468085106385,0.0,0.0,0.9521588946459414,0.7236608276212237,0.0,0.8854853072128229,0.8315656565656565,0.4992750996737949,0.5716783216783217,0.6473449131513649,0.0,3.439344952074795,0,0.0,0.984988452655889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9541916167664669,0.0,0.0,0.0,0.0,0.0,0.9123073436083411,0,0.0,0.0,0.0,0.7816793893129769,0.0,0.0,1.4444292549555704,0.0,0.8631456953642384,0.0,0.89086859688196,0.2923018643673968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39867825457179074,0.3942732530577415,,,2020
Huánuco,0.0,1.0803023543990087,6.36800479616307,0.0,0.9889848484848485,0.0,0.9015682396855612,3.296177313965295,1.5763372836314011,2.094906546726637,0.7004016620498615,1.2946812080536911,0.5117204301075269,0.4834333795288062,0.7457371459994501,0.0,2.018410906298003,1.2234457928802591,1.0428676470588236,0.4991706744868035,1.0872134831460674,0,0.0,2.79703125,0.0,4.5562188475140415,1.6919844357976652,0.0,0.0,2.548947736038142,0.8950991430260047,0.0,0.8868564356435644,0.0,0.0,0.9222947774349932,3.0219496780646367,1.9000262552442826,0.8129663779928681,4.6895522388059705,0.8710394060536834,0.0,0.0,0.8318238763473663,0.7746111330661098,0.0,0.0,0.5982268278309011,0.0,0.0,0.0,0.0,0.0,0.0,0.7401769230769231,5.203651757188497,0.0,0.0,0.0,0.0,3.860871471025261,1.0791609999999998,2.1644716149945973,1.16911875,0.7570317670416943,0.5710867217280813,0.5355243034973326,0.0,0.0,1.8483979763912313,0.5150452488687783,7.165988190343871,6.20542655817465,0.5551923076923078,0.0,0.0,0.3796630327056492,0.0,2.5637142857142856,0.0,0.0,0.5138299711815563,0.7616112185686652,0,0.0,0.0,0.0,0.9273684210526314,0.6198970588235293,0.0,0.0,1.9848888888888887,0.0,1.0575419580419578,3.245096774193549,0.0,0.6131893382352942,0.5000817174515235,2.304252427184466,0.0,2.332135946111451,0.0,0.532444558697515,0.9232558139534883,0.5080468227424749,0.33833487351276426,1.7363791984423171,0,0.0,0.0,0.5275494071146246,0.42148062015503884,5.076524390243904,0.0,0.0,0.0,0.4878488372093024,0.6441935483870967,0.6430892857142858,0.0,0.5035138888888889,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.3504959644874897,1.494741935483871,0.0,0.824994778067885,0.6056472757066778,0.5789597315730415,1.1117575075075077,0.8483520105471325,0.2365901683141865,0.9015682396855612,0.08,0.9015682396855612,0.0,0.0,0.0,0.2103799892847576,0.0,0.15809247472856602,0.15789492943021433,,,2020
