Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Berenjena,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Perejil,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Aguaje,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Copoazú,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Huasai,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Nuez,Pacae ,Palma aceitera,Palta,Pan de árbol,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Umari,Ungurahui,Uva,Zapote,Aguaymanto,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tumbo,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,,,,Año
Amazonas,0.9794594594594596,1.044340958199836,3.324,0.0,0.0,1.2905115252673893,1.1420315493388067,4.1938038793103445,4.301486711809521,0.0,-,1.7069564563088906,0.0,1.0668980396547243,1.1,1.1368464501926252,0.0,2.038982142857143,2.9,0.0,0.891487974476779,1.0027446869341463,0,0.8060929569597336,0.0,0.0,5.149394026571931,3.7696928086625614,0.0,0.0,3.371196045333976,2.2102039150047976,0.0,0.979393276588648,0.0,0.0,1.1385925127684495,3.490825709430361,1.5687120615329497,0.0,4.762029615202139,0.8897580353918383,0.0,0.0,1.5230205034172362,1.7196990962304608,0.0,0.0,1.1469206505662397,0.0,0.0,0.0,-,0.0,0.0,0.9333434073050687,0.0,10.0,0.9967898832684825,0.9762021992450352,0.0,2.7846938775510193,4.356144437973209,1.3256705769362698,2.469726376483307,0.0,1.0856348085069758,1.5726974031044203,1.3016186944493495,0.0,0.0,2.5616727107887582,0,0.0,6.6310966356236225,9.337111333609336,2.0,0.0,0.0,1.4153927813163483,0.0,2.721720497310328,0.0,2.017635741769987,0.8209437560851992,1.1475634178905207,0,0.0,0.0,0.0,0.0,0.8491525423728814,0.0,0.0,0,1.0604034726620226,0.9967677931845785,1.7112481410639526,0.0,0.0,0.0,2.6728104210417563,2.0,0.0,1.423519796148946,0.0,0.9169263921846312,0.0,0,1.3189990601503763,0.0,1.6917787866926488,0,0.0,0.0,1.0,0.0,8.389210019267823,0.0,2.561915367483296,0.0,0.0,0.0,0.0,0,0,0.0,1.0297139475856056,0,0.0,0.0,0.0,0.17890239683527176,0,0.0,0.0,0.0,1.5382536461037426,0.0,0.0,1.2357771065458447,1.0606583063422195,0.9144428269595057,1.3148176648548222,0,0.0,0.5523455626260051,1.1420315493388067,0.05409585766161374,1.1420315493388067,0.11042267842290404,0.10166448494612829,0.031078369801090047,0.0,0.0693350935836577,0.079090334735229,0.08169032150289325,,,,2021
Áncash,1.4874309392265195,1.7892361111111112,4.874012738853503,0.0,1.4501555555555556,0.0,1.3088274524069359,3.4509640831758035,1.852440294034136,0.0,-,1.2853224901850813,0.0,1.4742857142857142,0.0,0.9226939956501476,0.0,1.6720351591223896,0.9088068090573309,0.0,1.4441047416843595,1.3949127906976744,0,1.5224981949458483,2.989247311827957,0.0,5.184516920918815,1.5527710843373494,5.257842599809845,0.0,3.0151515151515147,1.1241907068927548,6.572727272727272,0.5989253216190775,4.0,0.0,1.3599704692094126,3.6529409024202755,1.0500856627844033,1.2053131416837781,0.0,0.0,0.0,1.4950311850311848,1.1329441674975076,1.5316001982757532,5.3023255813953485,0.0,0.8722196063593616,8.648390646492434,1.3503914988814318,0.0,0,0.0,0.0,0.0,1.4789898132427848,5.53764705882353,1.3029085872576178,0.58,0.0,0.0,5.075015441630636,2.0206151035322777,2.424767663501965,1.5426829268292683,1.3083724106533121,0.6459454148471616,0.7591435258397117,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.701639344262294,0.0,0.0,2.1096153846153847,0.0,1.7818181818181817,0.0,0.0,0,0.0,0.0,1.5937037037037038,0.0,1.6205882352941177,0.0,3.434920634920635,0,1.3927664155005384,1.790812324929972,1.8997703788748566,3.2803278688524595,0.0,0.0,1.2678902595148314,1.3711414004590434,0.0,1.8910437303696543,1.5549635036496348,1.545428373222338,0.0,0,1.59203187250996,0.0,3.7448308738967544,0,0.0,1.694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.745040650406504,0,0,2.2793362743132146,0.0,0,8.906903765690377,3.9877144140098792,13.205003445580438,0.0,0,0.0,4.038436093302414,0.0,3.588235294117647,1.2257002546380502,0.0,2.442603550295858,0.0,2.5318514007308157,0.0,0,0.9608001850138761,0.4663031122744722,1.3088274524069359,0.0,1.3088274524069359,0.0,0.0,0.0,0.5441814466693911,0.0,0.0,0.0,,,,2021
Apurímac,0.0,3.6842105263157894,3.7815694032311242,4.148148148148148,0.0,0.0,0.0,2.825245124377624,1.9784917012539454,1.7362503798237618,-,0.7462025316455696,0.9062499999999999,0.676923076923077,0.46789998419512874,1.1422813381700927,0.0,1.9298522740894495,1.1784571428571429,0.0,0.9054042461934378,1.1970420932878272,0,0.0,5.279021186223244,0.0,3.584503703703704,3.0642140468227423,0.0,0.0,2.644850163401469,1.514951418089025,4.431795508874959,0.8141819102017207,3.0844731465770976,0.0,1.3639767586021856,3.139502824461614,1.196554656822829,1.3333333333333333,0.0,0.860269944007808,0.0,0.0,0.8464094273802434,1.177587737593234,2.5384615384615383,0.0,0.9431528741150043,0.0,0.8977401129943503,0.0,0,0.0,0.0,0.0,0.0,3.887639914483352,1.0,0.0,0.0,0.0,4.887157126649019,1.2987936234381732,2.2220585599678344,3.0316742081447963,1.1224372384937238,1.0496578166226913,0.6051080016302133,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9861057777220702,0.0,0.0,3.0658557492635343,1.5765768348623852,0.0,0.0,0.0,0,0.0,0.0,1.0904761904761904,0.0,0.0,0.0,1.2780402961412365,0,0.0,0.0,1.4601610028882197,2.7825748644187693,0.0,0.0,1.5557515794492787,1.0311447940509697,0.0,1.2914363159485578,0.9257497625186594,0.9483611825192804,0.574870625085115,0,1.4081072995612285,0.0,3.1733409644767976,0,0.0,1.0960229931779957,0.0,0.0,0.0,0.9611590022202784,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1.5,0.0,0.0,0.4558746276645604,0,0.0,0.0,0.0,1.3143584190579318,0.0,2.945470290434319,1.423747613718649,0.0,0.8759903961584634,1.847058823529412,0,0.6637282048700264,0.39555913154204564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27872340425531916,0.432930475836212,0.4362299497654216,,,,2021
Arequipa,0.8616822999178587,8.042197541179839,3.3583130802797294,1.4306967984934087,0.7244752441762864,0.0,1.2960525538739638,2.6839546191247976,2.265525629626475,0.0,-,0.7798619248025392,1.1168709382260154,1.0,0.2608126228633174,1.236714248201068,5.0,1.742664542412159,0.5571716732813169,0.5823553196866312,0.8554531180424612,1.1642865132614981,0,1.244756247981747,3.643897427792485,0.0,5.138734810369483,0.0,5.0,0.0,2.6753496151897562,0.9218452843250214,3.8484796129923984,0.799635575392901,0.0,0.0,1.0097100732536235,3.8180573699905613,1.0142862131806392,1.6052013526037523,0.0,0.0,0.8195210669899969,0.7873381912405929,1.964317457966077,2.212682002240027,6.0,0.0,0.8336779707801102,9.408868271896825,0.8441683880113406,0.0,0,0.0,0.0,0.0,0.7251583052820955,3.3526012041175717,0.7307252070519117,0.6396747794664682,0.5,0.0,0.0,1.3801708063818285,1.4146872726395827,2.390661024456327,1.5757191249117857,0.5532781676480137,0.8895153875685772,0.0,2.915300347380568,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0145305514157967,3.9621662621359217,0.0,0.0,0.0,0,3.2443913074055843,0.0,1.0466471298825828,0.0,2.8220359800592445,0.0,4.249608135964232,0,0.0,0.0,2.081741503349045,4.232111625908993,0.0,2.0042885973763873,2.947241483268013,2.203710420711431,0.0,3.1643069676294235,2.5119711042311663,1.9794099569760297,1.6,0,2.9497254632807133,0.0,4.450117310082272,0,15.953102935711632,1.7523444922595428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.172848923249975,0.0,0,2.0429809313112317,2.6,0.0,0.3037744513990809,0,0.0,0.0,0.0,0.0,0.0,5.595665170052062,2.379792072774529,0.0,1.5000000000000002,0.0,0,2.933747517492827,0.12439640802124012,1.2960525538739638,0.0,1.2960525538739638,0.0,0.0,0.0,0.17312535398907136,0.0,0.1234236835613854,0.0,,,,2021
Ayacucho,0.0,2.472131147540984,5.819761051373955,0.0,0.9648979591836735,0.0,1.5,2.562396166134185,2.7168205128205125,1.1434262948207172,-,1.1545454545454545,0.0,1.0952380952380953,0.8667021276595746,0.7585081585081584,0.0,1.4748396085801312,1.135475305363781,0.0,1.1109922178988325,1.3938016528925619,0,0.0,0.0,0.0,3.7606086601307185,0.0,0.0,3.515,2.459524168236033,1.6111859789320742,3.591891891891892,0.9824949698189135,3.7999999999999994,0.0,1.81035458317616,2.860877144692173,1.315226719130598,1.6306814701378252,3.8871287128712875,0.9196044367232393,0.0,0.9418604651162791,1.0475173844089298,1.3585537981417122,3.752054794520548,0.0,0.9063156970735232,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0169117647058823,4.662179029957205,1.2,0.0,0.0,0.0,4.733333333333333,1.3211180124223603,2.1042676645742797,1.2833333333333332,1.266263813366076,1.1993435448577678,0.9026573426573427,0.0,0.0,3.5229166666666667,0,0.0,7.479289176090468,8.515126752162242,0.0,0.0,0.0,0.0,0.0,2.7535746606334843,3.0322535211267607,0.0,1.458076923076923,0.0,0,0.0,0.0,0.0,0.0,0.9957142857142857,1.1605655172413794,2.938259493670886,0,1.309952606635071,0.0,1.9269632495164408,2.511528150134048,0.0,1.5857142857142856,1.3147522522522523,1.2614966887417218,0.0,2.4455969465648857,1.2722222222222221,1.1231307627829001,1.0010727969348658,0,1.2868059701492536,0.0,5.826025478534985,0,0.0,1.583673469387755,0.0,0.0,0.0,0.0,0.0,1.9171929824561407,0.0,0.0,0.0,0,0,2.6,0.0,0,0.0,0.0,0.0,0.26833333333333337,0,0.0,0.0,3.062857142857143,2.2722697368421056,0.0,2.34,1.8250245499181672,1.9448979591836737,0.9750672947510095,0.0,0,1.1128699660359052,0.34751700362177157,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2021
Cajamarca,0.0,1.3888135382318174,11.064319417055454,0.0,0.0,1.2203386384766117,1.1202825315654346,3.2094374770441165,2.254211057214302,0.0,-,0.8027361899845122,0.0,0.754039740373512,0.0,0.8217745775931244,0.0,1.5048070500534136,1.130914442795631,0.0,0.7104485582057674,0.0,0,0.0,0.0,0.0,2.895291626281366,2.0306487042228487,0.0,0.0,3.234054255172515,1.6890135131916109,0.0,0.7631412786108918,4.023129278781925,0.0,1.194836686108537,2.909538540310992,1.9578869753535473,1.414907234593784,0.0,0.0,0.0,0.0,1.1278320577986107,1.4598803699054743,0.0,0.0,0.8674939306373519,0.0,0.0,1.0,0,0.0,0.0,0.5944032551521733,0.0,4.9204174820613185,0.7940664556962025,0.0,0.0,1.9001653439153443,5.1493727283386095,1.597955973642215,1.7440274520793204,0.0,1.1609481295652222,1.2175128140492395,0.7254894410334503,2.124106562703054,0.0,4.425,0,0.0,7.679646789957064,10.22626757069675,0.0,0.0,0.0,0.0,0.0,1.2123524209848124,0.0,0.0,0.5186960837486314,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7573230965372719,0.6093450313142186,1.4345633096029868,0.0,1.525,0.0,1.1641162896604411,1.0760290556900727,0.0,0.0,0.0,0.7518584707926784,1.3183673469387753,0,0.5874142942467744,0.0,2.344733504149808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0553556827473423,0.0,0,0.0,0.0,0.0,0.15959867108366227,0,0.0,0.0,0.0,1.6073111689961996,1.1018518518518519,0.0,1.282910956414865,1.2482884976733357,0.5604080163009768,0.0,0,1.4147240952249895,0.23514906238971117,1.1202825315654346,0.0,1.1202825315654346,0.0,0.04461915142841231,0.04687547243786392,0.9310657769304098,0.04372510675979275,0.08568616847765806,0.11681692811149604,,,,2021
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2021
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,1.0678038777032066,2.4579908000128667,2.196982372273678,2.2541436423328047,-,0.0,0.0,0.0,0.0,1.147846889952153,5.89342033713975,1.79727200334674,1.3841033755274261,0.0,1.1009809932556711,1.5338694418164616,0,0.0,0.0,0.0,3.311982538456969,0.0,3.5,0.0,2.498611539141637,1.3473854234842002,4.783104506541753,1.2380952380952381,0.0,0.0,1.737115954381265,3.3629361947183143,1.0650470665924305,0.0,0.0,1.4892435573762681,0.0,0.0,1.4379292008508053,1.6348014073494916,0.0,0.0,1.1436060019032355,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.047343599984639,0.0,0.0,0.0,1.5,4.514787239784811,1.9161904761904764,2.062694548088453,0.0,1.177355992375853,1.6002648714269947,1.1589461493920092,0.0,0.0,5.126825082117597,0,0.0,7.25283180934384,9.806100285052578,0.0,0.0,2.6619718309859155,0.0,0.0,2.245537757437071,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6925745977907137,0.0,1.118843392198719,0.0,0.0,0.704284517750145,2.657186284046692,2.4456603773584904,0.0,3.3818047337278108,0.0,0.7695549798701267,0.0,0,0.0,0.0,2.7733904822379802,0,0.0,3.282978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6921235034656584,0.0,0,0,0.0,0.0,0,1.5,0.0,0.0,0.0,0,0.0,0.0,2.197762261705328,2.3246428571428575,0.0,0.0,1.0286362128831825,1.6278692380056445,0.8634123937231829,2.495407521319726,0,1.0811416921508665,0.4796268327661027,1.0678038777032066,0.0,1.0678038777032066,0.0,0.0,0.0,0.0,0.0,0.30861599324978256,0.2325187969924812,,,,2021
Huancavelica,0.0,0.0,5.810734317024764,0.0,0.0,0.0,0.0,2.403607441053961,2.271070216891718,1.5545247642787472,-,0.0,0.0,0.0,0.0,1.7293941979522183,0.0,1.6282273300729735,0.5733174980205858,0.0,0.0,0.0,0,0.0,0.0,0.0,3.764040602784752,0.0,0.0,0.0,2.131737557766597,1.087084509113316,3.081967213114754,0.0,3.9297872340425535,3.4961564742056717,2.0016292832614884,2.8325519376688897,1.357931202139297,2.475,0.0,1.0175094538738896,0.0,0.0,0.9038380604665384,1.0667321430472603,4.0,0.0,0.749419154032542,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.7858615038762937,0.0,0.0,0.0,0.0,4.303689024390244,1.4004570848146267,2.021270881249244,0.0,0.0,0.5501539837075303,0.6388014353264696,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6555013927576603,0.0,0.0,1.591108137044968,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6549707602339181,1.8800290486564997,0,0.0,0.9271929824561403,1.175940938042849,2.097447795823666,0.0,0.0,1.1501822323462416,0.8063766388557807,0.0,1.0335659898477156,0.9053370786516852,0.730074074074074,0.6621108580106301,0,0.7779494382022472,0.0,4.524585381315822,0,0.0,1.333953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774276859504132,0,0,0.0,0.0,0,0.0,0.0,0.0,0.7861367063159657,0,0.0,0.0,0.0,1.2253787878787878,0.0,0.0,1.4505483078086592,0.0,0.8939248733201145,0.0,0,0.7575617942729912,0.3639139188345829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3664279380669805,0.37015176219741625,,,,2021
Huánuco,0.0,1.0744467005076141,4.676451612903226,0.0,1.2386146234194613,0.0,1.0843433188703269,3.45499925317401,1.5655922939660303,2.3377487270875767,-,0.7927924528301888,2.2713728222996514,0.6303441558441559,0.5440679258990192,0.7821616045845274,0.0,2.129085682957393,0.9577236628849269,1.3776497695852534,0.5567631313131313,1.7551162790697674,0,0.0,3.355963302752293,0.0,5.4045510611282435,1.269802445907808,0.0,0.0,2.7055758273381296,0.7761746897586255,0.0,1.2195038167938934,0.0,0.0,1.1782085083322043,3.0832589651321505,1.9422775465230169,1.2967865353037766,4.9405825242718455,0.9164226246227496,0.0,0.0,0.8662328533535432,0.8808455867898564,0.0,0.0,0.8056522154280041,0.0,0.0,0.0,0,0.0,0.0,0.0,0.860287598944591,5.2405843260188085,0.0,0.0,0.0,0.0,4.406490314929503,1.2910607915136678,2.4016496945010184,1.5314818941504182,0.8883619805831644,0.5258348180198524,0.6558984782608696,0.0,0.0,1.1079212253829323,0,0.5517556561085973,8.09178781802231,8.070011282133935,0.75586875,0.0,0.0,0.41473756097560976,0.0,2.5073438572409064,0.0,0.0,0.7534922021210231,0.8342166666666666,0,0.0,0.0,0.0,1.0728750000000002,0.833358208955224,0.0,0.0,0,1.5295964125560542,0.0,1.1757118786857628,3.3163032258064518,0.0,0.6242148014440432,0.5871784107946026,2.4001159420289855,0.0,2.237866121190561,0.0,0.5366629664418068,0.7854545454545455,0,0.4656227581941867,0.382918872204818,2.106562390158172,0,0.0,0.0,0.6102734375000001,0.4373970037453183,3.0562962962962956,0.0,0.0,0.0,0.5102234042553191,0.7393833780160859,0.6839017857142858,0,0,0.0,0.5012278177458034,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.3870720759602937,1.6155778894472361,0.0,0.9819014020805065,0.6253820146043815,0.6443867364124166,0.9721717100633356,0,0.8541721854304635,0.2483499854307637,1.0843433188703269,0.08,1.0843433188703269,0.0,0.0,0.0,0.2143730849368795,0.0,0.15592449984121942,0.15755478411802995,,,,2021
