Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,nan_x,nan_x,nan_x,nan_x,nan_x,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,Año
Amazonas,1.6029666254635353,1.093878538591822,3.5552486187845296,0.0,0.0,1.6832398071159922,1.1945549737867134,4.443949203187251,4.81785868223585,0.0,2.1808939381374906,0.0,1.3679870240737582,1.1749999999999998,1.5494524010109523,0.0,2.6441963426371515,3.0,0.0,1.3761075232710684,2.08518605332552,1.676273106738223,0.0,0.0,5.30409650969459,4.936896925313366,0.0,0.0,3.6469720241360397,2.5148758660508084,0.0,1.1916077374719083,0.0,0.0,1.3455285554419438,2.7476470649030893,2.456277577504544,0.0,6.853714782430845,1.006947463768116,0.0,0.0,1.249194847020934,2.3747083405885423,0.0,0.0,2.0652539221416366,0.0,0.0,0.0,0.0,0.0,0.9546241152639627,0.0,0.0,1.4032286995515695,1.0016850878782388,0.0,2.6890597279716144,5.452380170715691,1.3272298429644342,2.9279160014736587,0.0,1.1239319950545463,2.0664882302707066,1.852393928878011,0.0,0.0,2.6828511918537368,0.0,6.613882630912953,13.724067540510857,1.991150442477876,0.0,0.0,0.9061505832449631,0.0,3.3976409069136198,0.0,2.938650306748466,0.8609561805971141,1.1408610271903323,0.0,0.0,0.0,0.0,1.0129629629629628,0.0,0.0,1.2386603183833687,1.1580759435054413,2.2334083168437084,0.0,0.0,0.0,2.740303541315346,2.2800000000000002,0.0,2.4950684931506846,0.0,1.1865274719513474,0.0,1.376309349705333,0.0,2.0847525139412886,0.0,0.0,1.0,0.0,9.762029746281716,0.0,2.498686868686869,0.0,0.0,0.0,0.0,0.0,1.1021757712331959,0.0,0.0,0.0,0.16204621715013187,0,0.0,0.0,0.0,2.057945429596791,0.0,0.0,1.324095617737142,1.1847850824766912,0.9697689621269749,1.7062414640808525,0.0,0.6096066303979534,1.1945549737867134,0.0671429547073396,1.1945549737867134,0.12303555384842665,0.10951400096652716,0.051408788114942046,0.0,0.08308258209241906,0.08188329739269135,0.08373859943658155,,,,,,,,,,,,,,,,2022
Áncash,1.536056338028169,2.3641330743079165,4.271087533156499,0.0,1.5750065945660776,0.0,1.337821986930267,4.04412955465587,2.495300986765316,0.0,1.42254,0.0,1.5328309305373524,0.0,1.316639848798304,0.0,2.1058413416242696,0.9389780154486038,0.0,1.494144951140065,1.527661141804788,2.0443440691280443,3.4430127041742287,0.0,5.723716771772969,2.431800766283525,4.9439918533604885,0.0,4.054271226108439,1.0568077276908925,6.763945578231292,0.6452973342447026,0.0,0.0,1.5189792304755896,4.757552467547321,1.292942875812498,1.407844348363187,0.0,0.0,0.0,1.5909978768577495,1.2730279407224452,1.5397829556186193,5.790196078431372,0.0,1.3540277972436345,9.477389669503266,1.4530349478847335,0.0,0.0,0.0,0.0,1.5978770008424599,5.787356321839081,1.5257142857142858,0.4948687350835322,0.0,0.0,6.168357998590558,2.0575222993062434,2.6386479641535163,1.8572789115646258,1.583341108080953,0.8794054776219105,0.8207502051342165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7973333333333334,0.0,0.0,3.4473053892215573,0.0,1.718181818181818,0.0,0.0,0.0,0.0,1.7239316239316238,0.0,1.5485436893203883,0.0,3.5837837837837836,1.5063973799126635,1.9547112462006075,2.3480568720379145,3.7761194029850746,0.0,0.0,1.5085085332624542,1.4887289752037454,0.0,2.3381196581196577,1.6583750000000002,1.6260370849504096,0.0,1.571063829787234,0.0,4.17554059418352,0.0,1.912820512820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0091503267973856,2.4377204144700966,0.0,10.0,6.233008713480267,13.178541821305478,0.0,0,0.0,4.7021817928342395,0.0,3.5425925925925927,1.5183943546737573,0.0,2.4779761904761903,0.0,2.6569345238095234,0.0,1.4028050074262677,0.5311939380920989,1.337821986930267,0.0,1.337821986930267,0.0,0.0,0.0,0.635335538752363,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Apurímac,0.0,3.372,5.443297872340425,4.0,1.0,0.0,0.0,3.0550052687038987,2.259491669149497,1.5797029702970298,1.1157894736842104,0.8816666666666667,0.0,0.42735759192227085,1.1696921231507398,0.0,2.260007479956055,1.3613146791028203,0.0,0.9580735660847881,1.2662613981762918,0.0,5.7647964796479645,0.0,3.6802776111136755,2.9637605042016806,0.0,0.0,2.5510790694615815,1.5969517706022514,3.9683094175366116,0.9523176503340758,3.4631578947368418,0.0,1.327893715551005,3.7249334188306418,1.0462577758107743,1.5284552845528456,0.0,1.0461009642365184,0.0,0.0,1.1270116304794413,1.436494828912595,2.9066666666666667,0.0,1.1759171475561527,0.0,0.9499999999999998,0.0,0.0,0.0,0.0,0.0,3.9150619768019923,2.0,0.0,0.0,0.0,5.077703723891875,1.4832261521972132,2.342402928330483,2.895220588235294,1.3009725332552564,1.45148206612295,0.733048433048433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0573939793451987,0.0,0.0,3.0841450075524772,1.7410925117977027,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,1.2963398692810457,0.0,0.0,1.5775612075112908,2.9317842766080737,0.0,0.0,1.5162371238956065,1.1373242567654354,0.0,1.4225772603470925,1.045814292967758,1.1182064967332286,0.6233855724588482,1.486196174502968,0.0,3.201234045729356,0.0,1.288543946256807,0.0,0.0,0.0,1.015885068642935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.5129643527204503,0,0.0,0.0,0.0,1.4330337253276693,0.0,2.9856978325837233,1.4583435066872847,0.0,1.041073512252042,1.382758620689655,0.891977942419498,0.40652267332321335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2798165137614679,0.31912527943260194,0.29179377916728455,,,,,,,,,,,,,,,,2022
Arequipa,0.9184620114615921,10.08492086549656,2.8478372289854472,1.5980631477144724,0.8170454348003598,0.0,1.4009828568037832,3.5,2.4442081649445964,0.0,0.7949958055654155,1.273617248002239,0.0,0.4202489005333582,1.7330650715221707,5.0,1.8301098335068446,0.8119727931751375,0.5999999999999999,0.8835658634686301,1.326808560433583,1.5071904076295846,3.4736402486402485,0.0,4.6592065442529425,0.0,0.0,0.0,3.53922012554785,1.1475370428137723,3.556972111553785,0.8617970935827027,0.0,0.0,1.5486710902462695,4.130980343966698,1.6423222763408032,1.991829091958391,0.0,0.0,0.8405612545690366,0.8572638618184474,2.1442144147435505,2.151633055677334,5.5465393794749405,0.0,1.3892096103496487,6.372539128202346,0.8450544524641621,0.0,0.0,0.0,0.0,0.8425831395900312,3.965587538685481,0.7662348315505049,0.7901555339849659,0.5711392773892774,0.0,0.0,1.2051017660035275,1.7879007825298823,2.203694646065194,1.882606978505563,0.8994336082749235,1.3325063772820167,0.0,2.1307072039467423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28780487804878,3.4912343792142413,0.0,0.0,0.0,3.3008264462809915,0.0,1.3618900531938107,0.0,3.4754026764965147,0.0,4.109203711408954,0.0,0.0,2.42782108811183,4.491403664468179,0.0,1.1344880529699646,2.8941140215716485,2.456273693150191,0.0,3.2461259050627507,2.835493670886076,2.0,2.0,3.246074709124311,0.0,3.848692107531558,18.0,1.5536256135653728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444556964110664,0.0,2.14110681748282,4.7911442295849245,0.0,0.3037640622221292,0,0.0,0.0,0.0,0.0,0.0,4.999601136119243,2.0414735099337746,0.0,1.752226720647773,0.0,2.977519646838091,0.12901767681267615,1.4009828568037832,0.0,1.4009828568037832,0.0,0.0,0.0,0.181812207716493,0.0,0.12649971048060218,0.0,,,,,,,,,,,,,,,,2022
Ayacucho,0.0,2.8316923076923075,4.886858974358974,0.0,1.09074144486692,0.0,1.8,2.5983762761302867,2.7252802116052237,1.7352574102964122,1.1700000000000002,0.0,1.0,0.9151692307692307,0.8642394822006473,0.0,1.590701437865617,1.3016955791829883,0.0,1.0455383123181379,1.3395693779904305,0.0,0.0,0.0,3.7609192546583854,0.0,3.8824120603015078,2.9477272727272723,2.48128150406504,1.763355100600071,4.086666666666667,1.0025633383010433,4.5,0.0,1.6651831750339212,2.9223523646939804,1.4886087980486167,2.335645633096532,0.0,0.9821000495294699,0.0,0.9555555555555556,1.0484071038251366,1.4349950495049504,3.7086956521739127,0.0,1.0899188564307043,0.0,0.75,0.0,0.0,0.0,0.0,1.2049640287769785,4.404624061500879,0.9499999999999998,0.0,0.0,0.0,3.9524999999999997,1.3189871504157218,2.0836877811897443,1.5264925373134328,1.3075651544401543,1.2339021406727828,1.1592396109637488,0.0,0.0,3.034090909090909,0.0,7.072214684154982,14.691841937539834,0.0,0.0,0.0,0.0,0.0,2.7848799999999994,2.204301075268817,0.0,1.0226377952755905,0.0,0.0,0.0,0.0,0.0,1.0,1.1469135802469135,3.461513157894737,1.028395061728395,0.0,2.00438127090301,3.193035714285714,0.0,1.1867841409691628,1.3219858156028368,1.4054407713498624,0.0,2.3788835186080233,1.2528846153846156,1.126512319456245,1.0779069767441862,1.373178137651822,0.0,4.842871386054421,0.0,1.425,0.0,0.0,0.0,0.0,0.0,1.5767567567567566,0.0,0.0,0.0,2.4285714285714284,0.0,0.0,0.0,0.0,0.30333333333333334,0,0.0,0.0,2.9322916666666665,1.6756818181818183,0.0,2.4055555555555554,1.5838640132669983,1.804166666666667,1.0249700837654565,0.0,1.064645124316699,0.4289551536440676,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Cajamarca,0.0,1.7764162670928785,9.703202257206454,0.0,0.0,1.3237012368954921,1.2650009361126788,3.7359948787863835,2.666363383507491,0.0,0.9167110519307591,0.0,0.9269774727395176,0.0,0.9585160853289952,0.0,1.7085451629941908,1.2326514464019886,0.0,0.936825480389576,0.0,0.0,0.0,0.0,3.244863637987677,2.3425787885534612,3.9360000000000004,0.0,3.2258924448252215,2.30098825239191,0.0,0.7321088435374148,4.2480291864982025,0.0,1.2663142568475307,3.5331995077810987,2.1032078010708912,1.6458222884158171,0.0,0.0,0.0,0.0,1.3595711538907034,1.8478771200193858,0.0,0.0,1.672405513426719,8.0,0.0,2.0,0.0,0.0,0.6090136324331634,0.0,5.109584770009538,0.8627511591962906,0.0,0.0,0.0,5.085911789434949,2.3076326543680414,2.232171058086839,0.0,1.3802659480169828,1.484977475091854,0.7542333234567711,1.3741821446607938,0.0,4.56875,0.0,7.502198799038383,12.996596984932996,0.0,0.0,0.0,0.0,0.0,1.7620953158461576,0.0,0.0,0.5388582822391704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7658564627798161,0.6719667932526715,1.452143296598918,0.0,1.525,0.0,1.7023784093230179,1.3043165467625901,0.0,0.0,0.0,0.7248725016680241,1.0826923076923076,0.5843190450352685,0.0,2.8922923920085397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.438230884557721,0.0,0.0,0.0,0.0,0.17184658162689473,0,0.0,0.0,0.0,1.9778621559041094,1.0042553191489363,0.0,1.375288618421183,1.4721142765877813,0.5955042124281464,0.0,1.5574238227146815,0.26077638678224146,1.2650009361126788,0.0,1.2650009361126788,0.0,0.04454843960527497,0.04635726619075831,1.027430278884462,0.044192162747081154,0.10103282911850103,0.15238274090321807,,,,,,,,,,,,,,,,2022
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,1.0537376586741891,2.974304500897418,2.2242971293282037,2.2954472246491995,0.0,0.0,0.0,0.0,1.1928155076589397,5.665591397849463,1.793398165778774,1.5025276888998278,0.0,1.1513870541611624,1.5837601862630968,0.0,8.0,0.0,3.4399348632316116,0.0,3.0000000000000004,0.0,2.6453088226604793,1.408070784294629,3.964661994121637,1.3143405889884763,0.0,0.0,1.8909229502164124,3.8804526836103337,1.171166406492318,0.0,0.0,1.6628921738845222,0.0,0.0,1.4950531935826634,1.6547035494631053,0.0,0.0,1.2563950698313744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.799529947809601,0.0,0.0,0.0,3.01,5.367392386460606,2.722048972048972,2.3471648891275994,0.0,1.2690436066626716,1.9565604364053977,1.5155677655677655,0.0,0.0,4.326567989522483,0.0,7.9794180552101475,11.601197813329556,0.0,0.0,2.4912442396313366,0.0,0.0,2.5406808510638297,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018180232811616,0.0,1.1623057153347203,0.0,0.0,0.8582222450975346,2.819042553191489,2.7142512077294687,0.0,3.229446640316205,0.0,0.9586813186813187,0.0,0.0,0.0,3.066677158745147,0.0,3.4380952380952383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718809980806142,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,2.292519062375435,3.1446153846153844,0.0,0.0,1.1511104464218949,1.8369462581617277,1.0473249403699434,3.7698664971392244,1.1870307167235494,0.5249706899480877,1.0537376586741891,0.0,1.0537376586741891,0.0,0.0,0.0,0.0,0.0,0.3182756743978934,0.25149501661129564,,,,,,,,,,,,,,,,2022
Huancavelica,0.0,0.0,4.088666478714407,0.0,0.0,0.0,0.0,2.8860317951706302,2.459443237250554,1.7923663240558958,0.0,0.0,0.0,0.0,1.8058724123362908,0.0,1.513099992107963,1.0293784166835391,0.0,0.0,0.0,0.0,0.0,0.0,3.565018412500594,0.0,0.0,0.0,2.3091382143509223,1.38607821965191,4.111111111111111,0.0,3.87037037037037,3.410961895403428,1.6205871367744824,3.6781018598088044,1.4679956729226407,1.6834586466165415,0.0,1.0544439339924292,0.0,0.0,1.0329334549115707,1.1826868543485127,5.331267605633802,0.0,1.1133784430893108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7732915649145298,0.0,0.0,0.0,0.0,4.869538461538462,1.8869721225503728,2.1286275088547812,0.0,0.0,0.5466643372932681,0.8009999902344703,0.0,0.0,0.0,0.0,0.0,14.756410256410254,0.0,0.0,0.7549107142857143,0.0,0.0,2.186877192982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317142857142857,2.217279411764706,0.0,1.2504347826086957,1.383262711864407,3.041509433962264,0.0,0.0,1.447789591494124,0.9076702737110123,0.0,1.2652652973898162,1.3394520547945206,0.7458271375464686,0.6993186979560939,0.9361399671951885,0.0,4.177939399819593,0.0,1.5914285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133776091081594,0.0,0.0,0.0,0.0,0.0,0.9493302733152514,0,0.0,0.0,0.0,1.4894736842105263,0.0,0.0,1.695623028391167,0.0,1.0864833641404805,0.0,0.7831179328469172,0.38228209024400267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3330867339164356,0.3314911448450348,,,,,,,,,,,,,,,,2022
Huánuco,0.0,2.3830274193548386,4.709423868312757,0.0,1.2624634146341465,0.0,1.2334198693929985,3.6555191594561194,2.324770258922323,2.4889512680258568,1.2298617511520737,2.2831168831168833,1.3906976744186048,0.8548289604782462,1.0249312418300653,0.0,2.5179487612112594,1.1565153788447111,1.7173972602739727,0.7773518711018711,1.825505617977528,0.0,3.79696,0.0,5.4590379213483144,2.158273381294964,0.0,0.0,3.2511503219415543,0.8724599218644751,0.0,1.3246636771300448,0.0,0.0,1.3383637531782266,3.746375674188222,2.1343772383605253,1.394674227799228,5.02091743119266,1.0059257045260461,0.0,0.0,0.9847974726200505,0.9694492753623192,0.0,0.0,1.3940469633398018,0.0,0.0,0.0,0.0,0.0,0.0,1.1195348837209305,5.389125917560701,0.0,0.0,0.0,0.0,4.9656514635806674,1.4780756663800518,2.6466108185374657,2.0308235294117645,1.3379948160639559,0.8299422178509959,0.5461047809685119,0.0,0.0,0.9326117647058823,0.7209610894941634,7.972165401758825,11.605641967422546,1.5190566037735849,0.0,0.0,0.7537066795740562,0.0,2.8479310344827593,0.0,0.0,1.5658590769230767,1.3123969465648857,0.0,0.0,0.0,1.8792207792207791,0.900625,0.0,0.0,1.6699999999999997,0.0,1.4856184100418408,3.5135761589403978,0.0,0.9112086330935252,0.7522760646108665,2.6383333333333336,0.0,2.4373579881656804,0.0,0.8253575395130286,0.9563636363636363,0.8079110966904607,0.606103753883767,2.7229287428023037,0.0,0.0,1.0863657230298394,0.5045871886120996,3.437499999999999,0.0,0.0,0.0,0.6890000000000001,1.0876913015042513,0.9160654205607476,0.0,0.5659894242068155,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.4230656474820143,1.9676271186440677,0.0,1.1658644859813083,0.9053682924445312,0.7927008009423864,2.0253004067402673,0.9649333333333335,0.2894490725780392,1.2334198693929985,0.09416626599211964,1.2334198693929985,0.0,0.0,0.0,0.235376130198915,0.0,0.15973354958294717,0.16377375244183978,,,,,,,,,,,,,,,,2022
