Región,meses,cosecha,produccion,rendimiento,precio,year
Amazonas,Ene,4484.0,40989.45,9141.268956289026,1.1655942443726373,2022
Áncash,Ene,0.0,0.0,0.0,0.0,2022
Apurímac,Ene,0.0,0.0,0.0,0.0,2022
Arequipa,Ene,0.0,0.0,0.0,0.0,2022
Ayacucho,Ene,0.0,0.0,0.0,0.0,2022
Cajamarca,Ene,884.0,6638.24,7509.321266968325,1.1593815228132758,2022
Callao,Ene,0.0,0.0,0.0,0.0,2022
Cusco,Ene,0.0,0.0,0.0,0.0,2022
Huancavelica,Ene,0.0,0.0,0.0,0.0,2022
Huánuco,Ene,782.0,4517.0,5776.214833759591,1.2376355988487933,2022
Ica,Ene,0.0,0.0,0.0,0.0,2022
Junín,Ene,35.0,102.0,2914.285714285714,1.3058823529411763,2022
La Libertad,Ene,177.0,1298.0,7333.333333333333,1.45,2022
Lambayeque,Ene,2232.0,16742.2,7500.985663082438,1.233251913369158,2022
Lima,Ene,0.0,0.0,0.0,0.0,2022
Lima Metropolitana,Ene,0.0,0.0,0.0,0.0,2022
Loreto,Ene,2977.0,8631.0,2899.227410144441,0.6740354535974974,2022
Madre de Dios,Ene,154.0,615.5,3996.753246753247,1.7363119415109667,2022
Moquegua,Ene,0.0,0.0,0.0,0.0,2022
Pasco,Ene,295.0,469.85,1592.7118644067798,1.7335166542513567,2022
Piura,Ene,3963.0,41000.0,10345.697703759779,1.4100000000000001,2022
Puno,Ene,0.0,0.0,0.0,0.0,2022
San Martín,Ene,7045.0,54981.85,7804.378992193045,1.0439190933007894,2022
Tacna,Ene,0.0,0.0,0.0,0.0,2022
Tumbes,Ene,1544.0,13353.312,8648.518134715026,1.39528206934729,2022
Ucayali,Ene,2189.0,15084.36,6890.9821836455,0.9787548162467616,2022
Amazonas,Feb,3446.0,31953.0,9272.489843296577,1.1816854442462368,2022
Áncash,Feb,1400.0,15200.0,10857.142857142857,1.3299342105263159,2022
Apurímac,Feb,0.0,0.0,0.0,0.0,2022
Arequipa,Feb,1225.0,16992.7,13871.591836734695,1.3466366145462463,2022
Ayacucho,Feb,4.0,12.0,3000.0,1.8,2022
Cajamarca,Feb,612.5,4873.97,7957.502040816327,1.3158906599753384,2022
Callao,Feb,0.0,0.0,0.0,0.0,2022
Cusco,Feb,0.0,0.0,0.0,0.0,2022
Huancavelica,Feb,0.0,0.0,0.0,0.0,2022
Huánuco,Feb,1236.0,6280.0,5080.906148867314,1.3084394904458598,2022
Ica,Feb,0.0,0.0,0.0,0.0,2022
Junín,Feb,45.0,121.5,2700.0,1.27201646090535,2022
La Libertad,Feb,323.5,3690.0,11406.491499227202,1.4227642276422765,2022
Lambayeque,Feb,2025.0,15182.0,7497.283950617284,1.3905019101567644,2022
Lima,Feb,0.0,0.0,0.0,0.0,2022
Lima Metropolitana,Feb,0.0,0.0,0.0,0.0,2022
Loreto,Feb,1572.0,4756.0,3025.445292620865,0.6597140454163162,2022
Madre de Dios,Feb,479.0,1676.0,3498.956158663883,1.6943317422434363,2022
Moquegua,Feb,0.0,0.0,0.0,0.0,2022
Pasco,Feb,263.0,412.52,1568.5171102661598,1.7263754484631049,2022
Piura,Feb,1404.0,11000.0,7834.757834757835,1.428122270742358,2022
Puno,Feb,0.0,0.0,0.0,0.0,2022
San Martín,Feb,8681.0,67254.0,7747.2641400760285,1.0354088232670176,2022
Tacna,Feb,0.0,0.0,0.0,0.0,2022
Tumbes,Feb,0.0,0.0,0.0,0.0,2022
Ucayali,Feb,1542.0,10863.09,7044.805447470817,0.9545369227356122,2022
Amazonas,Mar,3948.0,36298.2,9194.072948328267,1.1913023510807699,2022
Áncash,Mar,1570.0,17700.0,11273.885350318471,1.3259887005649718,2022
Apurímac,Mar,0.0,0.0,0.0,0.0,2022
Arequipa,Mar,7360.0,103014.0,13996.467391304348,1.3483434290484788,2022
Ayacucho,Mar,0.0,0.0,0.0,0.0,2022
Cajamarca,Mar,1052.0,8433.0,8016.1596958174905,1.157008656468635,2022
Callao,Mar,0.0,0.0,0.0,0.0,2022
Cusco,Mar,0.0,0.0,0.0,0.0,2022
Huancavelica,Mar,0.0,0.0,0.0,0.0,2022
Huánuco,Mar,921.0,5152.0,5593.9196525515745,1.2646739130434783,2022
Ica,Mar,0.0,0.0,0.0,0.0,2022
Junín,Mar,44.0,119.5,2715.909090909091,1.5482008368200837,2022
La Libertad,Mar,1483.0,16806.6,11332.838840188806,1.2261504408982187,2022
Lambayeque,Mar,0.0,0.0,0.0,0.0,2022
Lima,Mar,0.0,0.0,0.0,0.0,2022
Lima Metropolitana,Mar,0.0,0.0,0.0,0.0,2022
Loreto,Mar,1047.0,3080.0,2941.7382999044894,0.696538961038961,2022
Madre de Dios,Mar,471.0,1461.2,3102.335456475584,1.7977415822611553,2022
Moquegua,Mar,0.0,0.0,0.0,0.0,2022
Pasco,Mar,93.0,138.78,1492.258064516129,1.8936986597492433,2022
Piura,Mar,0.0,0.0,0.0,0.0,2022
Puno,Mar,0.0,0.0,0.0,0.0,2022
San Martín,Mar,8724.0,68106.73,7806.823704722603,1.0101452837333407,2022
Tacna,Mar,0.0,0.0,0.0,0.0,2022
Tumbes,Mar,0.0,0.0,0.0,0.0,2022
Ucayali,Mar,2177.0,15999.81,7349.476343592099,0.9270829216096941,2022
Amazonas,Abr,3831.0,34680.86,9052.691203341165,1.183496862534551,2022
Áncash,Abr,1280.0,13000.0,10156.25,1.402923076923077,2022
Apurímac,Abr,0.0,0.0,0.0,0.0,2022
Arequipa,Abr,6266.0,89779.89,14328.102457708268,1.3448452075403525,2022
Ayacucho,Abr,0.0,0.0,0.0,0.0,2022
Cajamarca,Abr,2758.0,22227.300000000003,8059.209572153735,1.1763603541590746,2022
Callao,Abr,0.0,0.0,0.0,0.0,2022
Cusco,Abr,281.0,575.2,2046.975088967972,1.708762169680111,2022
Huancavelica,Abr,0.0,0.0,0.0,0.0,2022
Huánuco,Abr,607.0,4339.0,7148.27018121911,1.1705692555888452,2022
Ica,Abr,0.0,0.0,0.0,0.0,2022
Junín,Abr,46.0,148.7,3232.6086956521735,1.6623402824478817,2022
La Libertad,Abr,7391.0,79575.3,10766.51332701935,1.5280991714765761,2022
Lambayeque,Abr,645.0,6680.0,10356.589147286822,1.4260029940119758,2022
Lima,Abr,0.0,0.0,0.0,0.0,2022
Lima Metropolitana,Abr,0.0,0.0,0.0,0.0,2022
Loreto,Abr,415.0,1377.0,3318.0722891566265,0.7097748729121278,2022
Madre de Dios,Abr,315.0,1052.8000000000002,3342.222222222223,1.7157104863221886,2022
Moquegua,Abr,0.0,0.0,0.0,0.0,2022
Pasco,Abr,19.0,22.99,1210.0,2.2,2022
Piura,Abr,0.0,0.0,0.0,0.0,2022
Puno,Abr,45.0,83.1,1846.6666666666665,1.7454873646209386,2022
San Martín,Abr,10733.0,84434.55,7866.817292462499,1.127405025549375,2022
Tacna,Abr,0.0,0.0,0.0,0.0,2022
Tumbes,Abr,0.0,0.0,0.0,0.0,2022
Ucayali,Abr,438.0,2769.2879999999996,6322.575342465752,0.9573691685371835,2022
Amazonas,May,4108.5,37240.75,9064.31787757089,1.1759514107530058,2022
Áncash,May,1345.0,14350.0,10669.144981412639,1.3,2022
Apurímac,May,0.0,0.0,0.0,0.0,2022
Arequipa,May,3614.0,44191.73,12227.927504150526,1.4874545984056293,2022
Ayacucho,May,0.0,0.0,0.0,0.0,2022
Cajamarca,May,4364.0,35658.75,8171.115948670945,1.2011623374347111,2022
Callao,May,0.0,0.0,0.0,0.0,2022
Cusco,May,442.0,832.0,1882.3529411764705,0.9161057692307691,2022
Huancavelica,May,0.0,0.0,0.0,0.0,2022
Huánuco,May,453.0,2963.0,6540.83885209713,1.058758015524806,2022
Ica,May,0.0,0.0,0.0,0.0,2022
Junín,May,42.0,147.3,3507.1428571428573,1.6873727087576371,2022
La Libertad,May,14277.0,154954.0,10853.400574350355,1.3610832892342244,2022
Lambayeque,May,15523.0,152608.0,9831.089351285189,1.4263963226043195,2022
Lima,May,0.0,0.0,0.0,0.0,2022
Lima Metropolitana,May,0.0,0.0,0.0,0.0,2022
Loreto,May,280.0,858.0,3064.2857142857147,0.7286013986013987,2022
Madre de Dios,May,97.0,595.0,6134.020618556701,1.4176470588235295,2022
