Región,meses,cosecha,produccion,rendimiento,precio,year
Amazonas,Ene,188.0,3328.3999999999996,17704.255319148935,1.5127734046388657,2022
Áncash,Ene,673.0,8991.5,13360.32689450223,1.2802869376633488,2022
Apurímac,Ene,222.5,4692.27,21088.853932584272,1.0081401965360048,2022
Arequipa,Ene,457.0,16202.962,35455.0590809628,0.9556556480228737,2022
Ayacucho,Ene,996.0,17782.0,17853.413654618475,0.9264632774716004,2022
Cajamarca,Ene,2869.0,32072.07,11178.832345765075,1.0801364551773553,2022
Callao,Ene,0.0,0.0,0.0,0.0,2022
Cusco,Ene,1599.0,24508.0,15327.0794246404,1.089240248082259,2022
Huancavelica,Ene,569.0,9195.800000000001,16161.335676625662,0.9679070880184432,2022
Huánuco,Ene,4833.0,93419.0,19329.40202772605,1.0443576788447748,2022
Ica,Ene,16.0,146.25,9140.625,1.0382905982905986,2022
Junín,Ene,1254.0,23204.399999999998,18504.306220095692,0.8900264604988712,2022
La Libertad,Ene,1106.5,23637.1,21362.042476276547,1.2072789809240558,2022
Lambayeque,Ene,45.0,285.0,6333.333333333333,0.9,2022
Lima,Ene,1019.0,33966.8,33333.464180569186,0.8044402180953165,2022
Lima Metropolitana,Ene,0.0,0.0,0.0,0.0,2022
Loreto,Ene,0.0,0.0,0.0,0.0,2022
papare de Dios,Ene,0.0,0.0,0.0,0.0,2022
Moquegua,Ene,51.0,803.18,15748.627450980392,1.1568764162454244,2022
Pasco,Ene,433.5,8731.799,20142.558246828146,0.7919924863135305,2022
Piura,Ene,79.0,1058.0,13392.40506329114,1.5756899810964082,2022
Puno,Ene,0.0,0.0,0.0,0.0,2022
San Martín,Ene,0.0,0.0,0.0,0.0,2022
Tacna,Ene,31.0,638.0,20580.645161290326,1.6738244514106582,2022
Tumbes,Ene,0.0,0.0,0.0,0.0,2022
Ucayali,Ene,0.0,0.0,0.0,0.0,2022
Amazonas,Feb,269.0,4740.879999999999,17624.08921933085,1.4561575066232428,2022
Áncash,Feb,1909.0,23998.7,12571.346254583552,1.4752740773458561,2022
Apurímac,Feb,605.0,12457.99,20591.719008264463,1.1129317008602513,2022
Arequipa,Feb,439.0,14792.813999999998,33696.61503416856,0.9463456040209794,2022
Ayacucho,Feb,1462.0,27154.0,18573.187414500684,1.004122044634308,2022
Cajamarca,Feb,3803.0,48899.35,12858.0988693137,1.2540657084398872,2022
Callao,Feb,0.0,0.0,0.0,0.0,2022
Cusco,Feb,1896.0,30385.9,16026.318565400847,1.1814571890251728,2022
Huancavelica,Feb,912.0,13578.900000000001,14889.144736842107,1.045595372231919,2022
Huánuco,Feb,3868.0,67043.0,17332.730093071354,1.0679827871664456,2022
Ica,Feb,33.0,283.4,8587.878787878788,1.0,2022
Junín,Feb,1859.0,37718.40000000001,20289.61807423346,0.9471785653686265,2022
La Libertad,Feb,2002.5,40986.149999999994,20467.49063670412,1.3789584286399195,2022
Lambayeque,Feb,155.0,920.0,5935.483870967742,1.0937500000000002,2022
Lima,Feb,402.0,10441.199999999999,25973.134328358206,0.8712073324905185,2022
Lima Metropolitana,Feb,0.0,0.0,0.0,0.0,2022
Loreto,Feb,0.0,0.0,0.0,0.0,2022
papare de Dios,Feb,0.0,0.0,0.0,0.0,2022
Moquegua,Feb,53.0,725.57,13690.000000000002,1.6273374036964041,2022
Pasco,Feb,710.0,13412.950000000003,18891.47887323944,0.8599221349516697,2022
Piura,Feb,105.0,1212.0,11542.857142857143,1.1538613861386138,2022
