Región,meses,cosecha,year,produccion,rendimiento
Amazonas,Ene,0.0,2022,,
Áncash,Ene,0.0,2022,,
Apurímac,Ene,0.0,2022,,
Arequipa,Ene,0.0,2022,,
Ayacucho,Ene,0.0,2022,,
Cajamarca,Ene,0.0,2022,,
Callao,Ene,0.0,2022,,
Cusco,Ene,0.0,2022,,
Huancavelica,Ene,0.0,2022,,
Huánuco,Ene,8.522727272727273,2022,,
Ica,Ene,0.0,2022,,
Junín,Ene,0.0,2022,,
La Libertad,Ene,0.0,2022,,
Lambayeque,Ene,0.0,2022,,
Lima,Ene,0.0,2022,,
Lima Metropolitana,Ene,0.0,2022,,
Loreto,Ene,0.0,2022,,
cafere de Dios,Ene,0.0,2022,,
Moquegua,Ene,0.0,2022,,
Pasco,Ene,0.0,2022,,
Piura,Ene,0.0,2022,,
Puno,Ene,0.0,2022,,
San Martín,Ene,11.55327868852459,2022,,
Tacna,Ene,0.0,2022,,
Tumbes,Ene,0.0,2022,,
Ucayali,Ene,0.0,2022,,
Amazonas,Feb,0.0,2022,,
Áncash,Feb,0.0,2022,,
Apurímac,Feb,0.0,2022,,
Arequipa,Feb,0.0,2022,,
Ayacucho,Feb,0.0,2022,,
Cajamarca,Feb,0.0,2022,,
Callao,Feb,0.0,2022,,
Cusco,Feb,0.0,2022,,
Huancavelica,Feb,0.0,2022,,
Huánuco,Feb,8.903769841269842,2022,,
Ica,Feb,0.0,2022,,
Junín,Feb,11.988802830516569,2022,,
La Libertad,Feb,0.0,2022,,
Lambayeque,Feb,0.0,2022,,
Lima,Feb,0.0,2022,,
Lima Metropolitana,Feb,0.0,2022,,
Loreto,Feb,0.0,2022,,
cafere de Dios,Feb,0.0,2022,,
Moquegua,Feb,0.0,2022,,
Pasco,Feb,0.0,2022,,
Piura,Feb,0.0,2022,,
Puno,Feb,0.0,2022,,
San Martín,Feb,10.477689932056826,2022,,
Tacna,Feb,0.0,2022,,
Tumbes,Feb,0.0,2022,,
Ucayali,Feb,0.0,2022,,
Amazonas,Mar,0.0,2022,,
Áncash,Mar,0.0,2022,,
Apurímac,Mar,0.0,2022,,
Arequipa,Mar,0.0,2022,,
Ayacucho,Mar,0.0,2022,,
Cajamarca,Mar,11.363698346222773,2022,,
Callao,Mar,0.0,2022,,
Cusco,Mar,10.85152647975078,2022,,
Huancavelica,Mar,0.0,2022,,
Huánuco,Mar,8.931937984496123,2022,,
Ica,Mar,0.0,2022,,
Junín,Mar,11.995215565666577,2022,,
La Libertad,Mar,3.782904516866781,2022,,
Lambayeque,Mar,0.0,2022,,
Lima,Mar,0.0,2022,,
Lima Metropolitana,Mar,0.0,2022,,
Loreto,Mar,0.0,2022,,
cafere de Dios,Mar,0.0,2022,,
Moquegua,Mar,0.0,2022,,
Pasco,Mar,11.0,2022,,
Piura,Mar,0.0,2022,,
Puno,Mar,0.0,2022,,
San Martín,Mar,10.339113227797156,2022,,
Tacna,Mar,0.0,2022,,
Tumbes,Mar,0.0,2022,,
Ucayali,Mar,12.5,2022,,
Amazonas,Abr,13.852984310934906,2022,,
Áncash,Abr,0.0,2022,,
Apurímac,Abr,0.0,2022,,
Arequipa,Abr,0.0,2022,,
Ayacucho,Abr,14.0,2022,,
Cajamarca,Abr,11.62352580837678,2022,,
Callao,Abr,0.0,2022,,
