Región,meses,cosecha,year,produccion,rendimiento
Amazonas,Ene,1.6929811814284677,2022,,
Áncash,Ene,4.825879381506807,2022,,
Apurímac,Ene,3.4930873585068696,2022,,
Arequipa,Ene,4.9949841605068634,2022,,
Ayacucho,Ene,6.478975289683094,2022,,
Cajamarca,Ene,2.7482783027214497,2022,,
Callao,Ene,0.0,2022,,
Cusco,Ene,1.4162318840579708,2022,,
Huancavelica,Ene,4.2735186496695,2022,,
Huánuco,Ene,2.314827806122449,2022,,
Ica,Ene,5.999999999999999,2022,,
Junín,Ene,1.5412227476252254,2022,,
La Libertad,Ene,3.2924625352125654,2022,,
Lambayeque,Ene,3.3555555555555556,2022,,
Lima,Ene,4.134521733902484,2022,,
Lima Metropolitana,Ene,3.3285714285714283,2022,,
Loreto,Ene,0.476763925729443,2022,,
higore de Dios,Ene,0.0,2022,,
Moquegua,Ene,8.441309255079009,2022,,
Pasco,Ene,2.9439917559162345,2022,,
Piura,Ene,3.1391666666666667,2022,,
Puno,Ene,2.4300404203718675,2022,,
San Martín,Ene,1.1283916083916086,2022,,
Tacna,Ene,0.0,2022,,
Tumbes,Ene,0.0,2022,,
Ucayali,Ene,1.1025568651968447,2022,,
Amazonas,Feb,1.808966103356978,2022,,
Áncash,Feb,3.8243056397816857,2022,,
Apurímac,Feb,3.1493805833868023,2022,,
Arequipa,Feb,4.273856578204404,2022,,
Ayacucho,Feb,5.393446723361681,2022,,
Cajamarca,Feb,2.8626628207074543,2022,,
Callao,Feb,0.0,2022,,
Cusco,Feb,4.991896272285251,2022,,
Huancavelica,Feb,4.486028147240162,2022,,
Huánuco,Feb,2.3186855582109933,2022,,
Ica,Feb,6.018095572733661,2022,,
Junín,Feb,1.52741037735849,2022,,
La Libertad,Feb,3.2294269865790635,2022,,
Lambayeque,Feb,2.5,2022,,
Lima,Feb,3.315497157121066,2022,,
Lima Metropolitana,Feb,2.9908504176157935,2022,,
Loreto,Feb,0.4842368421052631,2022,,
higore de Dios,Feb,0.0,2022,,
Moquegua,Feb,7.240335051546392,2022,,
Pasco,Feb,1.0082102939147233,2022,,
Piura,Feb,1.8063595505617975,2022,,
Puno,Feb,2.487642455032267,2022,,
San Martín,Feb,0.8872151898734177,2022,,
Tacna,Feb,0.0,2022,,
Tumbes,Feb,0.0,2022,,
Ucayali,Feb,1.0673642694712904,2022,,
Amazonas,Mar,1.8812255240727942,2022,,
Áncash,Mar,3.9959818668864617,2022,,
Apurímac,Mar,3.314363735663572,2022,,
Arequipa,Mar,4.561187864438372,2022,,
Ayacucho,Mar,5.249482232395901,2022,,
Cajamarca,Mar,2.814110196141526,2022,,
Callao,Mar,0.0,2022,,
Cusco,Mar,4.988873435326843,2022,,
Huancavelica,Mar,4.5995537378323945,2022,,
Huánuco,Mar,2.727575322812052,2022,,
Ica,Mar,6.1218581200213915,2022,,
Junín,Mar,1.558011873804033,2022,,
La Libertad,Mar,4.3814980838491095,2022,,
Lambayeque,Mar,2.8252691980731086,2022,,
Lima,Mar,3.9427403344661665,2022,,
Lima Metropolitana,Mar,2.8127567567567566,2022,,
Loreto,Mar,0.4897089947089948,2022,,
higore de Dios,Mar,0.0,2022,,
Moquegua,Mar,6.422984203301321,2022,,
Pasco,Mar,1.05418511390677,2022,,
Piura,Mar,2.6421185185185188,2022,,
Puno,Mar,2.579710144927536,2022,,
San Martín,Mar,1.0872727272727272,2022,,
Tacna,Mar,0.0,2022,,
Tumbes,Mar,0.0,2022,,
Ucayali,Mar,1.1044009961348824,2022,,
Amazonas,Abr,1.805577603775609,2022,,
Áncash,Abr,3.995089733935744,2022,,
Apurímac,Abr,3.236542247915881,2022,,
Arequipa,Abr,3.8217676916685233,2022,,
Ayacucho,Abr,4.612044496648932,2022,,
Cajamarca,Abr,2.3704684317718945,2022,,
Callao,Abr,0.0,2022,,
Cusco,Abr,2.0229007633587788,2022,,
Huancavelica,Abr,4.16560376925656,2022,,
Huánuco,Abr,2.8392679738562094,2022,,
Ica,Abr,3.891602352911997,2022,,
Junín,Abr,1.4548337165099816,2022,,
La Libertad,Abr,3.9544702255708333,2022,,
Lambayeque,Abr,3.275972929838561,2022,,
Lima,Abr,3.411219490318748,2022,,
Lima Metropolitana,Abr,2.8957425018288228,2022,,
Loreto,Abr,0.49563909774436105,2022,,
higore de Dios,Abr,0.0,2022,,
Moquegua,Abr,6.021226131860214,2022,,
Pasco,Abr,1.9049446981440363,2022,,
Piura,Abr,2.827158273381295,2022,,
Puno,Abr,2.574067679558011,2022,,
San Martín,Abr,1.1275362318840578,2022,,
Tacna,Abr,7.0,2022,,
Tumbes,Abr,0.0,2022,,
Ucayali,Abr,1.1807989085459956,2022,,
Amazonas,May,1.953688372667737,2022,,
Áncash,May,3.889373819915188,2022,,
Apurímac,May,3.3512106811495816,2022,,
Arequipa,May,3.3997750150313233,2022,,
Ayacucho,May,3.2358130511463843,2022,,
Cajamarca,May,2.735056876938986,2022,,
Callao,May,0.0,2022,,
Cusco,May,1.510844892812106,2022,,
Huancavelica,May,3.945128891464693,2022,,
