Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Berenjena,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Perejil,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Aguaje,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Copoazú,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Huasai,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Nuez,Pacae ,Palma aceitera,Palta,Pan de árbol,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Umari,Ungurahui,Uva,Zapote,Aguaymanto,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tumbo,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,,,,Año
Amazonas,9.25,268.41999999999996,22.5,0.0,0.0,9006.905999999999,450367.60000000003,111.36000000000001,1865.1899999999998,0.0,-,651.208,0.0,526.999,56.0,218.04,0.0,112.00000000000001,7.0,0.0,2170.259,104.93,0,103.833,0.0,0.0,6858.139,2548.899999999999,0.0,0.0,82.94,489.91,0.0,779.5150000000001,0.0,0.0,27020.508000000005,6013.9800000000005,8708.18,0.0,2002.3499999999997,83.07,0.0,0.0,299.95,1474.1590000000003,0.0,0.0,70932.239,0.0,0.0,0.0,0,0.0,0.0,2316.2000000000003,0.0,2.1,51.4,609.3000000000001,0.0,568.4000000000001,68.67999999999999,1457.6999999999998,388.49000000000007,0.0,157324.53,3509.1899999999996,849.4499999999999,0.0,0.0,44.12,0,0.0,9231.161,51086.55,278.0,0.0,0.0,94.19999999999999,0.0,268.806,0.0,93.56,749.7700000000002,898.8,0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0,757.92,419.079,5846.086,0.0,0.0,0.0,2806.34,5.0,0.0,83.198,0.0,5550.09,0.0,0,6384.0,0.0,1076.3470000000023,0,0.0,0.0,259.0,0,51.9,0.0,224.5,0.0,0.0,0.0,0.0,0,0,0.0,128.438,0,0.0,0.0,0.0,119918.796,0.0,0.0,0.0,0.0,1059.3500000000001,0.0,0.0,14997.300000000001,18061.5,121159.981,796.61,0,0.0,13466.219000000001,0.0,1322398.9179999998,0.0,409450.165,109241.0,510817.272,0.0,1143299.51,219569.36,200477.04499999998,,,,2021
Áncash,724.0,864.0,314.0,0.0,900.0,0.0,74223.0,1058.0,3169.7,0.0,-,1783.0,0.0,175.0,0.0,51496.0,0.0,5847.7,6227.0,0.0,1413.0,688.0,0,1385.0,186.0,0.0,570.3,249.0,2334.94,0.0,1056.0,908.2,275.0,6374.0,22.0,0.0,163558.1,8585.8,53757.3,1948.0,0.0,0.0,0.0,481.0,1002.9999999999999,3187.4800000000005,43.0,0.0,114387.58,3635.0,894.0,0.0,0,0.0,0.0,0.0,1178.0,170.0,361.0,45.0,0.0,0.0,323.8,6568.0,10964.7,164.0,4393.0,4580.0,15809.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0500000000000003,0.0,0.0,78.0,0.0,165.0,0.0,0.0,0,0.0,0.0,135.0,0.0,272.0,0.0,63.0,0,929.0,357.0,871.0,122.0,0.0,0.0,39372.0,5315.4,0.0,4139.0,137.0,2883.0,0.0,0,125.5,0.0,37129.1,0,0.0,59.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0,0,4987.0,0.0,0,4780.0,2227.0,15410.0,0.0,910075.0694744263,0.0,14662.0,0.0,51.0,5498.0,0.0,169.0,0.0,1642.0,0.0,0,2162.0,274301.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.0,0.0,0.0,,,,2021
Apurímac,0.0,76.0,606.6,81.0,0.0,0.0,0.0,3070.89,4544.0599999999995,2303.7,-,158.0,128.0,26.0,3100.3100000000004,1240.5,0.0,12680.239999999998,1487.5,0.0,466.3,219.75,0,0.0,604.119,0.0,8943.75,747.5,0.0,0.0,10593.54,4216.59,5312.7,276.62,28.879,0.0,5404.15,51213.3,22105.2,63.0,0.0,7786.8,0.0,0.0,11753.0,27711.069,13.0,0.0,400871.92,0.0,354.0,0.0,0,0.0,0.0,0.0,0.0,10921.849999999999,4.4,0.0,0.0,0.0,2247.5499999999997,2321.0,13798.539,221.0,956.0,2425.6,3680.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,175.51899999999998,0.0,0.0,828.28,209.28,0.0,0.0,0.0,0,0.0,0.0,21.0,0.0,0.0,0.0,64.96900000000001,0,0.0,0.0,325.46,106.025,0.0,0.0,419.45,913.09,0.0,1025.61,147.38,311.2,146.85999999999999,0,200.56,0.0,10160.12,0,0.0,373.93699999999995,0.0,0,0.0,237.808,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,14.0,0.0,0.0,3019.119,0.0,0.0,0.0,0.0,184.7,0.0,75.06,759.55,0.0,416.5,34.0,0,5958.9,154983.80699999997,899.0,0.0,1268.0,0.0,0.0,0.0,0.0,94.0,104414.91999999998,118208.21800000001,,,,2021
Arequipa,1945.4259999999997,2130.29,75015.437,1816.02,8988.895,0.0,279735.496,6.170000000000001,15403.735999999999,0.0,-,3919.893,2684.1719999999996,21.75,1536.26,1153.879,1.8,649.012,357679.282,1582.8000000000002,3943.564,2619.425,0,1889.01,506.18,0.0,6516.6990000000005,0.0,75.0,0.0,909.9290000000001,10545.150000000001,289.4,3771.562,0.0,0.0,1959.357,7977.69,37454.208,1999.403,0.0,0.0,1649.5,2069.3410000000003,54.004,81.24900000000001,48.0,0.0,300630.56399999995,9892.164,987.5999999999998,0.0,0,0.0,0.0,0.0,3426.7649999999994,7254.275,1341.934,4704.5,119.8,0.0,0.0,44515.14000000001,12896.649,6091.348000000001,354.24999999999994,84579.994,39977.596000000005,0.0,33571.826,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.840000000000003,32.96,0.0,0.0,0.0,0,14.219000000000001,0.0,3564.5580000000004,0.0,138.41,0.0,869.8169999999999,0,0.0,0.0,40.309999999999995,651.82,0.0,11892.0,165.85000000000002,953.9080000000001,0.0,889.944,96.89999999999999,162.7,6.71,0,87.42000000000002,0.0,24396.88,0,403.65,178.92999999999998,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,33796.888,0.0,0,32201.48,16.709,0.0,6227.66,47669.617,0.0,0.0,0.0,0.0,0.0,1619.21,30.779999999999998,0.0,9.61,0.0,0,3079.548,2600240.3200000003,516.0,0.0,627.0,0.0,0.0,0.0,17382.0,0.0,689.1700000000001,0.0,,,,2021
Ayacucho,0.0,61.0,1674.0,0.0,735.0,0.0,27.0,5947.0,5460.0,502.0,-,506.0,0.0,105.0,940.0,429.0,0.0,15431.0,3766.0,0.0,1028.0,484.0,0,0.0,0.0,0.0,2448.0,0.0,0.0,32.0,7965.0,5506.0,37.0,497.0,3.0,0.0,2651.0,21798.0,10674.0,2612.0,101.0,7483.0,0.0,129.0,8197.0,14099.0,73.0,0.0,353155.0,0.0,0.0,0.0,0,0.0,0.0,0.0,136.0,22432.0,20.0,0.0,0.0,0.0,60.0,1127.0,12426.0,144.0,11402.0,1828.0,715.0,0.0,0.0,48.0,0,0.0,6190.0,3353.0,0.0,0.0,0.0,0.0,0.0,442.0,71.0,0.0,364.0,0.0,0,0.0,0.0,0.0,0.0,7.0,725.0,316.0,0,211.0,0.0,517.0,373.0,0.0,273.0,444.0,755.0,0.0,3275.0,63.0,2386.0,261.0,0,670.0,0.0,30771.0,0,0.0,49.0,0.0,0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0,0,22.0,0.0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,70.0,304.0,0.0,45.0,611.0,49.0,1486.0,0.0,0,16488.0,235244.0,6586.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2021
Cajamarca,0.0,160.73,8316.4,0.0,0.0,11234.695000000002,179430.60599999997,15135.009,30992.145999999997,0.0,-,387.4,0.0,251.12999999999997,0.0,5333.72,0.0,8627.963,1644.2799999999997,0.0,56.17999999999999,0.0,0,0.0,0.0,0.0,15555.371,8349.197999999999,0.0,0.0,4512.602,2938.61,0.0,101.36,854.069,0.0,61963.345,34260.284,29870.829999999998,2346.7799999999997,0.0,0.0,0.0,0.0,3034.6750000000006,12882.210000000001,0.0,0.0,410868.51199999993,0.0,0.0,175.0,0,0.0,0.0,1613.6879999999999,0.0,735.8399999999999,126.4,0.0,0.0,30.24,426.45000000000005,1309.67,24066.228,0.0,59058.595,5950.5,10805.745,307.79999999999995,0.0,16.0,0,0.0,1262.8180000000002,76757.77,0.0,0.0,0.0,0.0,0.0,4811.575,0.0,0.0,97.721,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1888.7419999999997,327.008,583.0790000000001,0.0,276.0,0.0,11084.786,413.0,0.0,0.0,0.0,5086.4130000000005,49.0,0,5166.8060000000005,0.0,4921.071,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2446.0,0.0,0,0.0,0.0,0.0,129712.90599999999,0.0,0.0,0.0,0.0,4450.964,54.0,0.0,3026.72,6424.647999999999,41595.544,0.0,0,363.35,191854.23000000004,1260.0,0.0,0.0,0.0,309536.713,222665.52499999997,372.0,298028.3979999999,1807202.5899999999,3966.4199999999996,,,,2021
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2021
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,2145.6,3108.7000000000003,3347.0,8132.7,-,0.0,0.0,0.0,0.0,522.5,183.9,27250.4,6636.0,0.0,1631.0,1057.0,0,0.0,0.0,0.0,3367.4,0.0,177.0,0.0,19793.5,5958.9,619.1,1092.0,0.0,0.0,4927.800000000001,62756.08999999999,38615.5,0.0,0.0,10496.5,0.0,0.0,16455.0,31975.0,0.0,0.0,434365.55,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13019.499999999998,0.0,0.0,0.0,15.0,2778.95,1207.5,16429.1,0.0,27491.6,9061.0,3454.0,0.0,0.0,3379.3,0,0.0,7683.779999999999,26265.329999999998,0.0,0.0,213.0,0.0,0.0,655.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1090.85,0.0,1545.9,0.0,0.0,1552.1000000000001,822.4000000000001,795.0,0.0,2028.0,0.0,20342.9,0.0,0,0.0,0.0,8504.099999999999,0,0.0,235.0,0.0,0,0.0,0.0,0.0,0.0,0.0,952.2,0.0,0,0,0.0,0.0,0,7254.9619999999995,0.0,0.0,0.0,0.0,0.0,0.0,8177.9,2856.0,0.0,0.0,7387.15,8504.0,32768.2,1430.6,0,9810.0,222822.35,13214.0,0.0,1422.0,0.0,0.0,0.0,0.0,0.0,61272.09999999999,532.0,,,,2021
Huancavelica,0.0,0.0,1158.9,0.0,0.0,0.0,0.0,5305.700000000001,16992.350000000002,922.7,-,0.0,0.0,0.0,0.0,117.20000000000002,0.0,24056.65,631.5,0.0,0.0,0.0,0,0.0,0.0,0.0,13265.099999999999,0.0,0.0,0.0,9759.099999999999,7140.650000000001,6.1,0.0,56.4,1170.8,684.3500000000001,33011.445,10283.750000000002,6.0,0.0,2842.75,0.0,0.0,2780.05,14089.049999999997,7.4,0.0,288273.49999999994,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2379.8500000000004,0.0,0.0,0.0,0.0,328.00000000000006,393.8,6608.799999999999,0.0,0.0,1006.5999999999999,7454.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,71.8,0.0,0.0,467.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.55,68.85,0,0.0,11.399999999999999,172.7,43.1,0.0,0.0,109.75,167.8,0.0,236.4,17.8,270.00000000000006,65.85000000000001,0,106.8,0.0,15565.929,0,0.0,10.75,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.4,0,0,0.0,0.0,0,0.0,0.0,0.0,1193.8000000000002,0.0,0.0,0.0,0.0,6.6000000000000005,0.0,0.0,264.45,0.0,907.8000000000001,0.0,0,5973.45,233942.0,1778.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2932.2,1993.2500000000002,,,,2021
Huánuco,0.0,394.00000000000006,217.0,0.0,181.9,0.0,38489.0,1339.0,15131.0,1963.9999999999995,-,424.0,287.0,308.0,5506.0,3490.0,0.0,9576.0,1234.0,217.0,1980.0,86.0,0,0.0,109.0,0.0,5513.0,1063.0,0.0,0.0,3475.0,7333.0,0.0,262.0,0.0,0.0,36905.0,16118.0,8168.0,1827.0,51.5,1921.8,0.0,0.0,5278.0,20348.0,0.0,0.0,790705.0,0.0,0.0,0.0,0,0.0,0.0,0.0,379.0,797.5,0.0,0.0,0.0,0.0,1517.8000000000002,1225.5,12275.0,179.5,60669.0,3929.0,23000.0,0.0,0.0,457.0,0,221.0,15958.0,12409.0,160.0,0.0,0.0,1025.0,0.0,145.7,0.0,0.0,1603.0,540.0,0,0.0,0.0,0.0,80.0,67.0,0.0,0.0,0,22.3,0.0,1187.0,155.0,0.0,1108.0,667.0,103.5,0.0,1686.6,0.0,11711.0,5.499999999999999,0,1617.0,37028.0,3983.0,0,0.0,0.0,128.0,267,27.000000000000004,0.0,0.0,0.0,94.00000000000001,746.0,112.0,0,0,0.0,834.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2317.0,59.699999999999996,0.0,2211.0,9997.0,229787.0,1421.0,0,151.0,30887.0,1309.5,4879149.0,57.5,0.0,0.0,0.0,369.0,0.0,25192.0,13827.0,,,,2021
